"LOCALITY.ID","LATITUDE","LONGITUDE"
"L1743286",28.0828674,85.2653103
"L1743289",28.1638749,85.3382664
"L10190458",27.904539,86.871395
"L5133640",27.6882283,86.7292929
"L10108354",27.774532,85.319541
"L9932875",27.738215,85.34666
"L10097885",27.733432,85.34237
"L9810226",27.757716,85.348381
"L10200148",27.785191,85.3160148
"L5555285",27.8039017,86.7099863
"L10304315",28.4490084,81.2483745
"L10324766",27.6241815,85.5645452
"L10309224",27.777082,85.323603
"L10352714",27.73507,85.318258
"L10379250",27.5834142,84.4649287
"L10487785",27.581061,84.494275
"L10492348",27.635461,84.172396
"L10539198",27.770178,85.360981
"L10470416",27.773694,85.330355
"L9763626",27.717931,85.283788
"L9878847",27.68491,85.297446
"L3000139",27.7168134,85.5195522
"L8196591",27.698733,85.294482
"L4050362",27.8745379,84.616431
"L5710243",28.3109248,83.7715931
"L3034719",28.6108838,83.7877146
"L3034710",28.4095394,83.8245678
"L10920314",28.0850569,81.6460532
"L3776826",28.1030014,81.6667897
"L956804",27.4847,84.5409279
"L6015847",27.7017622,85.3022915
"L11004900",27.527134,84.224163
"L956793",27.5719408,85.4066248
"L5387507",28.6846582,80.9456778
"L2903344",27.6220026,84.4616203
"L11360243",27.761464,85.319072
"L11414553",27.74688,85.317775
"L10895854",27.760123,85.316559
"L10293474",27.763325,85.317818
"L10482894",27.801656,85.318394
"L11955185",27.8245062,86.7184921
"L6463332",27.6982481,85.3988557
"L12021473",27.699452,85.417645
"L10801208",27.7000398,85.3900227
"L8489738",26.6943327,87.0875212
"L11611086",26.6954238,87.0817531
"L12078465",27.792949,85.308309
"L10416638",27.768469,85.329619
"L11102078",27.5871628,86.6039813
"L11154238",27.594287,86.6221436
"L11068943",28.181237,85.4413983
"L11102054",27.5872895,86.6406028
"L11101903",27.6161171,86.6963506
"L11101873",27.6142945,86.7152809
"L11101619",27.6312494,86.7301675
"L11097046",27.645,86.7738634
"L11096984",27.6496659,86.7686507
"L11096839",27.776733,86.722197
"L11096817",27.8304761,86.6572296
"L11089212",27.8108534,86.6981483
"L11081773",27.9582614,86.6693374
"L11080742",27.9550792,86.692982
"L11081684",27.9560762,86.6761777
"L11080535",27.9616948,86.7516187
"L11080517",27.9484448,86.7671996
"L11080390",27.9304625,86.7897758
"L11080446",27.985524,86.8296224
"L11080310",28.004605,86.8567923
"L11080099",27.9638236,86.8199761
"L11079994",27.8939528,86.8277337
"L11079978",27.8971664,86.829148
"L11079737",27.8341111,86.7526986
"L11079741",27.8236658,86.7244317
"L11079184",27.8028172,86.7103039
"L11079166",27.7606472,86.7119429
"L11078277",28.2087704,83.9586607
"L11077950",28.1986975,83.9684648
"L11074472",28.0840065,85.4114633
"L11074422",28.0819931,85.4166202
"L11074361",28.0926933,85.3801634
"L11073604",28.0947206,85.3752978
"L11069268",28.2128619,85.5666329
"L11069168",28.2098403,85.4811101
"L11069122",28.2157707,85.5216558
"L9823101",26.7827534,87.1394509
"L12506121",26.7399754,87.1207713
"L12179640",26.6575066,87.0630455
"L12735430",27.570287,84.105549
"L12742972",27.57029,84.105549
"L12842877",27.6854632,85.3642735
"L9460538",27.624289,85.3320998
"L8578852",27.6240605,85.3326668
"L13092970",27.676228,85.383993
"L12227189",27.683261,85.361541
"L5666931",27.727816,85.469043
"L13209231",27.6118639,85.3122186
"L13200883",26.6616962,87.5989325
"L12346920",27.710697,85.406486
"L13092982",27.737313,85.25016
"L12909332",27.578206,85.562447
"L12955083",27.6801784,85.2914349
"L8510579",27.8156614,85.2783545
"L13944590",28.201394,83.97929
"L13971247",28.238299,83.861786
"L14010537",28.23775,84.014271
"L12956603",27.4899248,83.2961803
"L14202212",27.72161,85.398721
"L14247381",27.73394,85.345926
"L14308476",27.734268,85.307527
"L9960512",27.693368,85.281732
"L14308493",27.71531,85.177518
"L14308557",27.747235,84.470964
"L14308593",27.565506,83.714038
"L14308664",27.69832,83.452
"L14318920",27.698246,83.451941
"L14353125",28.599889,81.594925
"L14325066",28.599947,81.594676
"L14325235",27.674026,83.074949
"L14325263",27.649184,82.863291
"L14325295",27.874192,82.519916
"L14325336",27.983138,82.17652
"L14326330",28.039628,81.978596
"L14326880",28.196439,81.688916
"L14352965",28.599944,81.594733
"L14427808",28.962914,81.627842
"L14427820",28.99649,81.63292
"L14427872",29.048308,81.624221
"L14427877",29.085396,81.649598
"L14427897",29.147377,81.614023
"L14441640",29.023865,81.418526
"L14441804",28.892012,81.498198
"L14453155",28.40956,81.702884
"L14461898",28.189707,83.981954
"L14410778",27.0289747,88.0541707
"L14503699",27.782112,85.325016
"L11382052",27.686925,85.324608
"L5902889",27.8203659,86.7313528
"L14545181",27.776771,85.332863
"L14723676",27.737268,85.340884
"L15036211",28.210725,83.97183
"L15665463",27.567827,85.309051
"L15665728",27.551158,85.296827
"L9763507",27.6254017,85.3328858
"L1512691",27.5569712,84.3212166
"L2712650",27.7151797,85.2640128
"L1187519",27.7444674,85.266695
"L1446305",27.5368807,85.3903236
"L1494107",26.7627674,87.2538795
"L1540629",27.6902056,85.420536
"L1540744",28.238663,83.9460616
"L1540918",26.8970782,88.0735132
"L1540935",26.8390716,87.9051628
"L1541013",27.0420026,87.9108248
"L1541044",26.8234472,87.2818603
"L1541052",26.6584942,87.2847786
"L1660793",27.6728854,85.3108658
"L1664788",27.6855503,85.3254893
"L1678701",27.5991186,85.3849699
"L1756929",27.6709186,85.292262
"L1880227",27.582927,85.383854
"L1880234",27.7424809,85.3642453
"L1880236",27.712421,85.327994
"L1880241",27.742979,85.285625
"L1880246",27.709671,85.483589
"L1880252",28.206852,83.977947
"L1880254",28.202843,83.963785
"L1880279",28.818193,83.873413
"L1880311",28.608863,83.64368
"L1880313",28.496643,83.654709
"L1880319",28.401429,83.699606
"L1880320",28.309859,83.775043
"L1885922",28.0722453,81.6301775
"L1885975",28.798094,80.6331934
"L1872548",28.440921,81.456757
"L1885998",28.6429664,81.2821133
"L1886170",29.3790052,81.1303104
"L1886206",27.7828221,85.3556587
"L1886234",28.125283,85.366516
"L1881349",27.53018,84.073485
"L1886292",27.653122,85.422821
"L1886303",27.5943075,85.378479
"L1886314",27.6051574,85.2637917
"L1887560",27.9435547,83.4426642
"L1881286",27.8617479,84.6357323
"L2245868",27.616851,85.5504084
"L2314297",27.7872198,85.3675389
"L2312225",27.4688102,83.2755518
"L2317466",27.738315,85.336324
"L2354978",27.490304,83.2765388
"L2370954",28.262168,83.956776
"L2372128",27.4999503,84.6666916
"L2425034",27.5457195,84.5466614
"L2458034",28.209718,83.957094
"L2458078",28.37258,83.80932
"L2459987",27.488929,83.296607
"L2611524",29.1761452,82.9409409
"L2684562",27.6942854,85.3271198
"L2684603",27.6127354,85.2602363
"L2684620",27.6481624,85.2806425
"L2684629",27.6559757,85.2927876
"L4187081",27.5921694,85.0853992
"L2712989",28.4253731,81.3799381
"L2727372",28.6649661,84.0172255
"L2726885",28.2399387,84.3760943
"L2727342",28.2903995,84.3688309
"L2727343",28.3847367,84.4012508
"L2727350",28.4599385,84.3727684
"L2727377",28.7825174,83.9676154
"L2727356",28.5214944,84.3571687
"L2727362",28.5536536,84.2443442
"L2727379",28.8173885,83.8710853
"L2727368",28.6149287,84.1508746
"L2727383",28.7818028,83.7294674
"L2727386",28.7480956,83.6841059
"L2727403",28.3504299,83.5656381
"L2843879",26.65771,87.06303
"L2859092",27.702551,85.340933
"L2890108",26.5998508,87.0136757
"L2903348",27.5493255,84.3308573
"L2903354",27.5668486,84.3060029
"L2960166",27.6746636,85.316686
"L3034623",28.2194074,83.9635277
"L3034718",28.431487,83.8321209
"L3066371",27.9371396,84.4073122
"L1108155",27.5915457,85.3933597
"L3108383",27.5827745,84.4633198
"L3125932",27.641239,85.31697
"L3126066",28.2644728,83.9437866
"L3155998",27.4917219,83.2960846
"L3161235",27.5742736,84.4929059
"L3164698",27.5822179,84.5076299
"L3172856",27.722018,85.3571284
"L3189613",27.7090867,85.3053832
"L1609963",27.7229332,85.3625601
"L3406739",27.6839841,85.3127003
"L3489377",27.807016,84.8188412
"L3493879",27.7135461,85.2901268
"L3494354",27.7408211,85.2853203
"L3529810",27.9806829,84.2625618
"L3545881",27.5747625,84.4936958
"L3557184",27.7191166,85.320307
"L3557228",28.3574923,83.8257694
"L3619853",27.81902,85.33451
"L3680124",28.2011295,83.9640126
"L3818072",27.6719675,85.3095996
"L3826988",27.66844,85.2912855
"L3901451",27.8137495,85.2688086
"L3893191",28.1105595,85.340209
"L3935294",27.733152,85.338329
"L4040189",27.6202162,85.2731001
"L4050572",27.8012064,84.8699212
"L4050591",27.7468602,85.0912142
"L2375989",27.9373938,85.9470749
"L4066878",27.7199449,85.3205559
"L4067064",27.0028682,85.8446274
"L3879891",27.6345215,85.3047609
"L4196925",28.7615026,80.2148928
"L4202535",27.6449865,85.2832818
"L3371379",27.6364189,84.169569
"L2905175",27.5594081,84.2343578
"L4471941",27.701724,85.353926
"L4478665",27.720142,85.32088
"L4482347",27.72296,86.714025
"L4488302",27.770761,86.725558
"L4490237",27.80553,86.71142
"L4492992",27.815781,86.722786
"L4497115",27.823174,86.730812
"L4527602",27.890229,86.826853
"L4527609",27.980222,86.828333
"L4527613",27.948231,86.810197
"L4535476",27.688881,86.731157
"L3036546",28.4010447,83.6927991
"L4546522",27.715079,85.309567
"L4558286",27.762765,85.422591
"L4563826",27.810687,84.96307
"L4563830",27.879716,84.612771
"L4582361",27.7170413,85.5050039
"L4582413",28.1110894,84.0925097
"L4585296",28.1895628,83.9820161
"L4492413",27.73369,85.33868
"L4619009",27.6719236,85.4297019
"L4904759",27.0310705,88.0683374
"L4962058",27.716796,85.309826
"L4968774",27.7060614,85.3152323
"L4971057",28.2005552,83.9641821
"L4981964",28.3088618,83.8382406
"L5001761",27.6373321,85.5322758
"L5002121",27.6899564,85.3143215
"L5007355",27.6273076,85.2755785
"L5055435",27.7208481,85.321683
"L5059311",27.5911774,84.4850986
"L5070290",27.7310623,85.5182183
"L5070593",27.7843343,85.3724885
"L5078348",27.67378,85.3094333
"L5078412",27.71122,85.313067
"L3118374",28.2354396,83.9467049
"L4643168",27.563174,84.342292
"L5115798",27.804292,86.710384
"L5119187",28.0920625,85.3815217
"L5119235",27.9803602,85.4854707
"L5128570",27.7814658,85.4348575
"L5129802",27.8167808,86.7235637
"L5129812",27.8115348,86.7176306
"L5555294",27.8360402,86.7639256
"L5130468",27.5746628,84.4993996
"L5165684",27.4905368,83.296174
"L5174966",27.885534,83.6447203
"L5176431",27.874586,84.61612
"L5260194",27.569665,84.2016217
"L5265246",27.5702258,84.2023381
"L5265296",27.5753536,84.1998028
"L5265622",27.5701949,84.2023928
"L5270457",27.5706587,84.2025576
"L5279941",27.5698019,84.2017339
"L5375062",27.5704117,84.201885
"L5393978",26.789733,86.635874
"L5397790",27.490139,83.296334
"L5541424",27.7309766,85.3208475
"L5546185",27.581745,84.210142
"L5555668",26.9121239,87.9374734
"L5576463",27.710928,85.323137
"L5578559",27.589738,85.375807
"L5581416",27.591124,84.485215
"L5589782",27.5948833,84.480885
"L5594209",27.56952,84.204958
"L5599552",27.8754246,84.6101332
"L5605075",27.5487317,84.138455
"L5620670",27.4967756,83.44172
"L5625278",28.8468539,80.2063322
"L5625460",27.6856396,85.3126654
"L5626042",27.6498525,83.2899714
"L5666403",28.376967,83.805243
"L5695664",27.0483488,88.0298556
"L5756409",28.3961195,83.7628126
"L5818451",27.685935,86.7336112
"L5906766",27.7168911,85.3111473
"L5946573",27.5876688,84.464428
"L5946574",27.5889114,84.4580942
"L5946578",27.573535,84.5008997
"L5946579",27.5691104,84.499537
"L5946572",27.5936063,84.4688199
"L5946583",27.7175576,85.3141499
"L5946589",28.2036981,83.9630836
"L5946590",28.2022298,83.9634501
"L5946594",28.2032501,83.9444074
"L5946591",28.202163,83.9656991
"L5946596",28.2814498,83.8628984
"L5946598",28.2900786,83.830908
"L5946601",27.58376,85.3785746
"L5946611",27.4691233,83.2869132
"L5946610",27.4690893,83.2869327
"L5946613",27.5569074,83.2745735
"L5946619",28.3997549,83.6889842
"L5946600",28.3573487,83.7352473
"L5946623",28.4681731,83.8673411
"L5946621",28.410612,83.793082
"L5946624",28.3809347,83.8086785
"L5946625",28.3107946,83.8291394
"L5946618",27.744009,85.2950951
"L5946617",27.7391661,85.2999403
"L5946582",27.716431,85.3128092
"L5946584",27.6961773,85.3211767
"L5946593",28.2073311,83.9473001
"L5946602",27.690466,85.2821628
"L6001104",28.555576,83.6367488
"L6016783",27.819192,85.335415
"L5075428",27.7194536,85.3217459
"L6032526",28.034626,82.481862
"L6032533",27.935265,82.492328
"L6038817",28.6981396,82.279754
"L6038818",28.7738771,82.2930667
"L6038819",28.777548,82.2945138
"L6038821",28.7827506,82.3319058
"L6038822",28.7941341,82.3515919
