Order,ALTALTSPECIES,IUCN name,Tree name,HWI,Sample size,Body mass (log),Range Size,Island,Migration-1,Migration-2,Migration-3,Territoriality,Diet,Habitat,Latitude,AnnualTemp,TempRange,AnnualPrecip,PrecipRange,ALTSPECIES
Tinamiformes,Crypturellus_brevirostris,Crypturellus brevirostris,Crypturellus_brevirostris,18.85349121,5,2.614380393,74,0,Not a Migrant,1,resident,strong,omnivore,1,-3.13,26.3223,11.06409053,2629.921684,221.5775253,Crypturellus_brevirostris
Tinamiformes,Crypturellus_bartletti,Crypturellus bartletti,Crypturellus_bartletti,26.96552277,7,2.382017043,170,0,Not a Migrant,1,resident,strong,omnivore,1,-7.69,25.3341977,13.47651935,2302.209401,218.228171,Crypturellus_bartletti
Tinamiformes,Crypturellus_parvirostris,Crypturellus parvirostris,Crypturellus_parvirostris,24.69580816,6,2.298831252,593,0,Not a Migrant,1,resident,strong,seeds,2,-13.05,24.24188102,16.65303974,1527.428164,236.7998658,Crypturellus_parvirostris
Tinamiformes,Crypturellus_casiquiare,Crypturellus casiquiare,Crypturellus_casiquiare,23.34369257,2,2.614380393,11,0,Not a Migrant,1,resident,strong,omnivore,1,1.89,26.23012143,12.09993571,3366.078571,259.2754071,Crypturellus_casiquiare
Tinamiformes,Crypturellus_tataupa,Crypturellus tataupa,Crypturellus_tataupa,21.08513537,6,2.340047318,455,0,Not a Migrant,1,resident,strong,invertebrates,2,-17.73,22.78409427,18.45915043,1231.733457,173.8638592,Crypturellus_tataupa
Tinamiformes,Rhynchotus_rufescens,Rhynchotus rufescens,Rhynchotus_rufescens,19.95512514,8,2.92606964,424,0,Not a Migrant,1,resident,none,omnivore,3,-20.05,21.8113071,19.37410127,1277.571997,173.5084931,Rhynchotus_rufescens
Tinamiformes,Rhynchotus_maculicollis,Rhynchotus maculicollis,Rhynchotus_maculicollis,24.4408817,5,2.92606964,150,0,Not a Migrant,1,resident,weak,omnivore,3,NA,NA,NA,NA,NA,Rhynchotus_maculicollis
Tinamiformes,Nothoprocta_taczanowskii,Nothoprocta taczanowskii,Nothoprocta_taczanowskii,23.82719957,3,2.676976951,13,0,Not a Migrant,1,resident,weak,omnivore,2,-13.22,11.26362529,20.48417059,1189.555941,175.3191706,Nothoprocta_taczanowskii
Tinamiformes,Nothoprocta_ornata,Nothoprocta ornata,Nothoprocta_ornata,26.12276858,5,2.791880041,92,0,Not a Migrant,1,resident,strong,plants,2,-18.51,11.65254975,22.93789333,626.4236668,113.5677462,Nothoprocta_ornata
Tinamiformes,Nothoprocta_perdicaria,Nothoprocta perdicaria,Nothoprocta_perdicaria,26.86939481,8,2.660865478,22,0,Not a Migrant,1,resident,strong,seeds,2,-35.1,11.26939031,20.7183125,907.6759969,149.0848039,Nothoprocta_perdicaria
Tinamiformes,Nothoprocta_cinerascens,Nothoprocta cinerascens,Nothoprocta_cinerascens,27.51142466,4,2.719240109,131,0,Not a Migrant,1,resident,strong,invertebrates,2,-29.1,19.4449881,27.26854643,649.6773452,90.35973625,Nothoprocta_cinerascens
Tinamiformes,Nothoprocta_pentlandii,Nothoprocta pentlandii,Nothoprocta_pentlandii,22.63301117,9,2.478176754,111,0,Not a Migrant,1,resident,weak,plants,2,-20.65,14.10884136,23.44247214,540.5739001,99.73835483,Nothoprocta_pentlandii
Tinamiformes,Nothoprocta_curvirostris,Nothoprocta curvirostris,Nothoprocta_curvirostris,30.53920588,4,2.575187845,18,0,Not a Migrant,1,resident,weak,omnivore,2,-3.96,16.24347864,13.82344545,1394.866136,165.1078786,Nothoprocta_curvirostris
Tinamiformes,Nothura_boraquira,Nothura boraquira,Nothura_boraquira,27.18612401,4,2.451786436,154,0,Not a Migrant,1,resident,weak,omnivore,2,-12.75,24.14335026,16.71878944,1009.447764,177.1344732,Nothura_boraquira
Tinamiformes,Nothura_minor,Nothura minor,Nothura_minor,25.59463616,4,2.219584526,102,0,Not a Migrant,1,resident,strong,omnivore,2,-19.46,22.41024872,18.40963547,1459.598556,214.4967637,Nothura_minor
Tinamiformes,Nothura_darwinii,Nothura darwinii,Nothura_darwinii,34.43469846,4,2.388420941,130,0,Not a Migrant,1,resident,weak,invertebrates,2,-30.21,14.81733556,27.5493142,525.3648757,82.3442328,Nothura_darwinii
Tinamiformes,Nothura_maculosa,Nothura maculosa,Nothura_maculosa,27.33551998,4,2.4107435,370,0,Not a Migrant,1,resident,strong,omnivore,2,-26.25,19.82451678,22.02182159,1115.459841,131.3157945,Nothura_maculosa
Tinamiformes,Nothura_chacoensis,Nothura chacoensis,Nothura_chacoensis,22.06236231,4,2.354262145,16,0,Not a Migrant,1,resident,weak,omnivore,2,-21.68,24.477465,22.070625,756.6215,96.9525345,Nothura_chacoensis
Tinamiformes,Taoniscus_nanus,Taoniscus nanus,Taoniscus_nanus,21.3910473,4,1.633468456,59,0,Not a Migrant,1,resident,weak,omnivore,2,-21.54,22.09125,19.972635,1292.526083,192.7257912,Taoniscus_nanus
Tinamiformes,Eudromia_elegans,Eudromia elegans,Eudromia_elegans,34.34742757,5,2.846893543,147,0,Not a Migrant,1,resident,weak,omnivore,2,-37.96,13.65264246,27.55754564,420.7790564,48.93757673,Eudromia_elegans
Tinamiformes,Eudromia_formosa,Eudromia formosa,Eudromia_formosa,21.72562199,2,2.888140164,36,0,Not a Migrant,1,resident,weak,omnivore,2,-24.53,22.45822667,25.43022,702.4718667,109.2280944,Eudromia_formosa
Tinamiformes,Tinamotis_pentlandii,Tinamotis pentlandii,Tinamotis_pentlandii,33.07942717,4,2.812913357,74,0,Not a Migrant,1,resident,strong,plants,3,-18.37,9.482658526,22.72692737,463.5373349,94.04860211,Tinamotis_pentlandii
Tinamiformes,Tinamotis_ingoufi,Tinamotis ingoufi,Tinamotis_ingoufi,35.98062748,2,2.86332286,49,0,Not a Migrant,1,resident,strong,plants,3,-47.08,7.683023231,21.77684923,425.3573846,33.13571708,Tinamotis_ingoufi
