"Species","Group","Median_S","LCI_S","UCI_S","Median_W","LCI_W","UCI_W","Median_diff","LCI_diff","UCI_diff"
"Common Kingfisher",1,1700.75,1563,1796,2327.4,2099.075,2348.2,-621.8,-763.43125,-411.925
"Eurasian Tree Sparrow",0,2601.25,2562,2683.215,2723.9,2608.59,2848,-100.575,-236.772500000001,56.8062500000006
"Large-billed Crow",2,3722,3686,3746,3434,3413.75,3434,288,252,317.4125
"Long-tailed Minivet",2,3643.1,3364.94,3664.8,1911.3,1700.2,2017.85,1718.2,1446.24125,1915.4075
"Plumbeous Redstart",2,3092.5,2893.2075,3132.95,2466.2,2388,2541.1,625.35,405.4925,741.35
"White-capped Redstart",2,4353.4,4217,4359,2755,2615,2805,1582.05,1440.84875,1730.025
"Ashy-throated Warbler",2,3381.2,3265.51125,3423,2768.7,2677,2796,620.05,512.4825,718.833749999999
"Bhutan Laughingthrush",2,3006,2881,3016,2551,2493.0575,2551.4,455,330,494.00375
"Buff-barred Warbler",2,4218.3,4214,4218.9,2474,2368.33,2722.29125,1743,1494.8,1855.07
"Fire-breasted Flowerpecker",2,2749,2749,2749,2361.6,2259.23375,2463,386,286,489.86375
"Green-backed Tit",0,2938.375,2895.4875,2978,2924.2,2863.195,2962,12.5000000000005,-50.0025000000013,91.8575000000001
"Indian White-eye",2,2545.6,2448.25,2553.25,2001,1873.6,2309,534.2,229,668.50125
"Lemon-rumped Warbler",2,3555.95,3245.4,3669.8,2851,2656.295,2979,682.75,345.195,937.151249999999
"Yellow-bellied Fairy-Fantail",2,3530.1,3417.0975,3540,2398.6,2325.2925,2504.85,1101.875,973.095000000001,1203.91
"Chestnut-tailed Minla",2,3256.05,3153,3324.71375,2815,2761.975,2819,448.224999999999,337.5,528.11375
"Golden Babbler",2,2458.7,2123.855,2474,2009,1822.67,2055.75,423.25,116.73,621.175000000001
"Gray-sided Laughingthrush",2,2806.5,2730.575,2929.875,2460.05,2440.5,2474,342.999999999999,270.524999999999,464.125
"Green-tailed Sunbird",2,3146,3142.0925,3146,2583.8,2473.7,2677,562,469,672.0075
"Mountain Hawk-Eagle",0,2514.65,2159.055,2522.45,2645.5,2474,2894.5,-206.049999999999,-497.269999999999,46.5
"Rufous-capped Babbler",2,2987.1,2836,3041.55,2609,2489.1825,2702.2,358.099999999999,185.400000000001,505.30625
"Rufous-vented Yuhina",2,3527.9,3440,3559.05,2667.4,2568.38,2677,861.2,781.2575,962.2075
"Striated Bulbul",2,2722,2697.97375,2722,2474,2463,2474,248,223.97375,259
"Yellow-cheeked Tit",2,2571.1,2500.2,2660.83,2486.15,2468,2488.85,88.5749999999998,14.1450000000001,180.50375
"Ashy Bulbul",0,1705.8,1341.45,1925.85,1695.6,1479.28,1761.95,31.9000000000001,-364.870000000002,394.82
"Blue-throated Barbet",0,1434.3,1402,1460.1025,1530.85,1394.8625,1630,-95.5999999999993,-225.27,49.5562500000004
"Bronzed Drongo",2,2140.6,1767.98375,2273.45,1717.15,1488.945,1741.4,444.649999999999,45.9175,717.257500000002
"Chestnut-bellied Nuthatch",0,2052.25,1890.55,2203.2,1956.5,1618.50375,2097.4,107.125,-105.9175,474.018750000003
"Common Hill Myna",1,1266.9,680.094999999999,1703.05,1947.925,1862.79125,1961,-672.3,-1258.0125,-233.660000000001
"Golden-fronted Leafbird",1,1000.5,756,1133.7,1866.4,1224.03,1962.05,-827.3,-1170.35,-208.72
"Gray-bellied Tesia",2,2636,2538.12,2638.295,1790.5,1627.735,1797.385,845.5,758.92,961.135
"Lesser Racket-tailed Drongo",2,1920.75,1818.75,1922.5,1739,1659.5175,1748.135,181.75,86.7349999999997,262.982500000001
"Long-tailed Sibia",0,2151.7,1739,2276.45,1739,1590.28375,1788.25,395.949999999999,0,544.649999999999
"Maroon Oriole",2,2677,2474,2677,1847.9,1452.97375,1979.75375,799.150000000001,574.1575,1205.05625
"Pin-tailed Green-Pigeon",0,1150.8,948.35,1185.3,1226.95,1001.34,1412.9,-105.7,-374.350000000001,143.0175
"Pygmy Cupwing",2,2533,2501,2581,1684.225,1388.15625,1999,839.650000000002,534.000000000001,1147.65
"Red-headed Trogon",2,2200.15,1829.9,2254.85,1639.475,1515.475,1855.68125,523.349999999999,69.2450000000022,705.42875
"Rufous Woodpecker",2,1960.4,1517.90125,2168.05,1415.8,1277.40125,1418.35,546.724999999999,131.475,836.701249999999
"Rufous-necked Hornbill",2,2120.7,1937.4,2209.05,1877.5,1737.8,1989.5,248.325000000001,14.7287499999996,438.49
"Rusty-fronted Barwing",0,2474,2463,2474,2463,2330.35125,2474,9.35000000000036,-8.81375000000016,142.315
"Streaked Spiderhunter",2,2109.075,2089,2262,1338.6,1289.8,1378.5,766.475,717.3775,926.912500000001
"Sultan Tit",0,1847,1637.1125,1935.3,1739,1720.8,1739,109.9,-101.8875,198
"White-throated Bulbul",0,1112.35,994,1273,1254.4,1070.12375,1435.9,-113.350000000001,-386.65625,199
"Blue Whistling-Thrush",2,3140,3137,3171.15,2962,2962,2979,178,161,208.108749999999
"Common Sandpiper",2,2415.3,2414.73,2415.3,2309,2309,2330.85,105.7,84.4200000000002,106.27
"Crested Kingfisher",1,1672.05,1419.0875,1779.7,2598,2558.6375,2598,-925.95,-1178.9125,-804.875
"White Wagtail",2,3784.7,3690.13875,3797.6,2558,2541.25,2564,1226.875,1138.58,1247.75625
"White-throated Kingfisher",1,1233.8,1211.39,1312.2,1503.6,1303.94625,1734,-265.499999999998,-510.50125,-58.2575000000006
"Brown Dipper",2,3132.05,2992.1325,3132.95,2791.4,2604.25,2805,337.400000000001,197.49375,520.12625
"River Lapwing",0,2399.5,2309,2562.05,2309,2309,2332,86.7999999999997,-0.927500000000087,253
"Great Barbet",2,2562,2525,2667.1,2364.5,2251,2443.05625,198.25,99.5000000000004,332.20125
"Great Hornbill",0,1228.6,1110.0525,1530,1164.4,1070.4975,1306.76125,120.15,-134.1925,444
"Lesser Necklaced Laughingthrush",0,1376.5,1295.2,1430.5,1486,1303.9025,1507,-80.7,-202.949999999999,91.2750000000004
