"Species","Group","Median_S","LCI_S","UCI_S","Median_W","LCI_W","UCI_W","Median_diff","LCI_diff","UCI_diff","elev_roundS","elev_roundW","maxTemp_June_mean","minTemp_June_mean","maxTemp_June_ci","minTemp_June_ci","tempRange_June","maxTemp_Jan_mean","minTemp_Jan_mean","maxTemp_Jan_ci","minTemp_Jan_ci","tempRange_Jan","ThermalRegime","Species3","Tree.name","HWI","Diet"
"Chukar",2,4764.4,4706,5147.65999999999,4211,4211,4211,553.399999999997,495,936.659999999995,4800,4200,7.34120245146711,-3.12113876810354,0.0220051894698596,0.0233689650127337,10.4623412195707,-9.69129558451298,-20.6212337114465,0.0283013274080432,0.0299541264071642,10.9299381269335,27.9624361629136,"Alectoris chukar","Alectoris_chukar",28.94734505,"seeds"
"Kalij Pheasant",0,2417,2417,2449.415,2417,2417,2493.6,0,-76.5999999999999,25.3174999999979,2400,2400,23.541152562936,11.1284561722778,0.0546705602225242,0.0352396776069264,12.4126963906582,2.48172277828329,-9.48831665150136,0.0425458519984202,0.0336241706500588,11.9700394297847,33.0294692144374,"Lophura leucomelanos","Lophura_leucomelanos",17.7587268,"omnivore"
"Koklass Pheasant",0,3166,3079,3226,3183.25,3025,3236,-17.1250000000002,-141.29875,141,3200,3200,16.2309402106568,4.81013011152416,0.0451961893453638,0.0317097005924498,11.4208100991326,-3.91820786864932,-15.0234200743494,0.0461368244438302,0.0416480185547321,11.1052122057001,31.2543602850062,"Pucrasia macrolopha","Pucrasia_macrolopha",28.8286769,"omnivore"
"Himalayan Monal",2,3568.65,3518,3626.55,3236,3236,3237.65,332.65,280.35,390.55,3600,3200,13.378261821366,2.39709573847052,0.0347962736857325,0.0286284174849871,10.9811660828955,-3.91820786864932,-15.0234200743494,0.0461368244438302,0.0416480185547321,11.1052122057001,28.4016818957154,"Lophophorus impejanus","Lophophorus_impejanus",21.09188816,"omnivore"
"Red Junglefowl",0,1699.275,1573,1791,1680.4,1577,1746.105,13.0250000000002,-131.9025,169.909999999999,1700,1700,28.2443500424809,16.3048028387226,0.0490270658147735,0.0374857154959968,11.9395472037583,8.11191963616373,-4.04807836473587,0.0448703514731545,0.0334114256335395,12.1599980008996,32.2924284072168,"Gallus gallus","Gallus_gallus",23.21714883,"omnivore"
"Black Francolin",2,2417,2417,2417,2200.4,2179.595,2229,216.45,187.8,237.405,2400,2200,23.541152562936,11.1284561722778,0.0546705602225242,0.0352396776069264,12.4126963906582,4.17222118175859,-8.01574117426725,0.0380559323250754,0.0304197356685805,12.1879623560258,31.5568937372032,"Francolinus francolinus","Francolinus_francolinus",24.76331799,"seeds"
"Indian Peafowl",0,1490.6,1436.1,1614,1486.65,1238.1,1617,24.8500000000013,-139,290.400000000001,1500,1500,30.2992613069881,18.2310522976525,0.0487553613861931,0.0368041768314772,12.0682090093356,9.79640170397897,-2.55083386205021,0.0451870073554771,0.0333743535342371,12.3472355660292,32.8500951690383,"Pavo cristatus","Pavo_cristatus",28.71360931,"omnivore"
"Hill Partridge",2,2893,2893,2933.5,2490.6,2454.24875,2499,402.85,394,454.5,2900,2500,18.6759867120146,6.92743810804398,0.050036170415283,0.033187661863865,11.7485486039706,1.54627461595723,-10.2856398457062,0.0453875815140179,0.0361219892626303,11.8319144616634,28.9616265577208,"Arborophila torqueola","Arborophila_torqueola",25.19798408,"omnivore"
"Red-wattled Lapwing",0,827,827,827,831.899999999999,827,898,-4.8999999999993,-71,0,800,800,34.8266481135088,22.767694694101,0.0371399753039667,0.0310862941515126,12.0589534194078,15.1850312514257,2.46013504265706,0.0431564250140531,0.028918822881336,12.7248962087686,32.3665130708517,"Vanellus indicus","Vanellus_indicus",43.2386972,"invertebrates"
"Oriental Pied-Hornbill",0,827,827,827,827,827,859.305,0,-32.3049999999997,0,800,800,34.8266481135088,22.767694694101,0.0371399753039667,0.0310862941515126,12.0589534194078,15.1850312514257,2.46013504265706,0.0431564250140531,0.028918822881336,12.7248962087686,32.3665130708517,"Anthracoceros albirostris","Anthracoceros_albirostris",15.95960551,"fruit"
"Indian Gray Hornbill",1,827,827,829.9,908.449999999999,853.350000000001,972.381249999999,-81.4499999999989,-145.381249999999,-26.3500000000008,800,900,34.8266481135088,22.767694694101,0.0371399753039667,0.0310862941515126,12.0589534194078,14.5189684357264,1.89830230010953,0.0425190583718323,0.0285234458648067,12.6206661356168,32.9283458133993,"Ocyceros birostris","Ocyceros_birostris",21.44529833,"fruit"
"Eurasian Hoopoe",2,4251.95,4211,4265.0525,1838.35,1721.19625,2071.5,2401.675,2173.25,2524.31125,4300,1800,9.85943387881468,-0.835417956656347,0.0220589775602292,0.021664898231046,10.694851835471,7.33040540540541,-4.81171171171171,0.044476986703483,0.033743506121438,12.1421171171171,14.6711455905264,"Upupa epops","Upupa_epops",21.7746589,"invertebrates"
"Green Bee-eater",0,696.4,666,743.5,784,702.19375,817.9,-82.7500000000002,-121.905,1.51749999999999,700,800,35.4448782807973,23.5015047347256,0.0320636036519555,0.027804222601936,11.9433735460717,15.1850312514257,2.46013504265706,0.0431564250140531,0.028918822881336,12.7248962087686,32.9847432381402,"Merops orientalis","Merops_orientalis",35.33244734,"invertebrates"
"Blue-bearded Bee-eater",0,827,761.9225,870.9,773.225,666,861,48.0000000000001,-72.4087500000001,195,800,800,34.8266481135088,22.767694694101,0.0371399753039667,0.0310862941515126,12.0589534194078,15.1850312514257,2.46013504265706,0.0431564250140531,0.028918822881336,12.7248962087686,32.3665130708517,"Nyctyornis athertoni","Nyctyornis_athertoni",25.17546249,"invertebrates"
"Indian Roller",2,601,464.99375,637.5375,444.65,433.91625,491.1,147.825,9.99874999999996,191.1725,600,400,35.9098041195477,24.2701164512655,0.0234141803249473,0.0224606985928427,11.6396876682822,21.863533328202,7.79342928981938,0.01547278140096,0.0118893628049454,14.0701040383826,28.1163748297283,"Coracias benghalensis","Coracias_benghalensis",28.50438198,"omnivore"
"Crested Kingfisher",2,1781.85,1757,1863.30625,1739.15,1667.45,1757,59.0749999999997,6.28500000000018,162.97125,1800,1700,27.6413013013013,15.6184334334334,0.0492164860936635,0.036917981366612,12.0228678678679,8.11191963616373,-4.04807836473587,0.0448703514731545,0.0334114256335395,12.1599980008996,31.6893796660372,"Megaceryle lugubris","Megaceryle_lugubris",29.88208589,"vertebrates"
"White-throated Kingfisher",0,1580,1580,1584,1584,1581,1588,-4,-8,0.203750000000039,1600,1600,28.9564082950875,16.9328998810131,0.046710595848932,0.0364053311715484,12.0235084140745,8.79992350841408,-3.37247577766446,0.0410408363124757,0.0302668088368569,12.1723992860785,32.328884072752,"Halcyon smyrnensis","Halcyon_smyrnensis",20.24597458,"vertebrates"
"Greater Flameback",0,861,815.04,861.4,900.000000000001,861,1035,-46.4000000000007,-178.2,0,900,900,34.4428358060341,22.2947674997511,0.04349096041162,0.0352590587250573,12.148068306283,14.5189684357264,1.89830230010953,0.0425190583718323,0.0285234458648067,12.6206661356168,32.5445335059246,"Chrysocolaptes lucidus","Chrysocolaptes_lucidus",19.87077838,"invertebrates"
"Black-rumped Flameback",2,861,828,861,696.6,666,793.602499999999,160.525,52.2924999999993,195,900,700,34.4428358060341,22.2947674997511,0.04349096041162,0.0352590587250573,12.148068306283,16.202084144074,3.29582738790159,0.0437319532203077,0.0291451190964541,12.9062567561724,31.1470084181325,"Dinopium benghalense","Dinopium_benghalense",20.69691878,"invertebrates"
"Scaly-bellied Woodpecker",2,2738,2685.4875,2810,2631.5,2628,2639,104,52.49625,178.805,2700,2600,20.3570086376724,8.41056220639491,0.0516831762524629,0.0341503979735411,11.9464464312775,0.701863136513273,-11.0015059186104,0.0453911024799525,0.036923162894389,11.7033690551236,31.3585145562828,"Picus squamatus","Picus_squamatus",23.45152733,"invertebrates"
"Greater Yellownape",0,2100,2049,2174.9475,2075.7,2035,2115.5,18.1999999999998,-43.8600000000004,105.71,2100,2100,27.1764638975482,14.1433777066307,0.0497340062127928,0.0314255894362978,13.0330861909175,5.15347965287724,-7.19780520684135,0.0331857422927083,0.0282161834627527,12.3512848597186,34.3742691043895,"Picus flavinucha","Picus_flavinucha",23.75209001,"invertebrates"
"Gray-headed Woodpecker",0,2484,2417,2499,2417,2417,2417,67,0,82,2500,2400,22.3530080530554,10.1359071530081,0.0538396112688407,0.0348385172889662,12.2171009000474,2.48172277828329,-9.48831665150136,0.0425458519984202,0.0336241706500588,11.9700394297847,31.8413247045568,"Picus canus","Picus_canus",25.20374788,"invertebrates"
"Lesser Yellownape",0,2049,2011,2108.2,2001.4,1870,2054.5625,58.1,-15.1537499999992,187.71375,2000,2000,27.5813886588502,14.8422961251798,0.0514115040492322,0.0342161535790828,12.7390925336704,6.02349736303012,-6.23649479143965,0.0367805185372145,0.0295535215008276,12.2599921544698,33.8178834502899,"Picus chlorolophus","Picus_chlorolophus",23.79629568,"invertebrates"
"Fulvous-breasted Woodpecker",2,2111.5,2034.46625,2219.1375,1870,1661.6,1913,281.875,153.24125,483.22,2100,1900,27.1764638975482,14.1433777066307,0.0497340062127928,0.0314255894362978,13.0330861909175,6.72522807196371,-5.43884103766373,0.0433600987790126,0.0336114510431376,12.1640691096274,32.6153049352119,"Dendrocopos macei","Dendrocopos_macei",25.1325589,"invertebrates"
"Rufous-bellied Woodpecker",2,2727.25,2684.8,2738,2485.8,2417,2490.45,244.3,202.988749999999,305.95,2700,2500,20.3570086376724,8.41056220639491,0.0516831762524629,0.0341503979735411,11.9464464312775,1.54627461595723,-10.2856398457062,0.0453875815140179,0.0361219892626303,11.8319144616634,30.6426484833786,"Dendrocopos hyperythrus","Dendrocopos_hyperythrus",28.96104642,"invertebrates"
"Himalayan Woodpecker",2,2893,2893,2956.1725,2860,2860,2860,33,33,96.1724999999994,2900,2900,18.6759867120146,6.92743810804398,0.050036170415283,0.033187661863865,11.7485486039706,-1.69841018745551,-13.0699359329273,0.0473845567592365,0.0412422288976189,11.3715257454718,31.7459226449419,"Dendrocopos himalayensis","Dendrocopos_himalayensis",26.72783541,"invertebrates"
"Brown-fronted Woodpecker",0,2370,2264.0225,2417,2242.75,2233,2286.0125,120.5,-0.0224999999999783,181.9075,2400,2200,23.541152562936,11.1284561722778,0.0546705602225242,0.0352396776069264,12.4126963906582,4.17222118175859,-8.01574117426725,0.0380559323250754,0.0304197356685805,12.1879623560258,31.5568937372032,"Dendrocopos auriceps","Dendrocopos_auriceps",31.49716659,"invertebrates"
"Gray-capped Pygmy Woodpecker",2,2042.7,1930.2825,2073,1768.4,1638.74375,1840,270,137.1175,396.98125,2000,1800,27.5813886588502,14.8422961251798,0.0514115040492322,0.0342161535790828,12.7390925336704,7.33040540540541,-4.81171171171171,0.044476986703483,0.033743506121438,12.1421171171171,32.3931003705619,"Dendrocopos canicapillus","Dendrocopos_canicapillus",28.28540051,"invertebrates"
