"Species","Group","Median_S","LCI_S","UCI_S","Median_W","LCI_W","UCI_W","Median_diff","LCI_diff","UCI_diff"
"Common Kingfisher",0,534,303,1199.55,307,158.825,433.8,355,-2.8,988.7
"Eurasian Tree Sparrow",1,1372,1323,1448,1562,1507,1753.1625,-201,-386.5625,-105.4875
"Large-billed Crow",0,2045,1935,2145.5,1999,1935,2117,40,-135,177
"Long-tailed Minivet",2,1954,1802,2310,873.5,702.5,986,1085.5,903.95,1461.0875
"Plumbeous Redstart",2,2240,2023.35,2266.05,1428,1270,1584,807.5,568.875,988.0125
"White-capped Redstart",2,3239,3001.5,3418,1398,1266,1529.025,1823.25,1532.925,2113
"Ashy-throated Warbler",2,2571,2538,2661.5,1948,1880.8875,2154,619.5,421.4,740.5125
"Bhutan Laughingthrush",2,2463,2282,2474,2010.5,1940.75,2114,421,217,524.125
"Buff-barred Warbler",2,3667.5,3635,3733,1812,1665,1867,1856,1782,2038.525
"Fire-breasted Flowerpecker",2,1934,1739,2009,1555.5,1472.95,1660.5,370,170.9625,484.075
"Green-backed Tit",0,2020.5,1976.5,2085,1999,1958.975,2081,29,-81.05,113
"Indian White-eye",0,1021,961,1142,1074,993.5,1119,-50,-126,73
"Lemon-rumped Warbler",2,2551,2494,2616,1657.5,1509,1837,880,696.4625,1050.0125
"Yellow-bellied Fairy-Fantail",2,2500,2357.5,2644.5,1074,973,1144,1426,1263.125,1581.5625
"Chestnut-tailed Minla",2,2501,2438,2636,2253,2186,2377.5,249,85.9875,410.075
"Golden Babbler",2,1273,1197,1441.125,934,596.75,1136.125,368,135.625,710.875
"Gray-sided Laughingthrush",0,2094.5,2045.525,2268.35,2051.75,2012.8625,2106.3625,29.5,-7.1875,224.3625
"Green-tailed Sunbird",2,2361,2278,2421,1837.5,1778.45,1867,515,435.975,595.5
"Mountain Hawk-Eagle",0,1627,1562.15,1715.85,1695,1518.025,1778.625,-50,-152.65,138.775
"Rufous-capped Babbler",0,2011,1939.8875,2089,2040,1952,2081,-8,-112.5125,114
"Rufous-vented Yuhina",2,3006,2860,3046,1739,1739,1947,1160,946,1307
"Striated Bulbul",0,1830,1739,1921.575,1773,1739,1982,34,-179.6,181
"Yellow-cheeked Tit",2,2002,1947.5875,2030.05,1824.5,1768.95,1931.65,169,84.45,230.125
"Ashy Bulbul",1,677,618,705.5,865.5,802,948,-203.5,-318.5,-114.5375
"Blue-throated Barbet",1,525.5,515,540,647,575,767,-115.5,-237,-49.4875
"Bronzed Drongo",0,911,674,954,676,605.425,782,221.75,-16.65,326.5375
"Chestnut-bellied Nuthatch",0,887,643.3125,922,775,670.3375,941,89.25,-181.025,235.025
"Common Hill Myna",0,318.5,306,425.525,258,207.95,427.5375,66,-96.0375,188.5125
"Golden-fronted Leafbird",0,421,368,440,289.5,182,463,126,-53.5,248.375
"Long-tailed Sibia",2,977,960,1084,830,647,865,164,126.9625,372.9
"Maroon Oriole",2,1543.5,1369,1739,496.5,423,545,1041,848.4875,1247
"Pin-tailed Green-Pigeon",0,440,418.35,496.5,526,331,642.05,-86,-206.1,115.925
"Pygmy Cupwing",2,2042,1953.6875,2104,833,833,833,1209,1120.6875,1271
"Red-headed Trogon",2,1144.5,1075.5,1296.125,896.75,893,938.625,234.5,182.5,394.9375
"Rufous-necked Hornbill",2,1377,1317.45,1602,1067,898,1097,310,234.175,535.4125
"Rusty-fronted Barwing",2,1739,1739,1837,1600.5,1445.8625,1739,146,12.5,334
"Streaked Spiderhunter",2,1039.5,954,1195,575,515,623.5,466.25,350.475,615.025
"Sultan Tit",2,1067,969.875,1107,838,830,948,171,53,292
"White-throated Bulbul",0,540,518.5,574,503,489,545,39.5,-8.025,88
"Blue Whistling-Thrush",2,2131,2053,2251,1730,1627,1822.5,384.75,263.9875,537
"Crested Kingfisher",1,742,659.9,906,1270,1236.4,1780,-556.5,-1040.55,-353.5
"White Wagtail",2,2266,2192,2309,1417,1257.5,1631,854,629.4125,1028.0125
"White-throated Kingfisher",0,199,192,211.5,154,127,219,47.5,-20,76
"Brown Dipper",0,2151,1684.2,2260.5,2250,2185,2272.6,-76,-572.5,24.8
"River Lapwing",0,1222,1204.5,1270,1506,1223,2185,-299,-978,0
"Great Barbet",2,1537,1456.5,1577,1303.5,1249,1359,232.25,140.9875,307.5125
"Great Hornbill",0,472,438,540,529,382,601,-32,-132.5,122.8
"Lesser Necklaced Laughingthrush",0,844.5,641,948,833,647,948,-8,-244.15,250.6125
