"Species","Group","Median_S","LCI_S","UCI_S","Median_W","LCI_W","UCI_W","Median_diff","LCI_diff","UCI_diff","elev_roundS","elev_roundW","maxTemp_June_mean","minTemp_June_mean","maxTemp_June_ci","minTemp_June_ci","tempRange_June","maxTemp_Jan_mean","minTemp_Jan_mean","maxTemp_Jan_ci","minTemp_Jan_ci","tempRange_Jan","ThermalRegime","Species3","Tree.name","HWI","Diet"
"Red-wattled Lapwing",1,1400.15,1245.2725,1613.8325,1644.65,1558.59,1690.95875,-205.3,-432.17125,-29.4275000000001,1400,1600,24.0707108578284,19.451799640072,0.0119630728366704,0.0126488271355564,4.61891121775645,13.026958307012,3.04011370814908,0.0320412434337288,0.0257665590682289,9.98684459886292,21.0305971496793,"Vanellus indicus","Vanellus_indicus",43.2386972,"invertebrates"
"White-throated Kingfisher",1,1232.25,1209,1371.69125,1545,1309.09875,1817.5,-297.474999999999,-566.98125,-41.1475000000003,1200,1500,25.0893087161872,20.4820666952913,0.0109226545265803,0.0111869571864997,4.60724202089595,13.6398242585909,3.61715047858152,0.0323460725620555,0.0253785621727127,10.0226737800094,21.4721582376057,"Halcyon smyrnensis","Halcyon_smyrnensis",20.24597458,"vertebrates"
"Bay Woodpecker",0,2474,2438.7125,2497.5425,2491.275,2156.19125,2508.6,-2.12500000000023,-36.7087499999995,317.808750000001,2500,2500,18.8248406139315,14.0319952774498,0.0235828083203425,0.0252483406293864,4.7928453364817,7.73605667060213,-2.16396694214876,0.0344990943898122,0.0370637649179759,9.90002361275089,20.9888075560803,"Blythipicus pyrrhotis","Blythipicus_pyrrhotis",12.33568599,"invertebrates"
"Greater Yellownape",0,2187,1961,2322.58,1942,1842.04,2081.5,222.599999999999,-43.7899999999997,420.77,2200,1900,20.2012205213074,15.4710591642532,0.0184162197454443,0.0195920417841669,4.7301613570542,11.2113057612425,1.27545602311721,0.0343526046599801,0.0304217196143785,9.93584973812534,18.9257644981902,"Picus flavinucha","Picus_flavinucha",23.75209001,"invertebrates"
"Lesser Yellownape",2,2457.175,2077.53375,2474,1785.775,1510.2525,1883.405,625.649999999999,348.68,774.81125,2500,1800,18.8248406139315,14.0319952774498,0.0235828083203425,0.0252483406293864,4.7928453364817,11.8308995426055,1.8936981196002,0.032187579097839,0.0276089536584374,9.93720142300525,16.9311424943313,"Picus chlorolophus","Picus_chlorolophus",23.79629568,"invertebrates"
"Golden-throated Barbet",0,2404.425,2232,2474,2403,2315.425,2474,-24.3750000000009,-240.84125,135.445,2400,2400,19.2857944344704,14.5157091561939,0.0189220981927332,0.0197535127200004,4.77008527827648,8.31696588868941,-1.58765709156194,0.0310316457269272,0.0319761757112239,9.90462298025135,20.8734515260323,"Megalaima franklinii","Megalaima_franklinii",16.72903508,"fruit"
"Blue-throated Barbet",0,1425.8,1397.6,1461,1538.4,1382.2,1699.115,-104.899999999999,-270.4925,63.0325,1400,1500,24.0707108578284,19.451799640072,0.0119630728366704,0.0126488271355564,4.61891121775645,13.6398242585909,3.61715047858152,0.0323460725620555,0.0253785621727127,10.0226737800094,20.4535603792469,"Megalaima asiatica","Megalaima_asiatica",17.49884742,"fruit"
"Great Barbet",2,2562,2526,2677,2355,2228,2463,215.025,94.2974999999984,381.400000000001,2600,2400,18.3618716701413,13.5391938846421,0.0239564046848664,0.0254194662071351,4.82267778549919,8.31696588868941,-1.58765709156194,0.0310316457269272,0.0319761757112239,9.90462298025135,19.9495287617032,"Megalaima virens","Megalaima_virens",21.67202429,"fruit"
"Scarlet Minivet",2,2801,2600.58375,2962,1800.9,1656.9625,1922.01625,1005.5,777.456250000001,1240.31375,2800,1800,17.5043603950855,12.6228378703927,0.0251533920959792,0.0263093173475517,4.88152252469284,11.8308995426055,1.8936981196002,0.032187579097839,0.0276089536584374,9.93720142300525,15.6106622754853,"Pericrocotus flammeus","Pericrocotus_flammeus",27.33760301,"invertebrates"
"Black-hooded Oriole",0,540,529,540,499.4,406.7925,540,38.5,-2.75,133.2075,500,500,28.7198271413829,24.1112100103199,0.0106961153210823,0.00784150230567837,4.60861713106295,20.021826625387,9.52920536635707,0.0247815183021447,0.0153867428921848,10.4926212590299,19.1906217750258,"Oriolus xanthornus","Oriolus_xanthornus",26.9861565,"fruit"
"Maroon Oriole",2,2677,2474,2677,1826.125,1398.0525,2033.45,814.849999999999,499.755,1264.945,2700,1800,17.9305899490168,13.0649429473173,0.0234566611663281,0.0250546434611816,4.86564700169944,11.8308995426055,1.8936981196002,0.032187579097839,0.0276089536584374,9.93720142300525,16.0368918294166,"Oriolus traillii","Oriolus_traillii",26.13313045,"omnivore"
