"Species","Group","Median_S","LCI_S","UCI_S","Median_W","LCI_W","UCI_W","Median_diff","LCI_diff","UCI_diff"
"Eurasian Tree Sparrow",1,1372,1273,1454.1,1562,1506.925,1784,-201,-423,-91
"Large-billed Crow",0,2074,1939.9,2235,2074,1935,2223.5875,18.25,-197.5875,231
"Plumbeous Redstart",2,2245,1962.625,2274.5,1425,1266.225,1607,816,510.3,996
"White-capped Redstart",2,3239,2903,3479,1375,1252.75,1541.025,1853,1529.15,2148
"Ashy-throated Warbler",2,2588.5,2538,2695,1946.5,1843,2189,638.5,409,772.5
"Fire-breasted Flowerpecker",2,1934,1739,2032.6125,1548,1430,1671,381.25,138.5,537.0375
"Green-backed Tit",0,2063.5,1974,2131,2003.25,1946.4875,2114,36,-95.0625,147.05
"Indian White-eye",0,1009.25,945,1144,1072.5,978.925,1144,-60,-156.175,85.05
"Chestnut-tailed Minla",2,2548,2438,2667.5,2253,2180,2385,269.5,86,451.7
"Green-tailed Sunbird",2,2368,2282.875,2438,1832,1739,1867,536,441.4375,630.025
"Rufous-vented Yuhina",2,2886,2881.25,2890.75,1739,1739,1739,1147,1142.25,1151.75
"Blue-throated Barbet",1,540,515,557,677,599.9875,777.2875,-138,-257,-65.975
"Bronzed Drongo",0,911,663.65,954.45,699.5,618,824.9,181,-87.375,300.3
"Chestnut-bellied Nuthatch",0,878.5,667.5625,933.6,775,681.95,952.2,94,-139.9875,218.5375
"Maroon Oriole",2,1488,1336.8,1739,512,429.825,595,972,800.375,1247
"Rusty-fronted Barwing",2,1801,1801,1801,1609,1609,1609,192,192,192
"Streaked Spiderhunter",2,999,926,1161.85,585,531,641.5,417.5,326.925,594.125
"Blue Whistling-Thrush",2,2138.5,2054.4125,2260,1734,1609.4375,1853,396.25,243.95,576.05
"White-throated Kingfisher",0,199,179,220.2375,157,126,228,44.25,-27.325,79
"Great Barbet",2,1503,1446,1577,1302,1172.775,1359,211,110.4875,337.6125
"Orange-bellied Leafbird",1,935,888.5,1002.2375,1074,973.9625,1160.4875,-156,-226.125,-9.38749999999995
"Red-tailed Minla",2,2368,2209,2424,1492,1428,1665,860.75,638.825,962
"White-crested Laughingthrush",0,969,942,1003,948,898,1054,12,-80,82.0125
"Black Bulbul",2,1533.5,1454,1584.5,1201.5,1074,1274.0375,335,213,480.025
"Black-hooded Oriole",1,138.5,130.5625,139,145.5,142,162,-13.25,-23.875,-3
"Black-throated Tit",1,1825.5,1773.25,1877.75,1924,1904.05,1943.95,-98.5,-130.8,-66.2
"Gray-hooded Warbler",0,1533,1405,1644,1452.5,1402,1507,64.25,-50.5,192
"Spotted Dove",2,557,440,749.175,258.5,219,325,304,162.9875,481.175
"White-throated Fantail",2,1665,1404.5,1739,726,618,852.749999999999,914.5,629.975,1088.3
"Asian Pied Starling",0,139,139,139,133,113,160.95,6,-21.95,26
"Beautiful Sibia",2,2089,2029.9,2190.7,1739,1739,1739,350,290.9,451.7
"Black-throated Sunbird",2,1305,1222,1454.5625,833,716,998,458,291.3125,627.75
"Olive-backed Pipit",2,2842.5,2771,3006,1856.5,1724.15,1994.075,980.5,781.6,1202.7
"Small Niltava",2,1363,1229,1576.6,801,632.25,833,578.5,426,819.35
"Ashy Drongo",2,1577,1488,1673,857,815,948,716.5,607.975,830.025
"Hair-crested Drongo",2,731,641,948,515,393,545,254,129.95,484
"Red-vented Bulbul",1,659,618,728.0375,906,849,984.15,-246.75,-344.5,-154
"Chestnut-crowned Laughingthrush",2,2513,2443,2538,2417.5,2345,2440,94,12.9375,170
"Streak-breasted Scimitar-Babbler",0,2390,2288.8,2463,2368,2283.5,2463,22.5,-101.9,124.9
"Striated Laughingthrush",0,1910.5,1739,2002.0125,1777.5,1736,1883.5,107.25,-63.025,261.5375
"Blue-winged Minla",2,1934,1811,1976.575,1377,1151,1402,562,424.925,766.6
"Gray Bushchat",2,2225.5,2074,2282,1507,1391,1653,701,501.4875,858.5
"Gray-headed Canary-Flycatcher",2,1739,1701,1739,707,580,833,1031.5,906,1159
"Nepal Fulvetta",0,960,884,1012.7375,940,840.5,1074,20,-167.6125,138
"Russet Sparrow",0,2308,2265,2382,2340,2312,2404,-36,-111.0125,42.5624999999999
"White-tailed Nuthatch",0,2088.5,2002.025,2228.8,1970,1866.65,2067.35,110,-35.225,348.375
"Himalayan Bulbul",0,1200,1067,1311.5,1018,948,1113,186.75,-8.025,334.5
"Oriental Turtle-Dove",2,2344,2312,2417,1665,1553,1784,698,577.5,825.0125
"Rufous Sibia",2,2366,2270.95,2483,2180,2042,2246.0625,212.75,79,366.025
"Large Niltava",2,1739,1683.95,1775,1484,1369,1588.3625,253.75,158.6875,404.687499999999
"Greater Yellownape",0,1199,1078,1386.2,992.5,932.4,1177.2,238.5,-34.3,413.6
"Common Green-Magpie",0,988.25,981.8375,994.6625,972.5,929.275,1015.725,15.75,-21.0625,52.5625
"Oriental Magpie-Robin",1,513,401,529,794.5,695,849,-301,-411.1,-182
"Common Myna",0,557,454.425,592.6875,811.75,538.4875,865,-258,-389.5375,28
"Common Tailorbird",1,515,499.8625,542,767,677,835.0125,-254,-322.025,-161.9875
"Whiskered Yuhina",2,2042,1979,2089,1536,1470,1633,504.5,388.975,589.5125
"Scarlet Minivet",2,1001,954,1129.5,833,637.8625,865,228.25,116.9875,395.5625
"White-collared Blackbird",2,2720,2698,2771,2534,2512,2538,182,160,241
"Blue-fronted Redstart",2,3796,3767.1625,3886.0875,2312,2251.25,2362.2,1483.5,1430.35,1596.85
"Gray-backed Shrike",2,2538,2512,2539,1070.5,887.5,1175.1,1464,1357,1646.525
"Gray Treepie",1,1184,1062.975,1253,1407,1334,1474,-228,-364.1125,-142.9625
"Red-whiskered Bulbul",2,515,513,548.775,259,250,379,256,136,285
"Chestnut-tailed Starling",2,309,256,436,190,143,237,128,66.075,264
"Chestnut-headed Tesia",2,2454,2424,2500,1486.75,1377,1597.725,957.25,861.6375,1096.35
"Stripe-throated Yuhina",2,2576,2491,2688,1739,1739,1941,803.5,619.7,946.75
"Whistler's Warbler",2,2540.25,2454,2623,1045,948,1227.4125,1522,1322.4375,1615.0375
"Red-billed Chough",2,3118,2962,3501,2846,2739,2858,315.5,114,730.799999999999
"Eurasian Nutcracker",0,2895,2843.9875,2974,2875,2814,2913,31,-54,143
"Yellow-billed Blue-Magpie",0,2558,2548.5,2643,2594,2558,2677,-30.5,-116,58
"White-throated Laughingthrush",2,2559.5,2558,2604.4,2332,2117,2438,227,121.5,451.449999999999
"Red-billed Leiothrix",2,2121,2039,2219,1829.5,1728,1891.6875,281.75,183.25,416.5625
"Long-tailed Shrike",2,1810,1595,1944.0125,1074,953.85,1252.7375,670.75,442.875,918.075
"Black Drongo",0,172,139,365,183.5,135.5,283.975,0.5,-111,191.575
"House Sparrow",0,214,166.675,247.6375,256.5,140.55,312,-40.5,-133.325,77.75
"Jungle Myna",1,81,49.35,104.65,146.5,137.9,183.85,-62,-106.3,-41.8
"Black-faced Laughingthrush",2,3361,3181,3419,2913,2823.1375,2995,445.25,254.975,549.075
"Spotted Laughingthrush",1,2719,2700.2,2732.05,2838,2740.35,2850.5,-119,-146.8,-37
"House Crow",0,1148,1007,1285.5,1264,701.5,1409,-103.25,-343.5375,455
"Jungle Babbler",1,138,117.4,139,250,234.25,258,-113,-140,-97.1000000000001
