"","Value","Std.Error","t-value","p-value","Lambda"
"(Intercept)",-440.984947650704,247.776484642413,-1.77976916690511,0.0764574452539236,0.738094858384474
"Median_S",0.28410874966469,0.0263140039556387,10.7968650511588,3.48430780114226e-22,0.738094858384474
