Tree.name,Species,Median_S_upper,Median_W_upper,Median_diff_upper,Median_S_median,Median_W_median,Median_diff_median,Median_S_lower,Median_W_lower,Median_diff_lower,Summer_range,Diff_ratio_upper,Diff_ratio_median,Diff_ratio_lower
Phoenicurus_caeruleocephala,Blue-capped Redstart,3311,2630.4,675.3,2301,1945,356.25,1244.125,1029.8,209.75,2066.875,0.203956509,0.15482399,0.168592384
Prinia_inornata,Plain Prinia,1532.2,1191.9,326,522,434.5,91,272,262.5,9.1,1260.2,0.212765957,0.174329502,0.033455882
Sturnus_pagodarum,Brahminy Starling,1050.85,827,223.85,638,580,58,272,272,0,778.85,0.213018033,0.090909091,0
Monticola_solitarius,Blue Rock-Thrush,4417.4,3509.4,942.4,3076,511,2577,703.25,384.2,283.95,3714.15,0.213338163,0.837776333,0.403768219
Chaimarrornis_leucocephalus,White-capped Redstart,3477.7,2703,744.425,1874,1270,599,441,372,66,3036.7,0.214056704,0.31963714,0.149659864
Dicrurus_hottentottus,Hair-crested Drongo,1309,1025.85,282.075,602,653,-51,354,313.475,38.45,955,0.215488923,-0.084717608,0.108615819
Prunella_strophiata,Rufous-breasted Accentor,3497,2711,766.025,1987,1795,192,1273.2,995.525,283.525,2223.8,0.219052045,0.096628083,0.222686931
Pnoepyga_albiventer,Scaly-breasted Cupwing,3216,2513.8,705.7,1952,1862,90,1291.8,1062.35,227.075,1924.2,0.21943408,0.046106557,0.175781855
Ficedula_superciliaris,Ultramarine Flycatcher,2668.45,2062,601.625,2121,1149,969,589.8,272,313.925,2078.65,0.2254586,0.456859972,0.532256697
Phylloscopus_maculipennis,Ashy-throated Warbler,3240.8,2510,731.6,2417,1952,465,1340,1179.1,162.45,1900.8,0.225746729,0.192387257,0.121231343
Phylloscopus_chloronotus,Lemon-rumped Warbler,3111.1,2417,713.3,1942,1542,387.5,602,492,116.675,2509.1,0.229275819,0.19953656,0.193812292
Turdus_albocinctus,White-collared Blackbird,3428.75,2636.2,791.875,2784,2173,611,1942,1442.75,472.725,1486.75,0.230951513,0.219468391,0.24342173
Leucosticte_nemoricola,Plain Mountain-Finch,4529,3457,1070.125,3665,2138,1505,1754,1583.4,176.875,2775,0.236282844,0.410641201,0.100840935
Phylloscopus_humei,Hume's Warbler,2499,1905.325,593.25,1415,602,813,279.125,272,7.125,2219.875,0.237394958,0.574558304,0.025526198
Tarsiger_cyanurus,Himalayan Bluetail,3298.125,2499,799.125,2271,1952,313.5,1380.25,1255,127.1,1917.875,0.24229676,0.138044914,0.092084767
Corvus_monedula,Eurasian Jackdaw,2704,2045,657.8,1604.5,1602,3,1579,1579,0.05,1125,0.243269231,0.001869741,3.17E-05
