Tree.name,Species,Median_S_upper,Median_W_upper,Median_diff_upper,Median_S_median,Median_W_median,Median_diff_median,Median_S_lower,Median_W_lower,Median_diff_lower,Summer_range,Diff_ratio_upper,Diff_ratio_median,Diff_ratio_lower
Phylloscopus_xanthoschistos,Gray-hooded Warbler,2417,2417,0,1943,1383,560,861,403,458,1556,0,0.288214102,0.531939605
Picus_canus,Gray-headed Woodpecker,2417,2417,0,1542,1498,44,449.325,538.3,-82.075,1967.675,0,0.028534371,-0.182662883
Ploceus_philippinus,Baya Weaver,827,827,0,602,602,0,272,262,10,555,0,0,0.036764706
Pomatorhinus_erythrogenys,Rusty-cheeked Scimitar-Babbler,2417,2417,0,1419,1434,-15,591,592.65,0,1826,0,-0.010570825,0
Pomatorhinus_ruficollis,Streak-breasted Scimitar-Babbler,2417,2417,0,2417,2417,0,1945.1,1614.8,342.975,471.9,0,0,0.176327695
Sturnus_contra,Asian Pied Starling,827,827,0,368,388,-17,272,264.6,7,555,0,-0.046195652,0.025735294
Pica_pica,Eurasian Magpie,4211,4204.5,6.5,3286,3263,23,2629,3088.3,-467.625,1582,0.001543576,0.006999391,-0.177871814
Lophura_leucomelanos,Kalij Pheasant,2499,2489.9,4,1855.5,1745,116,752.05,759.3,1.875,1746.95,0.00160064,0.062516842,0.002493185
Cercomela_fusca,Brown Rock Chat,830.05,827,3.05,584,595,-9,272,272,0,558.05,0.003674477,-0.015410959,0
Pucrasia_macrolopha,Koklass Pheasant,3235.425,3236,13.35,2473.25,2324,147,1667,1708.5,-40.15,1568.425,0.004126197,0.059435965,-0.024085183
Megalaima_asiatica,Blue-throated Barbet,1936,1933.8,8.75,1275,1187,82,522.45,402.05,120.95,1413.55,0.004519628,0.064313725,0.231505407
Parus_dichrous,Gray-crested Tit,3269,3254.15,14.85,2784,2696.5,87.5,1555.975,1622,-70.95,1713.025,0.004542674,0.031429598,-0.045598419
Urocissa_flavirostris,Yellow-billed Blue-Magpie,2511,2499,12,2158,1861,300.75,1152.75,974.6,175.4,1358.25,0.004778973,0.139365153,0.152157883
Yuhina_flavicollis,Whiskered Yuhina,2511,2499,12,2174,1863,311,1556,765.5,787.375,955,0.004778973,0.143054278,0.506025064
Minla_cyanouroptera,Blue-winged Minla,2150.6,2126.8,21.425,1365,1365,0,1095.4,1078.7,38.7,1055.2,0.009962336,0,0.03532956
Tephrodornis_pondicerianus,Common Woodshrike,1055.25,1035.75,11.25,403,441,-46,272.7,272,5.85,782.55,0.010660981,-0.114143921,0.021452145
Dendrocitta_vagabunda,Rufous Treepie,1239.45,1226,14.45,602,591,11,272,272,0,967.45,0.011658397,0.018272425,0
Nectarinia_asiatica,Purple Sunbird,1255,1234.25,14.775,599,409,190,272,268,4,983,0.011772908,0.317195326,0.014705882
Mycerobas_melanozanthos,Spot-winged Grosbeak,2534.2,2499,35.2,2174,2035,139,1413.8,1542.6,-128.8,1120.4,0.013889985,0.063937443,-0.091101995
Ficedula_parva,Red-breasted Flycatcher,1356.75,1332,21.075,580,486,100.75,272,259,13,1084.75,0.015533444,0.173706897,0.047794118
