"Species","Group","Median_S","LCI_S","UCI_S","Median_W","LCI_W","UCI_W","Median_diff","LCI_diff","UCI_diff","elev_roundS","elev_roundW","maxTemp_June_mean","minTemp_June_mean","maxTemp_June_ci","minTemp_June_ci","tempRange_June","maxTemp_Jan_mean","minTemp_Jan_mean","maxTemp_Jan_ci","minTemp_Jan_ci","tempRange_Jan","ThermalRegime","Tree.name","Scientific","HWI","Diet"
"White-crested Laughingthrush",0,1814,1739,2022,2053.375,1804.9625,2328,-227.05,-550.708749999996,130.5625,1800,2100,22.1773862713241,17.2441917140536,0.0128999736865559,0.0129100019407169,4.93319455727051,10.0939594648298,-0.376076301496887,0.0350756200045302,0.0421555595450798,10.4700357663267,22.553462572821,"Garrulax_leucolophus","Garrulax leucolophus",5.692448289,"invertebrates"
"White-throated Laughingthrush",0,3233,3140,3276,3291.75,2911.125,3357,-56.4499999999994,-195.875,307.75,3200,3300,15.7495153743316,10.4962901069519,0.0223981117374672,0.0248796193002895,5.25322526737968,3.1560441426146,-7.21617996604414,0.0319695407232148,0.049670851654882,10.3722241086587,22.9656953403757,"Garrulax_albogularis","Pterorhinus albogularis",7.277778343,"invertebrates"
"Jungle Babbler",0,1040,970.852499999998,1292.8475,1096,931.4175,1450.12,-40.8750000000005,-437.995,261.219999999999,1000,1100,26.2442261679889,21.3225853167107,0.0106403243696162,0.00747882300964796,4.92164085127818,16.4374845445803,5.43938040939689,0.0247696538614653,0.0301209693424514,10.9981041351834,20.804845758592,"Turdoides_striata","Argya striata",9.46000401,"omnivore"
"Rufous-capped Babbler",2,2949.9,2786.775,3042.85,2780.9,2563.375,2796.15,199.299999999998,3.2000000000005,378.512500000001,2900,2800,17.0531751451007,11.8928644588597,0.0204790398873133,0.0230185262909166,5.16031068624104,5.90342787541326,-4.49949538889856,0.0329520440574153,0.0492310649162341,10.4029232643118,21.5526705339993,"Stachyris_ruficeps","Cyanoderma ruficeps",9.846389316,"invertebrates"
"Streak-breasted Scimitar-Babbler",2,3050.85,2881,3146,2792.9,2746.45,2831.77,258.849999999999,89.5899999999999,382.30375,3100,2800,16.1871616932686,10.966932685635,0.0215582096824161,0.0244435401257766,5.22022900763359,5.90342787541326,-4.49949538889856,0.0329520440574153,0.0492310649162341,10.4029232643118,20.6866570821672,"Pomatorhinus_ruficollis","Pomatorhinus ruficollis",10.00654519,"invertebrates"
"Rusty-cheeked Scimitar-Babbler",0,1903.8,1774.8475,2021.5125,1977.95,1928.2125,2024,-82.3500000000007,-211.22375,45.2274999999998,1900,2000,21.6982190355036,16.7341274430438,0.0145048450287383,0.015474462332119,4.96409159245981,10.7385517157162,0.234705092196849,0.034702495463683,0.0404316571588155,10.5038466235194,21.4635139433068,"Pomatorhinus_erythrogenys","Erythrogenys erythrogenys",5.504791561,"invertebrates"
"Common Tailorbird",0,1551.325,1465,1640.01375,1599.05,1534.285,1715.025,-60.3750000000006,-193.40875,56.2200000000002,1600,1600,23.1558970756125,18.2352595064547,0.0124787985534398,0.0114270197583065,4.92063756915781,13.3181259330816,2.63019232458066,0.0292256301139292,0.033420129195188,10.6879336085009,20.5257047510318,"Orthotomus_sutorius","Orthotomus sutorius",10.61962388,"invertebrates"
"Red-vented Bulbul",0,1979,1906.6725,2074,1953.95,1855.9975,1975.8,31.6499999999999,-53.4024999999996,137.829999999998,2000,2000,21.218573696422,16.2607766516058,0.0156123124354501,0.0165641419554537,4.95779704481622,10.7385517157162,0.234705092196849,0.034702495463683,0.0404316571588155,10.5038466235194,20.9838686042252,"Pycnonotus_cafer","Pycnonotus cafer",16.99361609,"omnivore"
"Black-crested Bulbul",0,880.6,742.88,1365.15,1127,982.52,1494.36,-246.100000000001,-635.759999999998,253.079999999999,900,1100,26.7405054892026,21.8516950174931,0.0106333549960347,0.00694369435534531,4.88881047170949,16.4374845445803,5.43938040939689,0.0247696538614653,0.0301209693424514,10.9981041351834,21.3011250798057,"Pycnonotus_melanicterus","Rubigula flaviventris",11.70930131,"fruit"
"Red-whiskered Bulbul",0,1221.6,782.715,1677.26,896.4,819,1035.1675,303.274999999998,-151.827499999999,800.95625,1200,900,25.2167747333194,20.2889005089591,0.0111025054083011,0.00860100872316076,4.92787422436032,17.7420858969719,6.65194233321269,0.0220052502891657,0.026574027707067,11.0901435637592,18.5648324001067,"Pycnonotus_jocosus","Pycnonotus jocosus",14.25432338,"omnivore"
