"Value","Std.Error","t-value","p-value","dataset","Variable"
3799.88325149306,105.302102144757,36.0855403082974,1.16523774979334e-85,"05.q1.sam30","(Intercept)"
-121.686189051202,2.81250165291159,-43.2661751239253,1.06649666566203e-98,"05.q1.sam30","ThermalRegime"
-0.812654206089307,1.2929245738578,-0.628539531632943,0.530425794047997,"05.q1.sam30","HWI"
82.0483452017649,42.4131551518143,1.93450227666581,0.0545768303223993,"05.q1.sam30","Dietinvertebrates"
75.1496251168218,44.0481036698339,1.70608082654617,0.0896711855957086,"05.q1.sam30","Dietomnivore"
120.535470312054,50.1826303067988,2.40193607977786,0.0172981230397165,"05.q1.sam30","Dietseeds"
12.0378578709347,79.8619043808596,0.150733418696434,0.880350235757075,"05.q1.sam30","Dietvertebrates"
3828.17028225445,121.824992355756,31.423521629087,5.0547219629671e-65,"05.q1.sam60","(Intercept)"
-122.340368376062,3.48647289632485,-35.090009879332,6.06983640582507e-71,"05.q1.sam60","ThermalRegime"
-0.905572895905588,1.28559736567929,-0.70439853104949,0.482363109974437,"05.q1.sam60","HWI"
64.9531989955388,43.3724653093473,1.49756760498326,0.136513047298049,"05.q1.sam60","Dietinvertebrates"
64.8946620943868,44.687989063854,1.45217234997215,0.148707199773976,"05.q1.sam60","Dietomnivore"
108.869245286504,51.8093531951423,2.10134345581276,0.0374156525554175,"05.q1.sam60","Dietseeds"
-63.4232292939842,86.8170156132033,-0.73053915578663,0.466290227958003,"05.q1.sam60","Dietvertebrates"
3801.54339946422,98.2175529185456,38.7053361288377,9.72722036521449e-97,"05.q2.sam30","(Intercept)"
-122.325989040149,2.50006925009767,-48.9290402797321,9.91475249049193e-116,"05.q2.sam30","ThermalRegime"
0.178674597899446,1.26078077952361,0.141717418921121,0.887441044341956,"05.q2.sam30","HWI"
72.4419608716369,38.2999379757444,1.89143807275915,0.0599622023236934,"05.q2.sam30","Dietinvertebrates"
66.4339697766615,40.0364013672108,1.65933918903785,0.0985617328618021,"05.q2.sam30","Dietomnivore"
101.90358671605,46.7195105743371,2.18117838700188,0.0302969297759034,"05.q2.sam30","Dietseeds"
14.7705355236077,77.777848929123,0.189906711576296,0.84956832814978,"05.q2.sam30","Dietvertebrates"
3859.80883999481,103.858645796249,37.1640589996428,1.05854646847213e-79,"05.q2.sam60","(Intercept)"
-124.438278376079,2.81820970153842,-44.1550812589105,1.97548568886623e-90,"05.q2.sam60","ThermalRegime"
-0.312162145109762,1.27221396832901,-0.245369216877701,0.806491006480819,"05.q2.sam60","HWI"
61.5488499762037,39.2047940422082,1.56993172595014,0.118444210957425,"05.q2.sam60","Dietinvertebrates"
75.913678333785,40.3689669948553,1.8804959349953,0.0618926089090743,"05.q2.sam60","Dietomnivore"
119.184119338435,46.7707176773818,2.54826364137817,0.0117859707699454,"05.q2.sam60","Dietseeds"
-40.3684181421047,83.5735722408754,-0.483028510804289,0.629748375954688,"05.q2.sam60","Dietvertebrates"
3757.67007702025,97.513901613001,38.5347116140747,3.09622392800069e-98,"05.q3.sam30","(Intercept)"
-121.260156090078,2.4113825591081,-50.2865692679343,1.66812820342935e-120,"05.q3.sam30","ThermalRegime"
0.583656075628606,1.28274060067604,0.455007095995094,0.649565391433143,"05.q3.sam30","HWI"
65.3637054658138,37.1779565654811,1.75813066408557,0.080154841497576,"05.q3.sam30","Dietinvertebrates"
60.3044102052256,39.0985077366769,1.54237114652476,0.124460843781968,"05.q3.sam30","Dietomnivore"
92.0667608529468,46.190365566699,1.99320268898938,0.0475093724689744,"05.q3.sam30","Dietseeds"
23.7691679566778,77.0304558041967,0.308568444890116,0.757949997264734,"05.q3.sam30","Dietvertebrates"
3864.68024986508,99.9114264263279,38.6810636991035,4.17863817419571e-83,"05.q3.sam60","(Intercept)"
-123.848436411643,2.58218736150367,-47.9626065319766,7.28774750665439e-97,"05.q3.sam60","ThermalRegime"
-1.08899681382864,1.19043608432232,-0.914788142068601,0.361679427095498,"05.q3.sam60","HWI"
63.8434142210195,38.8199834449076,1.64460178896327,0.102015280258108,"05.q3.sam60","Dietinvertebrates"
81.5680022970141,40.0020535222991,2.03909537422983,0.0430860587744086,"05.q3.sam60","Dietomnivore"
125.701602046718,46.3947487932436,2.70939287993352,0.00747519269954497,"05.q3.sam60","Dietseeds"
14.2173685870509,73.4539169473485,0.193554941355161,0.846769882106025,"05.q3.sam60","Dietvertebrates"
4216.48709562177,76.179766351387,55.349173377256,4.59934060622242e-117,"95.q1.sam30","(Intercept)"
-128.694805416094,1.93448196852424,-66.5267536788008,3.8954986984197e-131,"95.q1.sam30","ThermalRegime"
-0.108148825212463,0.968532299884902,-0.111662590112188,0.91121200013137,"95.q1.sam30","HWI"
-17.6616514898201,34.1498789426688,-0.517180500682612,0.605647948259011,"95.q1.sam30","Dietinvertebrates"
-12.5399675482652,34.7310072434497,-0.361059714173139,0.718466782209506,"95.q1.sam30","Dietomnivore"
-18.5473784330717,39.3003208227937,-0.471939618933452,0.637526052978345,"95.q1.sam30","Dietseeds"
-74.8376537713514,64.0559865963309,-1.16831630809099,0.244182563706717,"95.q1.sam30","Dietvertebrates"
4264.01083124868,97.1391059945332,43.8959241758788,2.42485970900617e-83,"95.q1.sam60","(Intercept)"
-130.482814300216,2.43894231964487,-53.4997540734033,1.27965157618952e-94,"95.q1.sam60","ThermalRegime"
-0.563644869886127,1.20756874592591,-0.466760067936299,0.641402311847366,"95.q1.sam60","HWI"
5.02905728620013,37.7030201516014,0.133386059418546,0.894080987619582,"95.q1.sam60","Dietinvertebrates"
