"","Value","Std.Error","t-value","p-value","Lambda"
"(Intercept)",-111.163099402821,220.143150216766,-0.504958247819036,0.614219855088068,0.845047381490219
"Median_S",0.190049179255768,0.025556335308451,7.43648011195576,4.35807103547407e-12,0.845047381490219
