"","Value","Std.Error","t-value","p-value","Lambda"
"(Intercept)",3086.86951377243,139.594697845957,22.1130856787899,1.17315813636875e-50,-0.0340533811008049
"ThermalRegime",-98.7414045303809,3.93136307830378,-25.1163279920164,1.43267961423234e-57,-0.0340533811008049
"HWI",2.35213927241229,1.3851285859482,1.69813784530489,0.0914135946254912,-0.0340533811008049
"Dietinvertebrates",51.1028924941856,50.6321333217511,1.00929763653139,0.314346372841007,-0.0340533811008049
"Dietomnivore",62.9529330679451,51.8427926124141,1.21430443646415,0.226409597642088,-0.0340533811008049
"Dietseeds",10.7412853603788,60.3429718277979,0.178003917192403,0.858943670039928,-0.0340533811008049
"Dietvertebrates",35.4830432704821,103.629542400157,0.342402778673549,0.732494385657757,-0.0340533811008049
