"","Value","Std.Error","t-value","p-value","Lambda"
"(Intercept)",-439.396410657516,273.807122056116,-1.60476618488931,0.10984945236514,0.795498873518051
"Median_S",0.293518990003375,0.0258506118597212,11.3544310516192,3.11953400623527e-24,0.795498873518051
