"Species","Group","Median_S","LCI_S","UCI_S","Median_W","LCI_W","UCI_W","Median_diff","LCI_diff","UCI_diff"
"Black Redstart",2,4714,4665,4874.425,1987,1918.4,2034,2745.375,2655.45375,2899.14
"Common Myna",2,2417,2417,2417,2173,2173,2174,244,243,244
"Crimson Sunbird",2,1558.3,1499.9875,1580,1248,1215.595,1263.02,308.15,248.945,348.7575
"Gray Bushchat",2,2639,2627,2650.25,2146,2115,2173,491.75,454,529.5025
"Gray-hooded Warbler",2,2484,2418.63875,2499,2417,2417,2417,67,1.63874999999964,82
"Himalayan Bulbul",2,2417,2417,2417,2224,2180,2233,193,184,237
"House Sparrow",2,3845,3703,3923.4075,2417,2348.4775,2417,1428,1286,1510.645
"Large-billed Crow",2,2893,2850.03875,2893,2630,2630,2630,263,220.038749999998,263
"Little Cormorant",2,982.2,868.115,1053.5,761,679.385,771,224.349999999999,107.12625,319.0125
"Red-vented Bulbul",2,2173,2173,2173,2035,2008.94375,2078.44,138,93,164.05625
"Rufous Treepie",1,921.05,861,972.01,1053.85,1011,1093,-133.3,-200.90125,-60.465
"Russet Sparrow",2,2716.2,2704,2761.8,2417,2417,2417,299.2,287,344.799999999999
"Yellow-billed Blue-Magpie",2,2511,2510.15,2511,2479,2417,2499,32,12,94
"Alexandrine Parakeet",1,1427,1399.95,1497,1820.9,1718.72375,1934.11,-391.375,-503.635,-272.342500000002
"Black Kite",0,1949,1901,1977.21125,1949,1896.99375,1959.43125,0.400000000000318,-46.005,51.5862500000002
"Blue Whistling-Thrush",2,2893,2864.39,2893,2499,2499,2499,394,365.39,394
"Eurasian Jackdaw",1,2705.2,2697.385,2769.47625,3197,2931.3725,3197,-490.2,-499.015,-195.099999999989
"European Goldfinch",2,3710.875,3652.475,3793.8,3242.4,3237,3243.8,469.05,410.71625,550.037499999998
"European Starling",1,2141.9,1899.975,2213.25,3240,3240,3240,-1098.1,-1340.025,-1026.75
"House Crow",0,1796.2,1749.28,1838.49875,1810,1784.94125,1810,-10.5500000000002,-60.6012500000018,41.1099999999988
"Rose-ringed Parakeet",0,1360.95,1323,1460.1125,1309,1255,1368,53.5250000000001,-36.3087500000002,157.35375
"Streaked Laughingthrush",2,2738,2697.09875,2783.35,2642,2638.395,2642,96,55.1999999999998,141.35375
"Tickell's Thrush",1,2747.75,2642,2811.9225,3242.2,3241.465,3242.2,-494.05,-600.135,-428.792500000001
"Bar-tailed Treecreeper",2,2826.5,2790.2475,2894,2535.6,2499,2539,294.925000000001,261.03875,374.310000000003
"Coal Tit",2,3141.25,3040.7375,3216,2893,2893,2918,244.95,141.493750000001,323
"Plain Mountain Finch",2,4652.175,4594.9325,4692,2860,2855.75,2860,1793,1734.9325,1832
"Rock Bunting",2,4162,4094.98125,4204.5375,2417,2417,2417,1745,1677.98125,1787.5375
"Yellow-breasted Greenfinch",1,2862,2836,2927.26125,3215.8,2979.87249999999,3224,-352.7,-380.805,-110.746249999991
"Common Raven",2,5278.7,4986.29,5349.2,4600.45,4441.89,4633.85,684.950000000001,400.3525,805.275000000001
"Egyptian Vulture",0,1836,1758.99375,1952.0075,1650.5,1303.145,1855.02875,181.3,-51.0037500000002,544.950000000001
"Plumbeous Redstart",2,3251,3216,3306.5725,2630,2630,2630,621,586,676.572500000001
"Black Bulbul",2,2499,2499,2499,2383.8,2293,2417,115.2,82,206
"Cinereous Tit",2,3420,3307,3487,3237,3237,3240,183,67,250
"Green-backed Tit",2,2572.8,2526.39125,2616.205,2499,2499,2499,73.8000000000002,27.3912500000005,117.205
"Oriental Turtle-Dove",2,3509.625,3487,3538.5075,2290.25,2185.13125,2312,1225.55,1175,1323.22
"Ultramarine Flycatcher",2,2738,2738,2748.10625,2025.85,1965.65125,2031.15,718.275000000001,706.85,772.34875
"Common Rosefinch",2,4094.625,3993.495,4211,3091.8,2844,3210.1,1017.1,812.031249999999,1343.21125
"Great Barbet",2,2486.5,2434,2499,2417,2417,2417,69.5,17,82
"Ashy Drongo",2,2499,2436,2499,1637,1443.35,1870,858.2,625.18375,1051.4
"Eurasian Sparrowhawk",2,3878,3562.0675,4472.5,3355.65,3263,3396.75,549.2,219.585000000001,1143.045
"Gray Wagtail",2,3722.05,3601.015,3858.025,1841.55,1802.8,1886,1901.175,1737.15375,2038.46875
"Gray-winged Blackbird",2,2511,2510,2536.81,2399.3,2306.3,2417,121.375,93.5487500000002,220
"Himalayan Griffon",2,3853,3679.7,4093.86625,2681.3,2680,2693,1168,995.5225,1411.94625
"White Wagtail",2,4265.1,4242.19,4393.5,1619.4,1598.74625,1763.81,2642.475,2492.38,2761.205
"White-capped Redstart",2,3767.925,3620.99875,3987.235,2645.25,2635.97,2679.84125,1121.15,978.91125,1337.95625
"Spotted Dove",2,2173,2173,2173,1309,1255,1332.7025,864,840.2975,918
