"","Value","Std.Error","t-value","p-value","Lambda"
"(Intercept)",-51.9687325395885,56.9534707827612,-0.912477006674694,0.362564000127123,0.163120518254738
"Median_S",0.154172933456043,0.0235293850164301,6.55235712061266,4.29828139608339e-10,0.163120518254738
