"","Value","Std.Error","t-value","p-value","Lambda"
"(Intercept)",-169.14889016189,189.255414806667,-0.893759844782686,0.372338367298035,0.69285710866954
"Median_S",0.235425879369258,0.0239509248466403,9.82951100538744,2.10912523042226e-19,0.69285710866954
