"Species","Group","Median_S","LCI_S","UCI_S","Median_W","LCI_W","UCI_W","Median_diff","LCI_diff","UCI_diff","elev_roundS","elev_roundW","maxTemp_June_mean","minTemp_June_mean","maxTemp_June_ci","minTemp_June_ci","tempRange_June","maxTemp_Jan_mean","minTemp_Jan_mean","maxTemp_Jan_ci","minTemp_Jan_ci","tempRange_Jan","ThermalRegime","Species3","Tree.name","HWI","Diet"
"Chukar",2,4714,4549.25,5267,4211,4211,4211,503,338.25,1056,4700,4200,8.00471854902811,-2.43099573668618,0.0216097813460046,0.0230276505481413,10.4357142857143,-9.69129558451298,-20.6212337114465,0.0283013274080432,0.0299541264071642,10.9299381269335,28.6259522604746,"Alectoris chukar","Alectoris_chukar",28.94734505,"seeds"
"Kalij Pheasant",0,2499,2417,2499,2499,2417,2499,0,-82,82,2500,2500,22.3530080530554,10.1359071530081,0.0538396112688407,0.0348385172889662,12.2171009000474,1.54627461595723,-10.2856398457062,0.0453875815140179,0.0361219892626303,11.8319144616634,32.6386478987616,"Lophura leucomelanos","Lophura_leucomelanos",17.7587268,"omnivore"
"Koklass Pheasant",0,3121,2965,3234,3236,2998.6,3239.3,-77.0250000000001,-270.605,177.7425,3100,3200,16.9991192463813,5.4701539404151,0.0468697339181514,0.0319701110303918,11.5289653059661,-3.91820786864932,-15.0234200743494,0.0461368244438302,0.0416480185547321,11.1052122057001,32.0225393207307,"Pucrasia macrolopha","Pucrasia_macrolopha",28.8286769,"omnivore"
"Himalayan Monal",2,3518,3267.21125,3695.805,3244.25,3134.6925,3257.45,273.75,19.6587499999998,466.93375,3500,3200,14.0532906764168,2.98640310786106,0.0378581321638507,0.0297107990207223,11.0668875685558,-3.91820786864932,-15.0234200743494,0.0461368244438302,0.0416480185547321,11.1052122057001,29.0767107507662,"Lophophorus impejanus","Lophophorus_impejanus",21.09188816,"omnivore"
"Red Junglefowl",0,1710.85,1535.56,1893,1695.5,1534.73,1961.56625,14.9249999999989,-285.106250000001,289.39125,1700,1700,28.2443500424809,16.3048028387226,0.0490270658147735,0.0374857154959968,11.9395472037583,8.11191963616373,-4.04807836473587,0.0448703514731545,0.0334114256335395,12.1599980008996,32.2924284072168,"Gallus gallus","Gallus_gallus",23.21714883,"omnivore"
"Black Francolin",2,2417,2362.9975,2417,2213.75,2123.96375,2269.1,200.074999999999,142.4,293,2400,2200,23.541152562936,11.1284561722778,0.0546705602225242,0.0352396776069264,12.4126963906582,4.17222118175859,-8.01574117426725,0.0380559323250754,0.0304197356685805,12.1879623560258,31.5568937372032,"Francolinus francolinus","Francolinus_francolinus",24.76331799,"seeds"
"Indian Peafowl",0,1496,1425.5475,1735.4475,1504.55,1150.985,1732.27,22.6749999999998,-240.353749999999,355.96,1500,1500,30.2992613069881,18.2310522976525,0.0487553613861931,0.0368041768314772,12.0682090093356,9.79640170397897,-2.55083386205021,0.0451870073554771,0.0333743535342371,12.3472355660292,32.8500951690383,"Pavo cristatus","Pavo_cristatus",28.71360931,"omnivore"
"Hill Partridge",2,2915.2,2893,2965,2494.95,2417,2499,433.075,394,520.2525,2900,2500,18.6759867120146,6.92743810804398,0.050036170415283,0.033187661863865,11.7485486039706,1.54627461595723,-10.2856398457062,0.0453875815140179,0.0361219892626303,11.8319144616634,28.9616265577208,"Arborophila torqueola","Arborophila_torqueola",25.19798408,"omnivore"
"Red-wattled Lapwing",0,827,827,898,898.325,827,1194,-67.4999999999995,-367,20.78875,800,900,34.8266481135088,22.767694694101,0.0371399753039667,0.0310862941515126,12.0589534194078,14.5189684357264,1.89830230010953,0.0425190583718323,0.0285234458648067,12.6206661356168,32.9283458133993,"Vanellus indicus","Vanellus_indicus",43.2386972,"invertebrates"
"Oriental Pied-Hornbill",0,827,827,859.3425,827,676.8,861,0,-34,152.015,800,800,34.8266481135088,22.767694694101,0.0371399753039667,0.0310862941515126,12.0589534194078,15.1850312514257,2.46013504265706,0.0431564250140531,0.028918822881336,12.7248962087686,32.3665130708517,"Anthracoceros albirostris","Anthracoceros_albirostris",15.95960551,"fruit"
"Indian Gray Hornbill",1,830,827,884.355,1160.1,963.9975,1215.4575,-303.65,-382.905,-124.768749999999,800,1200,34.8266481135088,22.767694694101,0.0371399753039667,0.0310862941515126,12.0589534194078,12.1043963389552,-0.302781777046483,0.0414529140408808,0.0274151040609836,12.4071781160016,35.1294298905553,"Ocyceros birostris","Ocyceros_birostris",21.44529833,"fruit"
"Eurasian Hoopoe",2,4243.4,4106.37625,4275.01875,1936.4,1604.755,2115,2281.975,2073.50625,2637.8725,4200,1900,10.2045701696822,-0.476281991187775,0.0212547964920678,0.0216404717733894,10.68085216087,6.72522807196371,-5.43884103766373,0.0433600987790126,0.0336114510431376,12.1640691096274,15.6434112073459,"Upupa epops","Upupa_epops",21.7746589,"invertebrates"
"Green Bee-eater",0,682.325,658.21875,750.8125,777,666,820.7,-84,-154,33.2612499999997,700,800,35.4448782807973,23.5015047347256,0.0320636036519555,0.027804222601936,11.9433735460717,15.1850312514257,2.46013504265706,0.0431564250140531,0.028918822881336,12.7248962087686,32.9847432381402,"Merops orientalis","Merops_orientalis",35.33244734,"invertebrates"
"Blue-bearded Bee-eater",0,807.1,666,899.1,730.4,619.025,861,60.9,-116.5225,233.815,800,700,34.8266481135088,22.767694694101,0.0371399753039667,0.0310862941515126,12.0589534194078,16.202084144074,3.29582738790159,0.0437319532203077,0.0291451190964541,12.9062567561724,31.5308207256072,"Nyctyornis athertoni","Nyctyornis_athertoni",25.17546249,"invertebrates"
"Indian Roller",0,537.475,427.595,725.7525,443.9,422,530.2125,85.4500000000002,-50.7275,273.2075,500,400,36.7211430451953,26.1012242211496,0.00865765667490009,0.00965143036277529,10.6199188240456,21.863533328202,7.79342928981938,0.01547278140096,0.0118893628049454,14.0701040383826,28.9277137553759,"Coracias benghalensis","Coracias_benghalensis",28.50438198,"omnivore"
"Crested Kingfisher",0,1776.925,1680.265,1907.5275,1742.3,1578.82625,1796.6,51.7249999999998,-69.4149999999993,231.6375,1800,1700,27.6413013013013,15.6184334334334,0.0492164860936635,0.036917981366612,12.0228678678679,8.11191963616373,-4.04807836473587,0.0448703514731545,0.0334114256335395,12.1599980008996,31.6893796660372,"Megaceryle lugubris","Megaceryle_lugubris",29.88208589,"vertebrates"
"White-throated Kingfisher",0,1580,1580,1586,1585.9,1580,1595.00375,-4.39999999999986,-15,2.55125000000017,1600,1600,28.9564082950875,16.9328998810131,0.046710595848932,0.0364053311715484,12.0235084140745,8.79992350841408,-3.37247577766446,0.0410408363124757,0.0302668088368569,12.1723992860785,32.328884072752,"Halcyon smyrnensis","Halcyon_smyrnensis",20.24597458,"vertebrates"
"Greater Flameback",0,861,733.925,894.51,1007.4,861,1179.6,-167,-367.7575,13.4625000000001,900,1000,34.4428358060341,22.2947674997511,0.04349096041162,0.0352590587250573,12.148068306283,13.6126699885809,1.11721166822381,0.0427266772539068,0.0284986337345262,12.4954583203571,33.3256241378103,"Chrysocolaptes lucidus","Chrysocolaptes_lucidus",19.87077838,"invertebrates"
"Himalayan Flameback",0,672.875,660.09375,714.8,680.025,632.36875,731.64375,-13.0749999999999,-62.8937499999999,61.79375,700,700,35.4448782807973,23.5015047347256,0.0320636036519555,0.027804222601936,11.9433735460717,16.202084144074,3.29582738790159,0.0437319532203077,0.0291451190964541,12.9062567561724,32.1490508928957,"Dinopium shorii","Dinopium_shorii",22.24073943,"invertebrates"
"Black-rumped Flameback",0,861,742.62875,861,701.724999999999,666,861,127.75,-34.515,195,900,700,34.4428358060341,22.2947674997511,0.04349096041162,0.0352590587250573,12.148068306283,16.202084144074,3.29582738790159,0.0437319532203077,0.0291451190964541,12.9062567561724,31.1470084181325,"Dinopium benghalense","Dinopium_benghalense",20.69691878,"invertebrates"
"Scaly-bellied Woodpecker",0,2789.975,2693.64125,2893,2691,2667,2743.8,90.8999999999999,-7.70999999999983,214.025,2800,2700,19.482813682458,7.63939004086575,0.0505880032488291,0.0336743463655858,11.8434236415922,-0.169578724049098,-11.7119942415517,0.0474446604380811,0.0395483739708326,11.5424155175027,31.1948079240097,"Picus squamatus","Picus_squamatus",23.45152733,"invertebrates"
