"group.id","LOCALITY.ID","LATITUDE","LONGITUDE"
"G5603353","L3752916",34.3014363,75.2948427
"G5603358","L8016690",34.3898332,75.1254452
"G5603359","L8016690",34.3898332,75.1254452
"G5603361","L8016732",34.4496811,75.0391424
"G5603364","L8016770",34.4470745,74.9975092
"G5603366","L8016805",34.429299,74.9281551
"G5615091","L6082770",32.7290611,74.9100637
"G5639151","L12123057",33.1249251,74.3434944
"G6019024","L3353046",32.7191469,74.869101
"G6024451","L12983560",33.1234771,74.3423548
"G6024786","L12984380",33.0391316,74.5834605
"G6035510","L10333232",33.1094824,74.3745118
"G6045462","L13025857",34.21786,74.6009605
"G6045814","L13026395",34.2715378,75.171227
"G6048420","L13032893",34.2453375,74.9293347
"G6054024","L3353046",32.7191469,74.869101
"G6060487","L14891454",32.717152,74.870527
"G6063750","L13025857",34.21786,74.6009605
"G6063758","L13032893",34.2453375,74.9293347
"G6088871","L3932049",34.075919,74.8477131
"G6135305","L8503651",32.6850758,75.6213733
"G6135599","L13208751",33.1047131,74.336126
"G6150559","L13256877",33.1235254,74.3432667
"G6166375","L13297465",32.7064372,75.6027208
"G6175144","L13317396",32.5360588,75.3481888
"G6178449","L13318907",32.4015137,75.6868767
"G6201882","L13374685",34.285173,74.8239642
"G6210871","L13387305",34.103011,74.715528
"G6268737","L3353046",32.7191469,74.869101
"G6268962","L4012182",32.5411713,74.6910372
"G6272162","L1108506",34.0819955,74.8401976
"G6274191","L3353046",32.7191469,74.869101
"G6274211","L3353046",32.7191469,74.869101
"G6274217","L3353046",32.7191469,74.869101
"G6274222","L3353046",32.7191469,74.869101
"G6274224","L3353046",32.7191469,74.869101
"G6274225","L3353046",32.7191469,74.869101
"G6274226","L3353046",32.7191469,74.869101
"G6274227","L3353046",32.7191469,74.869101
"G6274279","L13566254",34.026819,74.7529388
"G6274280","L13567496",34.0268513,74.7610682
"G6274281","L13566254",34.026819,74.7529388
"G6274282","L13566254",34.026819,74.7529388
"G6274283","L13566254",34.026819,74.7529388
"G6274338","L13567417",33.8778173,75.0125859
"G6274618","L3357160",34.157175,74.8312658
"G6274619","L13566254",34.026819,74.7529388
"G6274620","L13567927",33.896862,74.9776148
"G6274798","L13569637",34.1345138,74.8679146
"G6274799","L13569310",34.1432946,74.8618032
"G6274800","L13568976",34.1462591,74.8482859
"G6274835","L13568302",32.729608,74.9058551
"G6274836","L13570192",32.7285468,74.9103496
"G6274839","L6082770",32.7290611,74.9100637
"G6274840","L6082770",32.7290611,74.9100637
"G6274842","L13568302",32.729608,74.9058551
"G6274845","L10745556",32.7188008,74.8689627
"G6274921","L8128825",34.2654059,74.9084676
"G6274922","L13502074",34.1465541,74.8793875
"G6278442","L13326394",34.1253579,74.8674195
"G6278638","L8529456",34.1078911,74.8772097
"G6278739","L13142705",33.8604148,75.0662798
"G6278946","L13567511",34.264032,74.9010877
"G6278984","L13568205",33.6055006,74.1434975
"G6278985","L13603567",33.6046067,74.1501958
"G6279006","L13569621",34.131817,74.8740641
"G6279007","L3357160",34.157175,74.8312658
"G6279008","L13502074",34.1465541,74.8793875
"G6279033","L13605550",32.729305,74.905856
"G6279109","L13605761",34.0688778,74.8196313
"G6279116","L13566246",32.718458,74.86558
"G6279117","L3353046",32.7191469,74.869101
"G6279127","L13547127",34.2315683,74.7270067
"G6279138","L7164666",34.0121422,74.7677028
"G6279139","L7164666",34.0121422,74.7677028
"G6279142","L5456323",34.0124579,74.7675446
"G6279211","L3353046",32.7191469,74.869101
"G6279212","L6082770",32.7290611,74.9100637
"G6279213","L6082770",32.7290611,74.9100637
"G6279219","L4012182",32.5411713,74.6910372
"G6279220","L4012182",32.5411713,74.6910372
"G6279260","L13605896",33.923515,75.0127283
"G6279295","L4726282",34.0155967,74.7699895
"G6279296","L7164666",34.0121422,74.7677028
"G6279308","L13566254",34.026819,74.7529388
"G6279309","L13566254",34.026819,74.7529388
"G6279349","L13567236",34.0581271,74.8158173
"G6279350","L12684683",34.0512783,74.7432139
"G6279351","L12806399",34.0484017,74.7438241
"G6279352","L11284067",34.0646975,74.7474075
"G6279353","L12761320",34.0798912,74.77929
"G6279354","L13566254",34.026819,74.7529388
"G6279393","L13570328",34.0232708,74.7477569
"G6279396","L5807697",32.7508279,74.8659253
"G6279397","L13566254",34.026819,74.7529388
"G6279398","L13566254",34.026819,74.7529388
"G6279462","L13606368",33.8941247,75.0609782
"G6279499","L3823608",34.1025659,74.711194
"G6279515","L13606541",34.0541732,74.8018636
"G6279516","L13606570",33.8939028,75.0593917
"G6279641","L13604302",32.7176148,74.8674993
"G6279679","L6637156",32.7288921,74.8882959
"G6279686","L8529456",34.1078911,74.8772097
"G6279850","L13606407",34.0590813,74.8228057
"G6280010","L13606213",34.0256536,74.8739542
"G6280191","L7164666",34.0121422,74.7677028
"G6280413","L13568275",34.0572281,74.8108795
"G6280538","L8774638",32.9815317,75.7080669
"G6280553","L11297588",32.9810952,75.7078
"G6280562","L13604189",32.9790127,75.6970319
"G6280571","L13604189",32.9790127,75.6970319
"G6280578","L13566498",33.080406,74.8367938
"G6280586","L13566658",33.0845879,74.8096763
"G6280587","L13604875",33.3120711,74.855755
"G6280592","L13606917",33.313141,74.8564902
"G6280600","L13607580",33.3113656,74.8550553
"G6280678","L9114396",32.9728273,74.7421967
"G6280684","L13614978",33.3208707,75.7769776
"G6280686","L9114396",32.9728273,74.7421967
"G6280688","L13612283",32.9746848,74.7423861
"G6280692","L13612758",32.7885697,74.8352908
"G6280694","L13613568",32.8254426,74.8077837
"G6280696","L13613750",32.9488402,74.7317411
"G6280699","L10998411",32.9740817,74.7415083
"G6280704","L10998409",32.9664373,74.7554994
"G6280711","L12608836",32.9729017,74.7416
"G6280715","L11907281",32.970713,74.7425799
"G6280749","L10864032",32.970309,74.7433416
"G6280761","L13609298",32.9634914,74.7507479
"G6280766","L10833676",32.9721371,74.7443096
"G6281014","L13568264",32.7471796,74.8838834
"G6281020","L4015200",32.5562449,74.6759176
"G6281030","L6467635",32.7195494,74.8647404
"G6281038","L6467635",32.7195494,74.8647404
"G6281039","L6467635",32.7195494,74.8647404
"G6281041","L6447832",32.7240683,74.8657233
"G6281048","L6940961",32.6756283,74.8931883
"G6281070","L13567534",32.7115141,74.8414931
"G6281073","L6447832",32.7240683,74.8657233
"G6281074","L6447832",32.7240683,74.8657233
"G6281392","L13502011",34.1987321,74.8310781
"G6281393","L13502011",34.1987321,74.8310781
"G6281414","L13502011",34.1987321,74.8310781
"G6281418","L13502011",34.1987321,74.8310781
"G6283759","L13556639",33.3121689,75.7773036
"G6283763","L13556639",33.3121689,75.7773036
"G6283765","L13556639",33.3121689,75.7773036
"G6283766","L13556639",33.3121689,75.7773036
"G6283767","L13556639",33.3121689,75.7773036
"G6284964","L11625378",33.1227565,74.3439621
"G6285149","L13566998",34.0125476,74.8128196
"G6285150","L13567725",34.0136308,74.7956367
"G6285151","L11514700",34.0798303,74.8003452
"G6285152","L1108506",34.0819955,74.8401976
"G6285279","L13648699",32.718094,74.865335
"G6285513","L12258899",32.6934394,75.1454217
"G6285520","L13604927",32.6959195,75.1371876
