"Species","Group","Median_S","LCI_S","UCI_S","Median_W","LCI_W","UCI_W","Median_diff","LCI_diff","UCI_diff"
"Black Redstart",2,3576,3540,3650.05,398,329.5,422,3185.5,3127.975,3278
"Common Myna",0,1039,1011,1134,969,827,1094,73,-58.025,238.0125
"Crimson Sunbird",0,664,664,666,655,653,664,9,0,11
"Gray Bushchat",2,2035,1986.975,2067,965,861,1044.6125,1055,973,1174
"Gray-hooded Warbler",2,1952,1945,1968.025,1525.5,1450,1565.05,430.75,390.425,511.075
"Himalayan Bulbul",2,1381,1365,1398,1295,1255,1332,88.5,50.4875,128
"House Sparrow",2,1580,1543.5,1580,1352,1303.4625,1366,228,190,275
"Large-billed Crow",0,1681,1612,1745,1606,1586,1656,68,-10.025,135.025
"Red-vented Bulbul",0,653,649.975,653,653,653,664,0,-11,0
"Rufous Treepie",0,602,591,602,591,523.4875,602,8,-11,76.025
"Russet Sparrow",2,1862,1830,1888,1745,1677.9625,1797,116.25,53,188.025
"Yellow-billed Blue-Magpie",2,2107.5,2036,2162.6125,1831,1810,1900.0375,268,167,348
"Blue Whistling-Thrush",2,2055,2035,2067,1639.5,1610.975,1689,417,367,454
"Eurasian Jackdaw",0,1612.5,1601,1652,1613,1601.5,1674.025,0,-59.05,42.55
"European Goldfinch",2,2641.5,2630,2679.5,1613,1603,1762.625,1028.5,884.9,1064
"House Crow",0,419,409,552.0625,424,409,584,0,-153.025,123.5875
"Rose-ringed Parakeet",2,637,616,638,602,602,602,35,14,36
"Streaked Laughingthrush",0,1991.5,1952,2011,1951,1913,1968,42,-3.025,81
"Bar-tailed Treecreeper",2,2049,2011,2073,1862,1794,1917.0625,190,124.9875,263.05
"Coal Tit",2,2624,2564,2641,2228.75,2152.9875,2288.0125,393,320.4625,470.5125
"Plain Mountain Finch",2,3844,3666.475,4023.4,2138,2119,2173,1714,1534.25,1902.65
"Rock Bunting",2,2704,2677,2724,2009,1929.9625,2049,695,639,777
"Yellow-breasted Greenfinch",2,2226.75,2173,2314.5375,1851,1743,1994,361,204.4625,552
"Plumbeous Redstart",2,2173,2139.95,2174,1183,1113,1226,990,935.95,1060
"Black Bulbul",2,1824,1758.975,1862,1332,1259,1365,498,425,579
"Cinereous Tit",2,1323,1264,1365,1237,1217.4625,1255,86,24,130.0375
