Tree.name,Species,Median_S_upper,Median_diff_upper,Species,Median_S_median,Median_diff_median,Species,Median_S_lower,Median_diff_lower,Summer_range,Diff_ratio_upper,Diff_ratio_median,Diff_ratio_lower
Carpodacus_nipalensis,Dark-breasted Rosefinch,4209.35,507,Dark-breasted Rosefinch,3122.75,821.75,Dark-breasted Rosefinch,1812.425,146,2396.925,0.12044615,0.263149468,0.080555057
Carpodacus_thura,Himalayan White-browed Rosefinch,4217,235.35,Himalayan White-browed Rosefinch,3722,276,Himalayan White-browed Rosefinch,3123.2,536.7,1093.8,0.055809817,0.074153681,0.171842982
Celeus_brachyurus,Rufous Woodpecker,1425,0,Rufous Woodpecker,1353,733,Rufous Woodpecker,294.5,163.225,1130.5,0,0.541759054,0.554244482
Centropus_sinensis,Greater Coucal,1425,73.65,Greater Coucal,806,602,Greater Coucal,88.8,-0.6,1336.2,0.051684211,0.746898263,-0.006756757
Chaimarrornis_leucocephalus,White-capped Redstart,4167.95,1297.575,White-capped Redstart,2262,682.25,White-capped Redstart,339.4,117.2,3828.55,0.311322113,0.301613616,0.345315262
Chelidorhynx_hypoxantha,Yellow-bellied Fairy-Fantail,3445.4,751.525,Yellow-bellied Fairy-Fantail,2163,935.75,Yellow-bellied Fairy-Fantail,515,188.7,2930.4,0.218124166,0.432616736,0.366407767
Chloropsis_aurifrons,Golden-fronted Leafbird,1023.2,-635.1,Golden-fronted Leafbird,288,79,Golden-fronted Leafbird,101.5,14.8,921.7,-0.620699765,0.274305556,0.145812808
Chloropsis_hardwickii,Orange-bellied Leafbird,1905.15,-312.65,Orange-bellied Leafbird,918.75,-75,Orange-bellied Leafbird,251.9,51.2,1653.25,-0.164107813,-0.081632653,0.20325526
Chrysocolaptes_lucidus,Greater Flameback,1096,88.8,Greater Flameback,232,55,Greater Flameback,118.4,9.1,977.6,0.081021898,0.237068966,0.076858108
Cinclidium_leucurum,White-tailed Robin,2512.55,675.7,White-tailed Robin,1739,1119,White-tailed Robin,1009.8,874.6,1502.75,0.268929972,0.64347326,0.866112101
Cissa_chinensis,Common Green-Magpie,1943.55,-82.275,Common Green-Magpie,931,76,Common Green-Magpie,262.6,5.6,1680.95,-0.04233233,0.081632653,0.021325209
Columba_leuconota,Snow Pigeon,4621.7,404.35,Snow Pigeon,3749.5,342.5,Snow Pigeon,2599,468.5,2022.7,0.087489452,0.091345513,0.180261639
Columba_livia,Rock Pigeon,3410.9,-287.25,Rock Pigeon,1425,7.5,Rock Pigeon,763,476.6,2647.9,-0.08421531,0.005263158,0.624639581
Copsychus_malabaricus,White-rumped Shama,579.275,-447.325,White-rumped Shama,244.5,75.25,White-rumped Shama,130.95,26.65,448.325,-0.772215269,0.307770961,0.203512791
Copsychus_saularis,Oriental Magpie-Robin,1584,-72.575,Oriental Magpie-Robin,981,0,Oriental Magpie-Robin,90,-20.575,1494,-0.045817551,0,-0.228611111
Coracina_macei,Large Cuckooshrike,1592,112,Large Cuckooshrike,799.5,182,Large Cuckooshrike,93.7,-17.9,1498.3,0.070351759,0.227642276,-0.191035219
Coracina_melaschistos,Black-winged Cuckooshrike,2652.7,1095.9,Black-winged Cuckooshrike,1425,910,Black-winged Cuckooshrike,414.5,297.3,2238.2,0.413126249,0.638596491,0.717249698
Corvus_macrorhynchos,Large-billed Crow,3666,130.5,Large-billed Crow,1425,0,Large-billed Crow,186.9,27.675,3479.1,0.035597381,0,0.148073836
Corvus_splendens,House Crow,2368.7,62.5,House Crow,1341,-9,House Crow,125.5,15.8,2243.2,0.026385781,-0.006711409,0.125896414
Cuculus_varius,Common Hawk-Cuckoo,1836,554.55,Common Hawk-Cuckoo,936,806.5,Common Hawk-Cuckoo,58.2,1.8,1777.8,0.302042484,0.861645299,0.030927835
Culicicapa_ceylonensis,Gray-headed Canary-Flycatcher,2572.3,865.025,Gray-headed Canary-Flycatcher,1739,987.5,Gray-headed Canary-Flycatcher,498.1,371.525,2074.2,0.336284648,0.567855089,0.745884361
Dendrocitta_formosae,Gray Treepie,2115.875,-191.65,Gray Treepie,1034,-379,Gray Treepie,415.25,-170.875,1700.625,-0.090577184,-0.366537718,-0.411499097
Dendrocitta_vagabunda,Rufous Treepie,1425,0,Rufous Treepie,536,225.5,Rufous Treepie,75,-10.8,1350,0,0.420708955,-0.144
Dendrocopos_canicapillus,Gray-capped Woodpecker,1692,-179.625,Gray-capped Woodpecker,369,-266.5,Gray-capped Woodpecker,121.5,17.325,1570.5,-0.106161348,-0.722222222,0.142592593
Dendrocopos_darjellensis,Darjeeling Woodpecker,3347,-98.4,Darjeeling Woodpecker,2677,785,Darjeeling Woodpecker,1739,181.35,1608,-0.029399462,0.2932387,0.104284071
Dendrocopos_macei,Fulvous-breasted Woodpecker,1803.1,302.75,Fulvous-breasted Woodpecker,930,84,Fulvous-breasted Woodpecker,80.95,-26.825,1722.15,0.167905274,0.090322581,-0.331377393
Dicaeum_ignipectus,Fire-breasted Flowerpecker,2613.05,271.025,Fire-breasted Flowerpecker,1818,79,Fire-breasted Flowerpecker,698.55,-162.875,1914.5,0.103719791,0.043454345,-0.233161549
Dicrurus_aeneus,Bronzed Drongo,1942.5,156.55,Bronzed Drongo,731,58.25,Bronzed Drongo,187.5,48.125,1755,0.080592021,0.079685363,0.256666667
Dicrurus_hottentottus,Hair-crested Drongo,1720,580.225,Hair-crested Drongo,786,462,Hair-crested Drongo,117.05,6,1602.95,0.337340116,0.58778626,0.051260145
Dicrurus_leucophaeus,Ashy Drongo,2677,791.8,Ashy Drongo,1454,642,Ashy Drongo,475.55,359.55,2201.45,0.295778857,0.441540578,0.756071917
Dicrurus_macrocercus,Black Drongo,1817.45,339.65,Black Drongo,981,286,Black Drongo,76.55,-6.5,1740.9,0.18688272,0.291539246,-0.084911822
Dicrurus_paradiseus,Greater Racket-tailed Drongo,1101.4,-380.75,Greater Racket-tailed Drongo,298.5,-55,Greater Racket-tailed Drongo,127,-11.4,974.4,-0.345696386,-0.184254606,-0.08976378
Dicrurus_remifer,Lesser Racket-tailed Drongo,1936.45,197.45,Lesser Racket-tailed Drongo,1595,906,Lesser Racket-tailed Drongo,171.7,29.15,1764.75,0.101964936,0.568025078,0.16977286
Ducula_badia,Mountain Imperial-Pigeon,2545.2,548.05,Mountain Imperial-Pigeon,977,547.25,Mountain Imperial-Pigeon,197.4,62.65,2347.8,0.21532689,0.56013306,0.317375887
Enicurus_maculatus,Spotted Forktail,2574.1,-528.5,Spotted Forktail,1776,-136,Spotted Forktail,948.5,284.7,1625.6,-0.205314479,-0.076576577,0.300158144
Enicurus_schistaceus,Slaty-backed Forktail,2153.5,-317.675,Slaty-backed Forktail,888.5,-20.5,Slaty-backed Forktail,297.575,43.125,1855.925,-0.147515672,-0.023072594,0.144921448
Enicurus_scouleri,Little Forktail,2763.6,-583.6,Little Forktail,1855.5,7.5,Little Forktail,399.15,111.55,2364.45,-0.211173831,0.004042037,0.279468871
Erpornis_zantholeuca,White-bellied Erpornis,2059.2,-72.05,White-bellied Erpornis,1053.5,400,White-bellied Erpornis,195.25,-382.95,1863.95,-0.034989316,0.379686758,-1.961331626
Eumyias_thalassinus,Verditer Flycatcher,2752.6,849.6,Verditer Flycatcher,1739,910,Verditer Flycatcher,678.85,583.3,2073.75,0.308653637,0.523289247,0.859247256
Ficedula_albicilla,Taiga Flycatcher,1445.5,0,Taiga Flycatcher,771,-282,Taiga Flycatcher,118.5,18.575,1327,0,-0.365758755,0.156751055
Ficedula_strophiata,Rufous-gorgeted Flycatcher,3607.2,1058.75,Rufous-gorgeted Flycatcher,2799,1060,Rufous-gorgeted Flycatcher,959.6,296.6,2647.6,0.293510202,0.378706681,0.30908712
Ficedula_tricolor,Slaty-blue Flycatcher,3382.45,746.75,Slaty-blue Flycatcher,2457,1025,Slaty-blue Flycatcher,582.5,331.7,2799.95,0.220771926,0.417175417,0.56944206
Ficedula_westermanni,Little Pied Flycatcher,2435,1057.125,Little Pied Flycatcher,1810,1433,Little Pied Flycatcher,498.5,381.55,1936.5,0.434137577,0.791712707,0.765396189
Gallus_gallus,Red Junglefowl,1103.8,-439.85,Red Junglefowl,205,8,Red Junglefowl,114.2,-0.6,989.6,-0.398487045,0.03902439,-0.00525394
