"Species","Group","Median_S","LCI_S","UCI_S","Median_W","LCI_W","UCI_W","Median_diff","LCI_diff","UCI_diff"
"Black Redstart",2,4713.55,4646.585,4889.51875,2036.55,1897.53875,2115.3,2694.05,2562.285,2947.75125
"Common Myna",2,2417,2417,2417,2174,2173,2289.02,243,127.98,244
"Crimson Sunbird",2,1564.15,1483.4875,1624.46875,1290.6,1248,1309,271,188,343.647499999998
"Gray Bushchat",2,2705.05,2645,2740.4,2173,2114.65,2173,532.95,472.341249999999,623
"Gray-hooded Warbler",2,2499,2499,2503.2,2417,2417,2417,82,82,86.2049999999998
"Himalayan Bulbul",2,2417,2417,2417,2273.625,2230.205,2333.0525,143.375,83.9475000000003,186.795
"House Sparrow",2,3748.525,3621,3982.405,2499,2417,2499,1298,1124.2,1513.03125
"Large-billed Crow",2,2893,2893,2946,2788,2740.4875,2791.75,105,101.250000000004,171
"Little Cormorant",2,1077.9,826.555,1278,761,666,805.63,333.85,63.1950000000002,552.325
"Red-vented Bulbul",2,2173,2173,2173,2100.8,2023,2149.50875,72.1500000000001,21.3712500000005,150
"Rufous Treepie",0,1058.5,890.565,1134,1152.8,1090.99875,1225.26125,-95.7,-273.9275,31.2875000000004
"Russet Sparrow",2,2743.6,2705.4475,2832.1225,2417,2417,2434,324.6,287,414.8075
"Yellow-billed Blue-Magpie",2,2611.25,2562.0725,2627,2499,2499,2499,112.25,63.0724999999995,128
"Alexandrine Parakeet",1,1458.5,1390.0975,1600.68375,1857.3,1698.27,1994.04,-397.075,-581,-160.085000000001
"Black Kite",0,1970.9,1910.195,2017,2021.25,1952,2049,-47.6750000000008,-113.60625,33.75625
"Blue Whistling-Thrush",2,2893,2890.865,2939.21,2730.825,2643.4875,2788,173.450000000002,105,251
"Eurasian Jackdaw",1,2712,2699.8,3035,3197,2997.5725,3205.7,-485.9,-502.6075,-74.5725
"European Goldfinch",2,3687.6,3620.14875,3807.06375,3262.9,3237,3307.715,422.625,341.785,554.48375
"European Starling",1,2160.775,1834.13125,2441.70625,3289.4,3240,3375.85,-1134.325,-1486.36875,-830.3125
"House Crow",0,1818.5,1740.9875,2033.2,1810,1810,1850.1225,7.00000000000023,-74.8037499999998,216.945
"Rose-ringed Parakeet",0,1413,1329.85,1575,1368,1261.89625,1579.05375,41.100000000001,-195.313749999999,228.07
"Streaked Laughingthrush",1,2784,2738,2821.16125,2844,2801.71875,2844,-56.7749999999994,-104,-4
"Bar-tailed Treecreeper",2,2838.1,2802.87375,2962.8,2630,2624,2633.5,210.25,172.8775,332.859999999999
"Coal Tit",2,3059.35,2965.95,3216,2939.2,2918,2941,126.775,28.5912499999999,275.015
"Plain Mountain Finch",2,4634.35,4518.9875,4732.26,2987,2860,3128,1650.55,1453.565,1817.28125
"Rock Bunting",2,4103.475,3927,4193.9375,2417,2417,2441.2,1684,1509.98125,1776.9375
"Yellow-breasted Greenfinch",1,2879,2836,2983.6,3236,3217.5925,3236,-355.65,-400,-250.88875
"Common Raven",2,5195.6,4700.7375,5348.825,4625.5,4354.7875,4633.85,632.65,73.1499999999999,820.862499999999
"Egyptian Vulture",0,1837.875,1601.9875,1990.6225,1766.8,1254.05,1961,98.0000000000001,-234.167499999999,601.30875
"Plumbeous Redstart",2,3216,3034.91875,3346.41,2633.5,2630,2644.25,585.875,404.47625,711.526249999999
