"Species","Group","Median_S","LCI_S","UCI_S","Median_W","LCI_W","UCI_W","Median_diff","LCI_diff","UCI_diff"
"Paddyfield Pipit",1,279,272,321,330,319,387.5125,-54,-113.025,-7.43750000000006
"Indian Robin",2,784,723.95,827,621.75,599,666,172.75,89,227.5125
"Purple Sunbird",2,602,602,613.025,409,388,409,193,193,214
"Indian Peafowl",0,388,388,403.5,404,388,426,-15.5,-38,0.0124999999999886
"Brown-headed Barbet",0,602,602,602,602,591,602,0,0,11
"Coppersmith Barbet",0,602,602,602,591,446,602,11,0,156
"Green Bee-eater",1,372,372,378.025,653,653,664,-281,-291.025,-273
"Red Junglefowl",0,602,601,602,602,602,602,0,-1,0
"Scaly-breasted Munia",0,602,599,602,602,602,664,-2,-62,0
"White-throated Fantail",2,827,827,827,653,627.5,664,174,163,199.5
"Ashy Prinia",1,472,409,584,599,593,602,-127,-190,-15
"Asian Koel",2,616,616,628,409,409,409,207,207,219
"Greater Coucal",2,602,599,602,421.5,409,444.5,180,156.9875,193
"Indian Gray Hornbill",0,602,602,602,602,602,602,0,0,0
"Hill Partridge",1,2096,2067.975,2100,2173,2145,2173,-77,-102,-41.4875
"Chestnut-bellied Rock-Thrush",2,2126,2073,2179,1506,1383,1589.1,620.75,512.4875,769.025
"Hume's Warbler",2,2173,2096,2173,602,602,602,1571,1494,1571
"Pink-browed Rosefinch",2,2854,2784,2978.2,1943,1906,1987,910.75,827,1058.5125
"Rosy Pipit",2,3263,3238.65,3293.6,422,404.975,422,2841,2816.65,2873.55
"Fulvous-breasted Woodpecker",2,849,720.4875,920,666,638.5,717,182,39.9875,254
"Gray-capped Pygmy Woodpecker",2,666,616,713.5625,602,602,602,64,14,111.5625
"Rusty-cheeked Scimitar-Babbler",0,1332,1327,1382,1366.5,1365,1383,-33,-68,17
"Small Minivet",2,602,565,602,440,434,492,158,71.05,165.975
"Brown Rock Chat",0,599,599,602,599,599,602,0,-3,3
"Common Babbler",0,599,598,696.025,615,602,666,-10,-67,64.5375
"Laughing Dove",0,666,616,827,647,599,827,26,-161.05,183.5125
"Brahminy Starling",2,700,666,780,593,439,602,144.5,68.9625,316
"Rufous-bellied Niltava",2,2417,2417,2417,872,785,1015,1545,1402,1632
"Black-rumped Flameback",2,583.5,443,602,413.5,399,438,160,22,197
"Spotted Owlet",2,409,409,504,388,335.9,403,21,7.975,122.0625
"Bank Myna",2,422,370,599,301,275.5,333.5,108.5,51,296
"Bluethroat",2,3240,3237,3240,330,305.375,370.625,2909.5,2866.875,2934.5
"Asian Pied Starling",0,372,368,388,399,388,405,-19.75,-35,0
"Rufous-naped Tit",2,2621,2477.4375,2643.5,2295.5,2275,2377,302,167.9125,362
"Indian Roller",2,321,314,326,279,272,292,42,27,53.5125
"Fire-fronted Serin",2,3540,3540,3577,2100,2049,2271.5,1440,1268.5,1491
"Hair-crested Drongo",0,638,624,657,653,653,653,-15,-29,4
"Yellow-eyed Babbler",2,827,827,827,666,628,820,161,7,199
"Orange-headed Thrush",0,602,602,602,602,602,602,0,0,0
"Puff-throated Babbler",0,602,602,602,602,602,602,0,0,0
"Verditer Flycatcher",2,1964,1952,1974,602,602,602,1362,1350,1372
"Speckled Piculet",0,1254,1173,1332,1255,1254,1344.5125,-6,-118.05,77
"Whiskered Yuhina",2,2298,2193.5,2417,1819,1747.5,1863,457,357.975,616.175
"Chukar",2,3540,3540,3540,3263,3259.5,3263,277,277,280.5
"Fire-breasted Flowerpecker",2,2417,2309,2417,1332,1300,1365.0375,1055,949.4625,1114.5
"Black Francolin",0,1583.5,1580,1626,1542,1542,1625,38,-33,80.05
"Red-billed Chough",2,3605,3540,3680,3245,3244,3245,360,295,435
"Yellow-billed Chough",2,4079,4016.7125,4113,3487,3398,3527.5,577.5,499,682
"Pale-billed Flowerpecker",0,664,660,664,664,664,664,0,-4,0
"White-throated Laughingthrush",0,2035,2035,2055,2035,2035,2067,0,-27,14
"Himalayan Black-lored Tit",0,1674,1580,1743,1577,1542,1623,96,-17.0125,180
"Common Iora",0,446,388,477.7125,390,387.2875,438,51,-16.2125,88.5
"Gray Treepie",2,1550,1530,1573,1248,1220.975,1285,301,258.4875,332
"Hill Pigeon",2,4162,4154,4211,3540,3540,3540,622,610.475,671
"Snow Pigeon",2,3621,3523.95,3787.775,2491,2454.875,2503.5,1147.5,1025.75,1286.05
"Collared Owlet",0,1963,1952,1966,2010,1937,2011,-45,-57.75,16.75
"Koklass Pheasant",0,2417,2312,2510.5,2368,2293,2417,49,-50.175,167.2
"Himalayan Shrike-Babbler",2,2023,2023,2023,1943.5,1943.5,1943.5,79.5,79.5,79.5
"Lesser Yellownape",0,1332,1246,1365,1280,1218.5,1332,61,-36.525,122.5
"Himalayan Monal",2,2893,2893,2937.5,2729,2680,2734.5,182.5,158.5,250
"White-winged Redstart",2,4534,4468,4631.2375,3240,3240,3240,1294,1228,1391.2375
"Horned Lark",2,4410,4370,4468,3286,3272,3313,1126,1078.475,1174
"Chestnut-crowned Laughingthrush",2,2417,2334,2417,2173,2173,2173,244,161,244
"Asian Emerald Dove",0,616,602,652.075,602,602,602,14,0,50.0749999999999
"Robin Accentor",2,4432,4369,4468,3540,3540,3540,892,829,928
"Eurasian Magpie",0,3273,3263,3293,3263,3263,3263,10,0,30
"Bar-winged Flycatcher-shrike",2,618.5,616,677.15,602,602,602,16.5,14,75.1499999999999
"Red-billed Blue-Magpie",0,1534,1497,1542,1573,1542,1580,-38,-82,0
"White-crested Laughingthrush",1,892,831,1011,1230,1058.5,1248,-323,-407.025,-103.85
"White-tailed Nuthatch",0,2100,2100,2145,2100,2100,2111,0,-8.0625,44.0125
"Eurasian Nutcracker",0,2485,2309,2510,2293,2282,2434,153,-48,217
"White-collared Blackbird",2,2852,2797,2893,2173,2173,2173,679,624,720
"Greater Flameback",0,596,496.5,602,465,441.9,595.7,126,-11,156
"Striated Laughingthrush",0,2049,2035,2085.1,2023,2011,2035,29.75,0,64.5
"Small Niltava",2,2173,2049,2173,1254,1188.9375,1254,919,795,978
"Black-hooded Oriole",0,409,388,473.5,461,427,591,-49.25,-181.5,24.025
"Jungle Owlet",0,388,388,388,403.5,388,428.5125,-15.5,-40.5125,0
"Rufous-bellied Woodpecker",0,2165.5,2149.5,2173,2173,2150.9625,2173,0,-22.0375,21
"Blue-bearded Bee-eater",0,591,427,602,577,463,602,11,-157.925,122.4125
"Scarlet Minivet",2,1492.5,1419,1542,666,648,744.5125,826.5,734.9625,878
"Lineated Barbet",0,431,407,477,442,437.4875,446,-10,-36,33.525
"Green-tailed Sunbird",2,2417,2417,2417,1383,1365,1506,1034,911,1052
"Oriental Pied-Hornbill",0,602,599,602,602,602,602,0,-3,0
"Maroon Oriole",2,2010,1974,2049,1011,827,1365,999,645,1203.525
"Velvet-fronted Nuthatch",2,666,666,666,602,602,602,64,64,64
"Black-faced Warbler",1,2049,2049,2073,2145.5,2115,2173,-96,-113,-65
"Red-whiskered Bulbul",0,409,409,409,409,409,409,0,0,0
"Greater Yellownape",0,1383,1383,1496.55,1383,1383,1398,0,-12.5625,113.1625
"Blue-winged Minla",0,1365,1332,1365,1373.5,1365,1383,-18,-47.5,0
"Bronzed Drongo",2,1380,1380,1381,1332,1249.5,1332,48,48,130.5
"Streak-breasted Scimitar-Babbler",0,2417,2417,2417,2176,2173,2417,241,0,244
