"","Value","Std.Error","t-value","p-value","Lambda"
"(Intercept)",-27.9391813157822,81.3896970376616,-0.343276634914292,0.731689617390078,0.293500060673599
"Median_S",0.160062496739715,0.0230102778848629,6.95613054047519,3.27386065136237e-11,0.293500060673599
