"Species","Group","Median_S","LCI_S","UCI_S","Median_W","LCI_W","UCI_W","Median_diff","LCI_diff","UCI_diff","elev_roundS","elev_roundW","maxTemp_June_mean","minTemp_June_mean","maxTemp_June_ci","minTemp_June_ci","tempRange_June","maxTemp_Jan_mean","minTemp_Jan_mean","maxTemp_Jan_ci","minTemp_Jan_ci","tempRange_Jan","ThermalRegime","Tree.name","Scientific","HWI","Diet"
"Asian Koel",2,616,602,638,409,409,427.5,207,191.425,229,600,400,34.9175192472198,23.660621613915,0.0278416027627093,0.0157774437863449,11.2568976333048,18.7463075293665,5.15725014442519,0.0184769880609363,0.0124636720790396,13.5890573849413,29.7602691027946,"Eudynamys_scolopaceus","Eudynamys scolopaceus",31.36645392,"fruit"
"Greater Coucal",2,591,584,602,409,403,409,183,175,195,600,400,34.9175192472198,23.660621613915,0.0278416027627093,0.0157774437863449,11.2568976333048,18.7463075293665,5.15725014442519,0.0184769880609363,0.0124636720790396,13.5890573849413,29.7602691027946,"Centropus_sinensis","Centropus sinensis",13.23180548,"vertebrates"
"Yellow-footed Green-Pigeon",0,388,387.425,388,388,381,388,0,-0.575,7,400,400,37.5845152127864,26.1657904871943,0.0136710487453596,0.0136089274947692,11.4187247255921,18.7463075293665,5.15725014442519,0.0184769880609363,0.0124636720790396,13.5890573849413,32.4272650683612,"Treron_phoenicopterus","Treron phoenicopterus",39.47932785,"fruit"
"Asian Emerald Dove",0,602,602,616,602,602,602,0,0,14,600,600,34.9175192472198,23.660621613915,0.0278416027627093,0.0157774437863449,11.2568976333048,16.6673224978614,3.48064442543484,0.0220866208077492,0.0124960789734125,13.1866780724266,31.436874821785,"Chalcophaps_indica","Chalcophaps indica",28.69523682,"omnivore"
"Eurasian Collared-Dove",2,954,651.95,1109,421,388,482.0125,522.75,224.975,696.5625,1000,400,31.2243186946711,20.4364086096164,0.0356604414552322,0.0182958567026918,10.7879100850547,18.7463075293665,5.15725014442519,0.0184769880609363,0.0124636720790396,13.5890573849413,26.0670685502459,"Streptopelia_decaocto","Streptopelia decaocto",37.84538878,"omnivore"
"Oriental Turtle-Dove",2,2173,2173,2173,1332,1254.5,1365,841,808,918.5,2200,1300,21.9630222441106,11.3754658130181,0.0307198183067672,0.0350704380073125,10.5875564310925,5.78517844700782,-6.09761554540528,0.0663275996715154,0.0565749901578103,11.8827939924131,28.0606377895159,"Streptopelia_orientalis","Streptopelia orientalis",32.75114632,"omnivore"
"Spotted Dove",2,653,653,653,602,602,602,51,51,51,700,600,33.9750876189114,22.7355983119948,0.0313743902482196,0.0158341631548663,11.2394893069165,16.6673224978614,3.48064442543484,0.0220866208077492,0.0124960789734125,13.1866780724266,30.4944431934766,"Stigmatopelia_chinensis","Streptopelia chinensis",30.6093332,"seeds"
"Laughing Dove",0,580,580,580,562,491.85,580,18,0,88.1499999999999,600,600,34.9175192472198,23.660621613915,0.0278416027627093,0.0157774437863449,11.2568976333048,16.6673224978614,3.48064442543484,0.0220866208077492,0.0124960789734125,13.1866780724266,31.436874821785,"Stigmatopelia_senegalensis","Streptopelia senegalensis",34.48991766,"seeds"
"Hill Pigeon",2,4183,4162,4183,3540,3515,3540,643,622,668,4200,3500,9.9832898062342,-0.476347935973041,0.0193664774154063,0.0244393705939975,10.4596377422072,-5.59081324133654,-16.6309868982092,0.0559500385193084,0.0466183911947008,11.0401736568726,26.6142767044434,"Columba_rupestris","Columba rupestris",48.60645148,"seeds"
"Rock Pigeon",0,638,638,653.5,638,625.9625,661.5125,0,-22,22,600,600,34.9175192472198,23.660621613915,0.0278416027627093,0.0157774437863449,11.2568976333048,16.6673224978614,3.48064442543484,0.0220866208077492,0.0124960789734125,13.1866780724266,31.436874821785,"Columba_livia","Columba livia",44.18079137,"seeds"
"Snow Pigeon",2,3649.5,3524.5,4090.5,2642,2636,2660,999,876.5,1444.1125,3600,2600,12.8958612815756,2.44325674325674,0.0280810654886217,0.0345822950382331,10.4526045383188,0.45910780669145,-11.1373923293136,0.068103353480913,0.0563813833800931,11.5965001360051,24.0332536108892,"Columba_leuconota","Columba leuconota",44.49828857,"seeds"
"Mountain Scops-Owl",1,1946,1943,2067,2108,2093,2222,-162,-273.075,-60.9250000000001,1900,2100,24.2758222735141,13.6378678592037,0.0245302345975058,0.0274683253856939,10.6379544143104,4.09719315728284,-7.86919946852682,0.0672487777898436,0.0556859096653147,11.9663926258097,32.1450217420409,"Otus_spilocephalus","Otus spilocephalus",25.46493589,"invertebrates"
"Brown Fish-Owl",0,1245.25,632.1875,1323.65,1332,656.05,1332,-66.25,-699.8125,660.425,1200,1300,29.4866395262768,19.052396373057,0.0347984080946709,0.0210127020279514,10.4342431532198,5.78517844700782,-6.09761554540528,0.0663275996715154,0.0565749901578103,11.8827939924131,35.5842550716821,"Ketupa_zeylonensis","Ketupa zeylonensis",28.81143877,"vertebrates"
"Brown Wood-Owl",2,1549.5,1549.5,1549.5,1380.5,1380.5,1380.5,169,169,169,1500,1400,27.3748386704006,16.6901984658468,0.022558936362611,0.0197416698387654,10.6846402045538,5.33718499673394,-6.55278990614364,0.0558935948982156,0.0474996847036743,11.8899749028776,33.9276285765442,"Strix_leptogrammica","Strix leptogrammica",28.4570582,"vertebrates"
"Spotted Owlet",0,388,388,409,375,326,403,20,-13,79,400,400,37.5845152127864,26.1657904871943,0.0136710487453596,0.0136089274947692,11.4187247255921,18.7463075293665,5.15725014442519,0.0184769880609363,0.0124636720790396,13.5890573849413,32.4272650683612,"Athene_brama","Athene brama",29.247852,"invertebrates"
"Jungle Owlet",0,388,388,388,388,388,410,0,-22,0,400,400,37.5845152127864,26.1657904871943,0.0136710487453596,0.0136089274947692,11.4187247255921,18.7463075293665,5.15725014442519,0.0184769880609363,0.0124636720790396,13.5890573849413,32.4272650683612,"Glaucidium_radiatum","Glaucidium radiatum",26.89636707,"invertebrates"
"Collared Owlet",0,1987,1943,2035,1970,1906,2049,15,-77,105,2000,2000,23.5467727063163,12.9313969571231,0.0262792150076309,0.0295975363092804,10.6153757491932,4.78706777316736,-7.22295988934993,0.0659352760407029,0.054062192892762,12.0100276625173,30.7697325956662,"Glaucidium_brodiei","Taenioptynx brodiei",20.71829123,"vertebrates"
"Brown Boobook",0,474.5,417,600.225,602,515.7875,623.1625,-127.25,-178.075,14.2999999999999,500,600,36.562360461788,25.090897815094,0.0172640392963805,0.0151420040932137,11.471462646694,16.6673224978614,3.48064442543484,0.0220866208077492,0.0124960789734125,13.1866780724266,33.0817160363532,"Ninox_scutulata","Ninox scutulata",29.26008658,"invertebrates"
"Great Hornbill",0,438.75,404,496.0625,429.5,392.5625,450.7,11.5,-32.9625,66.6624999999999,400,400,37.5845152127864,26.1657904871943,0.0136710487453596,0.0136089274947692,11.4187247255921,18.7463075293665,5.15725014442519,0.0184769880609363,0.0124636720790396,13.5890573849413,32.4272650683612,"Buceros_bicornis","Buceros bicornis",25.70643239,"fruit"
"Indian Gray Hornbill",0,602,601,602,602,602,602,0,-1,0,600,600,34.9175192472198,23.660621613915,0.0278416027627093,0.0157774437863449,11.2568976333048,16.6673224978614,3.48064442543484,0.0220866208077492,0.0124960789734125,13.1866780724266,31.436874821785,"Ocyceros_birostris","Ocyceros birostris",21.44529833,"fruit"
"Oriental Pied-Hornbill",1,489,446,601.5125,602,602,602,-113,-156,-0.487500000000011,500,600,36.562360461788,25.090897815094,0.0172640392963805,0.0151420040932137,11.471462646694,16.6673224978614,3.48064442543484,0.0220866208077492,0.0124960789734125,13.1866780724266,33.0817160363532,"Anthracoceros_albirostris","Anthracoceros albirostris",15.95960551,"fruit"
