"Species","Group","Median_S","LCI_S","UCI_S","Median_W","LCI_W","UCI_W","Median_diff","LCI_diff","UCI_diff"
"Eurasian Tree Sparrow",0,2611,2561.9,2715.7625,2731.1,2606.2,2848,-108.275,-273.76625,66.0587500000002
"Large-billed Crow",2,3725.3,3686,3748,3434,3429.4775,3441.04375,291.299999999999,252,314.015
"Plumbeous Redstart",2,3117.35,2878.35,3278.05,2474,2388,2552.75875,630.525,377.045000000001,821.863749999999
"White-capped Redstart",2,4346.4,4217,4359,2775,2615,2836.88,1554,1412,1718.11
"Ashy-throated Warbler",2,3380.95,3244.8,3478.0375,2768,2677,2804.43,635.3,476.845,766
"Fire-breasted Flowerpecker",2,2749,2715.85,2750.1,2345.7,2233,2463,397.9,286,516
"Green-backed Tit",0,2964.4,2898,3009.82375,2962,2888.46875,2962,12.6250000000005,-60,96.8175000000015
"Indian White-eye",2,2543.2,2388.0525,2556.25,1998.1,1863.1,2309,533.125000000002,186.327499999996,685.5125
"Lemon-rumped Warbler",2,3518,3518,3518,2718.175,2552.32875,2884.02125,799.825,633.97875,965.67125
"Chestnut-tailed Minla",2,3268.45,3146,3361,2819,2756.995,2915.8,447.9,309.320000000001,570.7425
"Green-tailed Sunbird",2,3146,3141.8,3146,2584.8,2469.1925,2677,561.2,469,676.8
"Rufous-capped Babbler",2,2929.05,2866.51,2983.3575,2624.3,2558.96,2632.3825,340.85,239.49,357.665
"Rufous-vented Yuhina",2,3527.9,3449.6525,3609.85,2669.8,2560.3225,2678.8,874.9,782.042499999999,993.462499999999
"Blue-throated Barbet",0,1425.8,1397.6,1461,1538.4,1382.2,1699.115,-104.899999999999,-270.4925,63.0325
"Bronzed Drongo",0,2102.2,1679.24,2275.9,1716,1403.88,1748.54,441.6,-39.4800000000001,791.799999999999
"Chestnut-bellied Nuthatch",0,2052.5,1833.91875,2235.75,1954,1536.935,2109.265,111.5,-184.322499999998,500.992500000001
"Common Hill Myna",1,1299.2,664.25,1703.05,1947.4,1861.96,1962.17,-631.6,-1219.2625,-251.805
"Maroon Oriole",2,2677,2474,2677,1826.125,1398.0525,2033.45,814.849999999999,499.755,1264.945
"Rusty-fronted Barwing",0,2474,2463,2474,2463,2303.4625,2474,10.4499999999998,-11,169.9875
"Streaked Spiderhunter",2,2107.5,2057.38,2439.8,1339,1235.32,1383.2,767,697.536249999999,1096.44
"White-throated Bulbul",0,1084,994,1273,1142.05,1061.33,1431.95,-76.9999999999998,-429.47,199
"Blue Whistling-Thrush",2,3141.4,3137,3258.49125,2979,2962,3060.04125,165.199999999999,96.2000000000035,279.449999999999
"White-throated Kingfisher",1,1232.25,1209,1371.69125,1545,1309.09875,1817.5,-297.474999999999,-566.98125,-41.1475000000003
"Great Barbet",2,2562,2526,2677,2355,2228,2463,215.025,94.2974999999984,381.400000000001
"Orange-bellied Leafbird",1,1834.6,1739,1927,2186.7,1962.35,2463,-365.349999999999,-694.6975,-98.2700000000009
"Red-tailed Minla",2,3040.2,2984.62375,3130.75,2471.8,2244.9475,2585.1,581.775,432.04625,823.2125
"White-crested Laughingthrush",0,1739,1738.2425,1936.81,1819.35,1739,1935,-58.7250000000007,-196,125.014999999999
"Black Bulbul",2,2785.85,2749,2839.0525,2412.5,2156,2467.4,382.95,286,648.119999999999
"Black-hooded Oriole",0,540,529,540,499.4,406.7925,540,38.5,-2.75,133.2075
"Black-throated Tit",0,2615.4,2469.2225,2858,2669.65,2470.9475,2677.35,-11.1000000000008,-203.817500000001,330.8475
"Golden-throated Barbet",0,2404.425,2232,2474,2403,2315.425,2474,-24.3750000000009,-240.84125,135.445
"Gray-hooded Warbler",0,2448.9,2368,2474,2325,2264.74375,2374,102.975,-1.46749999999982,181.86125
"Mountain Bulbul",1,2050.6,1955.2875,2298.65,2467.4,2350.325,2474,-392.400000000001,-512.84,-59.0275000000001
"Spotted Dove",2,2192,2015,2290.11875,1639.85,1400.76125,1869.8475,534.950000000001,240.946250000001,838.80375
"White-throated Fantail",2,2488.3,2474,2578.85,2213.9,1979.43875,2310,297.25,164,538.25125
"Asian Pied Starling",0,419,317.5975,444.2,461.125,333.375,538.2,-35.8749999999997,-146.3575,87.2999999999996
"Beautiful Sibia",2,3046,2948.8125,3146,2474,2467.75,2474,572,477.025,673.845
"Black-throated Sunbird",2,2133.35,2029.85,2281.25,1788.6,1625.745,1976.2225,352.3,117.585,584.127499999999
"Bay Woodpecker",0,2474,2438.7125,2497.5425,2491.275,2156.19125,2508.6,-2.12500000000023,-36.7087499999995,317.808750000001
"Olive-backed Pipit",2,4053.5,3886.75,4097.65,2902,2851.6,2962,1141.725,984.13125,1241.65
"Small Niltava",2,2399.75,2046.44625,2474,1766.1,1575.43875,1843.90375,628.325000000001,282.1975,858.715
"Ashy Drongo",2,2836.9,2750.7975,2898.025,1759.65,1737.28625,1900.35,1066,945.06,1144.29125
"Hair-crested Drongo",2,1723,1572.195,1868.25125,1443.2,1324.58625,1610.99125,302.775,57.4962500000013,499.46125
"Red-vented Bulbul",0,1944,1857.5975,2015,1973.7,1935,2055,-39.1750000000006,-145.0025,52.6512499999959
"Chestnut-crowned Laughingthrush",2,3146,3146,3151.85,2979,2926.985,2990.42375,167,155.600000000004,219.015
"Streak-breasted Scimitar-Babbler",2,3066,2920.9175,3146,2740.6,2739,2764.8,317.6,167.0975,407
"Striated Laughingthrush",0,2746.2,2677,2771,2733.55,2677,2790.05,4.25,-93.0712500000001,94
"Rufous-winged Fulvetta",2,2960.875,2889.50625,3032.24375,2509,2389.3,2628.7,451.875,260.80625,642.94375
"Blue-winged Minla",2,2681.5,2490.9575,2698,2030.5,1816.685,2325,592.8,239.905000000001,856.8
