"elev_round","maxTemp_Jan_mean","maxTemp_June_mean","minTemp_Jan_mean","minTemp_June_mean","maxTemp_Jan_ci","maxTemp_June_ci","minTemp_Jan_ci","minTemp_June_ci","tempRange_Jan","tempRange_June"
0,22.5434905128687,31.1770101446553,12.2517001690776,26.2907054292692,0.00400700448384189,0.0102529433284586,0.013202632821704,0.00176126319782808,10.2917903437911,4.88630471538606
100,22.0770188618712,32.5836485890358,10.4748091756119,26.372074137447,0.00235942281832461,0.00884929573494769,0.00850577200922918,0.00156730807196676,11.6022096862593,6.21157445158875
200,21.6504938369153,30.8205041087231,10.4248064159292,25.6435485145386,0.0108542194552849,0.0129567947169908,0.0176553762354112,0.00409285928201654,11.2256874209861,5.17695559418458
300,21.135665650736,30.0791777446339,10.0203553595746,25.0804422540691,0.0152003485756294,0.0146396214009165,0.021900668455648,0.00517278659740254,11.1153102911614,4.99873549056482
400,20.388983532084,29.616208323193,9.29246369757443,24.5213758416484,0.0189839996514898,0.0157649506519834,0.0280807039808247,0.00679663461199229,11.0965198345096,5.09483248154458
500,19.6484147230321,29.112554664723,8.54991800291545,23.9576530612245,0.021669179591996,0.0160426614626442,0.0326325374699432,0.00818720577230287,11.0984967201166,5.15490160349854
600,18.9743726937269,28.5102306273063,7.96434501845018,23.4085332103321,0.0229792511225611,0.0147276558296725,0.0338512324480591,0.00868143118573832,11.0100276752768,5.10169741697417
700,18.3019562715765,27.9529919447641,7.34529152282317,22.8643555811277,0.0243739628219304,0.0140083039462629,0.0359007199465148,0.00952968331231977,10.9566647487534,5.08863636363636
800,17.6515747280015,27.4255392250429,6.69120061080359,22.3256919259401,0.0248578746990919,0.0136854554275131,0.0371980073429728,0.00983520240939481,10.9603741171979,5.09984729910288
900,17.0592624603861,26.9195332757131,6.11733410160376,21.8155574762316,0.024613886871599,0.0137306407900955,0.0368194082234513,0.0098831567313772,10.9419283587823,5.10397579948142
1000,16.4112901678657,26.3920095923261,5.51623980815348,21.2812086330935,0.024656122198396,0.0135057509032101,0.0369065755124491,0.0102989903290945,10.8950503597122,5.11080095923262
1100,15.7837952232188,25.8682757230676,4.91589237125869,20.7607578353321,0.0253543993983403,0.0136180283904267,0.0382429069982794,0.0108614101790185,10.8679028519601,5.10751788773556
1200,15.1838236780912,25.3341724800324,4.40980689515721,20.2611566070165,0.0252204398220503,0.0134915753683995,0.0370259483904856,0.0112152269778738,10.774016782934,5.07301587301587
1300,14.5592318900916,24.8332431307244,3.7602518734388,19.7290070774355,0.02482454089184,0.0133710307784003,0.0377022327101792,0.0112982340623683,10.7989800166528,5.10423605328893
