"Species","Group","Median_S","LCI_S","UCI_S","Median_W","LCI_W","UCI_W","Median_diff","LCI_diff","UCI_diff"
"Eurasian Tree Sparrow",0,2601.25,2562,2683.215,2723.9,2608.59,2848,-100.575,-236.772500000001,56.8062500000006
"Large-billed Crow",2,3722,3686,3746,3434,3413.75,3434,288,252,317.4125
"Long-tailed Minivet",2,3631.5,3362.54,3661.08,1886.05,1807.47,1984.7,1741.65,1482.71,1807.44
"Plumbeous Redstart",2,3092.5,2893.2075,3132.95,2466.2,2388,2541.1,625.35,405.4925,741.35
"White-capped Redstart",2,4353.4,4217,4359,2755,2615,2805,1582.05,1440.84875,1730.025
"Ashy-throated Warbler",2,3381.2,3265.51125,3423,2768.7,2677,2796,620.05,512.4825,718.833749999999
"Fire-breasted Flowerpecker",2,2749,2749,2749,2361.6,2259.23375,2463,386,286,489.86375
"Green-backed Tit",0,2938.375,2895.4875,2978,2924.2,2863.195,2962,12.5000000000005,-50.0025000000013,91.8575000000001
"Indian White-eye",2,2545.6,2448.25,2553.25,2001,1873.6,2309,534.2,229,668.50125
"Lemon-rumped Warbler",2,3511.45,3312.66,3530.65,2856.2,2707.59875,2979,645.05,371.536249999999,795.94125
"Chestnut-tailed Minla",2,3256.05,3153,3324.71375,2815,2761.975,2819,448.224999999999,337.5,528.11375
"Green-tailed Sunbird",2,3146,3142.0925,3146,2583.8,2473.7,2677,562,469,672.0075
"Rufous-capped Babbler",2,2987.1,2836,3038.785,2602.2,2481.805,2632.9,377.499999999999,214.19,494.18
"Rufous-vented Yuhina",2,3529,3443.315,3559.05,2667.4,2569.775,2677,861.9,786.265,961.66
"Blue-throated Barbet",0,1434.3,1402,1460.1025,1530.85,1394.8625,1630,-95.5999999999993,-225.27,49.5562500000004
"Bronzed Drongo",2,2140.6,1768,2273.45,1717.15,1489,1741.4,445.099999999999,45.835,717.315000000001
"Chestnut-bellied Nuthatch",0,2052.25,1890.55,2203.2,1956.5,1618.50375,2097.4,107.125,-105.9175,474.018750000003
"Common Hill Myna",1,1279.3,705.75,1688.2,1948.65,1861.04125,1961,-667.425000000001,-1240.045,-243.892500000001
"Maroon Oriole",2,2677,2474,2677,1847.9,1452.97375,1979.75375,799.150000000001,574.1575,1205.05625
"Rusty-fronted Barwing",0,2474,2463,2474,2463,2332.35,2474,9.90000000000009,-9.34999999999957,140.325000000001
"Streaked Spiderhunter",2,2109.075,2089,2262,1338.6,1289.8,1378.5,766.475,717.3775,926.912500000001
"White-throated Bulbul",0,1112.35,994,1273,1254.4,1069.70375,1428,-112.825,-382.53125,199
"Blue Whistling-Thrush",2,3140,3137,3171.15,2962,2962,2979,178,161,208.108749999999
