"","Value","Std.Error","t-value","p-value","Lambda"
"(Intercept)",-301.744667613696,165.523733120308,-1.82296920160916,0.0694698106645349,0.465023319423007
"Median_S",0.22735833830491,0.0258439796252641,8.79734242177833,2.08087903812088e-16,0.465023319423007
