"Species","Group","Median_S","LCI_S","UCI_S","Median_W","LCI_W","UCI_W","Median_diff","LCI_diff","UCI_diff"
"Common Kingfisher",2,141.2,138.35,157.9475,81,49.465,102.6,59.35,39.03,97.6
"Eurasian Tree Sparrow",1,139,139,155.95125,363,196.7325,491.13125,-221.95,-352.13125,-57.7325
"Large-billed Crow",0,144.1,139,176,183.425,142,363.85625,-36.5,-216.665,29.45125
"Long-tailed Minivet",2,651.8,440,926.35625,139.45,109,244.21,508.775,297.8,794.51875
"Plumbeous Redstart",2,906,748,1182.37125,248.55,182.34125,323.3125,672.95,475.9425,962.35125
"White-capped Redstart",2,1084.5,951.6,1747.57875,243,182,321.4025,850.6,646.6925,1501.93875
"Ashy-throated Warbler",2,1682.4,1239.50625,1796.2,879.8,843.75,1122,753.225,334.19375,916.6525
"Bhutan Laughingthrush",0,1446.85,1328,1739,1437.25,1177.05,1735.625,45.825,-295.65,393.40625
"Buff-barred Warbler",2,2158.35,1739,2746.5675,720.2,489,895.5,1450.8,929.28,2141.3625
"Fire-breasted Flowerpecker",0,639.6,513.8575,863.5,695.3,505,874.84375,-14.275,-256.0525,269.5175
"Green-backed Tit",2,1026,1000.2,1100.00625,890,838.79,973,124.475,48.73875,217.2
"Indian White-eye",0,199.3,179,295.05875,166.05,140.3975,254.88,33,-58.06875,126.125
"Lemon-rumped Warbler",2,1440.6,707.515,1876.395,489,489,581.075,932.3,196.35,1372.53125
"Yellow-bellied Fairy-Fantail",2,1459,1430.7,1739,331,243.6125,429.34375,1151.425,1062.01875,1408
"Chestnut-tailed Minla",0,1666.575,1244.3,1739,1304.4,1280.2,1458.3925,332.125,-71.0799999999997,451
"Golden Babbler",0,534,482,559,489,347.8,489,55.6,-5.86250000000003,168.625
"Gray-sided Laughingthrush",0,1346.85,1310.3325,1639.5925,1125.65,877.7775,1365.105,381.3,-30.7575000000001,465.63
"Green-tailed Sunbird",2,1739,1708.795,1739,883.6,605.55,971.18125,854.55,762.32,1133.1575
"Mountain Hawk-Eagle",0,614.75,599.75,767.5375,601.6,381.7475,868.585,6.75,-268.835,317.8975
"Rufous-capped Babbler",0,595,494.96125,661.6,315.925,250,1245.2,267.7,-650.2775,348.075
"Rufous-vented Yuhina",2,1739,1739,1739,849,568.3675,968.8425,890,770.1575,1170.6325
"Striated Bulbul",2,1149.7,987.25,1302.3075,839.75,598.65,1024.4225,331.25,86.4975,612.8375
"Yellow-cheeked Tit",2,886.6,746.90875,1095.14375,683.975,640.15,821,186.925,45.41,454.99375
"Ashy Bulbul",2,385,337,441.4075,270.95,151.815,369.2475,118.025,2.62750000000002,263.0775
"Blue-throated Barbet",1,46,44,75,110,88.04625,124.4025,-63.25,-78.5,-35
"Bronzed Drongo",0,203.15,143,347.6,141.25,125,170.9575,63.5,-1.99999999999997,194.24125
"Chestnut-bellied Nuthatch",2,257.45,177.57875,321.87625,142,125,209.005,117.6,27.09125,192.0175
"Common Hill Myna",0,101.875,85.2,137.4,112.425,86.79125,125,-6.05000000000001,-30.705,27.85125
"Golden-fronted Leafbird",2,163.1,131.75,212.875,90,76,127.65,61.3,7.8,130.1
"Long-tailed Sibia",2,662.45,655.85,852.65,480.35,299.59,489,207.075,166.85,387.7975
"Maroon Oriole",2,489.2,410.35,649.25,125,106.67,142,362.05,281.88875,520.12375
"Pin-tailed Green-Pigeon",2,203.5,174.835,256.95,142,125,145.3875,63.5,33,115.13
"Pygmy Cupwing",2,1004.125,948.4,1423.5625,248.9,191.1375,331,761.675,620.41875,1183.8625
"Red-headed Trogon",2,415.825,384.1875,549.73125,196.425,150.29375,357.6,191.425,84.94375,359.1
"Rufous-necked Hornbill",0,584.5,332.5,841.914999999999,489,410.95375,629,82.4000000000001,-164.15,345.53125
"Rusty-fronted Barwing",2,1102.4,1034.4,1234,489,481,585.02,611.2,505.6675,743.3425
"Streaked Spiderhunter",2,389.5,260.785,501.25625,139.1,125,142,253.2,124.2,362.6075
"Sultan Tit",0,242,143.5,389.0725,142,141.155,249.65,99.2,-29.87,244.35
"White-throated Bulbul",2,218.425,176.3,308,142,125,142,83.45,38.64125,166.85125
"Blue Whistling-Thrush",2,694.95,657.2,858.45125,379.75,306.73625,463.00375,324.35,217.91375,475.795
"Crested Kingfisher",0,211,203.05,258.2,253.5,161,354.82,-36,-146.82,67.72
"White Wagtail",2,196.8,135.1,208.3,112,109.84875,132.7025,80.975,20.485,96.30125
"White-throated Kingfisher",0,44,44,47.8025,69.4,45.05,88.2,-24.875,-43.76125,0.00124999999999897
"Brown Dipper",0,586.5,581.05,702.43,523.2,353.1,613.24,87.8499999999999,-21.2,239.69
"River Lapwing",0,127,104.25,142,111.6,105.9975,118.00375,16.7,-7.75,32.7025
"Great Barbet",2,440.275,417.49375,500.205,324.65,241.9875,437.6125,123.475,3.78499999999996,212.7075
"Great Hornbill",0,182,142,258.5,142,126.14,142,40,0,117.48
"Lesser Necklaced Laughingthrush",2,435.95,360,489,142,142,259.2025,283.95,131.4475,347
"Orange-bellied Leafbird",2,364.95,307.49875,458.86125,207.925,143,312.7625,151.9,25.48375,271.31375
"Red-tailed Minla",2,1461.3,1421.4,1661.15125,506,489,712.49,954.75,752.155,1141.0625
"White-crested Laughingthrush",0,472,432.53125,498.96125,489,409.02375,489,-2.10000000000002,-53.9,73.3525
"Little Cormorant",0,75,44,86,57.15,43,81.3,15.4,-25.83,38
"Black Bulbul",2,474,430.5925,515,167,142,369.0775,302.45,90.1912500000001,364.2025
"Black-hooded Oriole",1,44,44,44.0025,57,44.94875,90,-13,-46,-0.899999999999999
"Black-throated Tit",0,1199,1089.75,1313.855,1128.875,1037.3,1296.29375,68.3249999999999,-133.5325,229.81125
"Common Iora",0,82.45,61.39375,117.22375,97.025,70.1175,125,-13.2,-49,33.395
"Golden-throated Barbet",2,613.7,501,715.245,308.45,159,523.82,275.25,12.3699999999999,483.8075
"Gray-capped Pygmy Woodpecker",0,187.3,154.3,267.3975,110.075,87.37625,300.6725,76.425,-132.1375,157.91875
"Gray-hooded Warbler",0,559,489,666.1775,489,489,685.5625,56.8,-120.03125,174
"Hill Partridge",0,1308.05,1103,1632.8575,1289.4,1172.1,1725,-21.5,-447.58,343.6525
"Little Pied Flycatcher",2,1107.9,1046.45,1355.45,125,81.1075,154.8,996.6,906.4075,1238.3675
"Mountain Bulbul",0,575,501.75,760.215,563,489,801.5275,25.65,-239.95125,215.0475
"Spotted Dove",1,44,44,46.7,80,68,91.0025,-34.8,-47,-22.8975
"Verditer Flycatcher",2,610.8,591.99,617.64,129.05,80.79,132.3275,488.95,460.0225,530.37
"White-naped Yuhina",0,527.5,414.5,869,489,417.9,644.55,27.25,-134.43375,327.05625
"White-throated Fantail",0,122.2,89.595,139,130.5,109.795,143.05375,-7.25000000000001,-43.12375,17.2575
"Asian Palm-Swift",2,75,75,75,73.85,73.85,73.85,1.14999999999999,1.14999999999999,1.14999999999999
"Asian Pied Starling",0,75,51.49375,78.1075,63.1,46,81,5.87500000000001,-24.40625,29
"Himalayan Swiftlet",2,179,177.1525,325.33,130.85,119.15,142,49.95,36.7625,196.92625
"Beautiful Sibia",2,1723.45,1595,1739,668.2,519,869,1028.1,828.915,1203.805
"Black-throated Sunbird",2,509,417.485,515,331,188.1825,478.4775,169.15,17.0775,313.5625
"Bay Woodpecker",0,578.9,548.55,660.215,489,408.6775,599.20875,90.9999999999999,-17.1299999999999,184.86125
"Olive-backed Pipit",2,1558.9,1074,1984.1,258.775,141.8975,522.45125,1263.4,744.63375,1733.80125
"Small Niltava",2,577.3,417.7925,753,142,125,164,442.2,275.8,616.6
"Ashy Drongo",2,433,399.79625,490.2,125,111.7975,142,304.125,270.99125,371
"Blue-winged Laughingthrush",2,1324.55,1291,1556.57625,489,454.8,706.39875,831,619.77625,1063.0425
"Hair-crested Drongo",0,99,98.9975,176.2175,114.775,94.82375,127.405,-13.05,-28,58.2075
"Little Egret",0,75,74,91.455,75,43,85.365,3.8,-8.4975,36.3275
"Silver-eared Mesia",2,472.2,384.8,533.65,161.25,142,296.25,285.1,150.955,381.7525
"Red-vented Bulbul",1,86,75,104.95125,112,110,122.50375,-26,-38.8,-8
"Tickell's Leaf Warbler",2,1103.75,759.5,1288.6225,119.6,101.46,131.75,978.75,637.6625,1160.585
"Asian Barred Owlet",0,219.95,134.5,387.505,141.4,118,150.61375,81,-4.60374999999999,248.61
"Red-breasted Parakeet",0,82.3,60.775,100.3825,93.25,82.53,102.91,-16.5,-33.155,15.5775
"Crested Serpent-Eagle",2,189.525,150.8,436.50125,120.35,95.9825,142,74.15,18.9975,315.11125
"Chestnut-crowned Laughingthrush",2,1739,1739,1739,1310.6,1128.22375,1447.71125,428.4,291.28875,610.77625
"Gray-cheeked Warbler",2,1048,835.4,1210.0125,227.3,142,489,772.85,431.8,1011
"Streak-breasted Scimitar-Babbler",0,1244.8,1100,1654.76375,1302.05,1148.1,1450.84625,-14.525,-261.6425,415.65375
"Striated Laughingthrush",0,1001,955.5,1084,816.925,489,1000,183.95,-20.80375,545.3025
"Wedge-tailed Green-Pigeon",2,515.25,433.74625,595,142,114.5,305.03875,371,217.07875,453
"Yellow-breasted Greenfinch",0,1273,1194.12,1437.21,1046.25,969.45,1437.3,228.1,-163.32,424.51
"Black-winged Cuckooshrike",2,502.875,413,549,108,76,142,388.375,292.335,456.14875
"Blyth's Leaf Warbler",2,1595,1557.355,1739,141.2,93.27,210.4,1462.4,1383.2325,1599.4875
"Slaty-bellied Tesia",2,1244.15,1185.05625,1379.89,142,129.39875,217.77,1095.025,1006.27375,1240.6825
"Chestnut-crowned Warbler",2,1343,1077.8,1609.965,489,417.495,489,859,588.855,1153.57
"Rufous-winged Fulvetta",2,1739,1597.8,1739,868.6,506.2,1166.095,852.6,531.39375,1181.2
"Gray-throated Babbler",0,227.65,174.55,443.88875,485.05,250,489,-152.175,-310.4,138.01875
"Pin-striped Tit-Babbler",0,146,129.8,169.59,137.75,125,142,12,-10.795,40.74875
"Black-tailed Crake",0,1458.7,1280.4,1633.6,1446,1117.1,1545.01875,13.2249999999999,-216.7975,356.9
"Blue-winged Minla",2,992.5,958.2725,1128.3175,217.5,157,489,773.8,501.74375,891.5175
"Blyth's Shrike-Babbler",2,911,838.55,1084,489,361.96,489,434.6,349.55,611.3275
"Gray Bushchat",2,1259,1210.7425,1371,340.9,213.0925,533.2,915.6,718.94,1082.58125
