"Species","Group","Median_S","LCI_S","UCI_S","Median_W","LCI_W","UCI_W","Median_diff","LCI_diff","UCI_diff","elev_roundS","elev_roundW","maxTemp_June_mean","minTemp_June_mean","maxTemp_June_ci","minTemp_June_ci","tempRange_June","maxTemp_Jan_mean","minTemp_Jan_mean","maxTemp_Jan_ci","minTemp_Jan_ci","tempRange_Jan","ThermalRegime","Tree.name","Scientific","HWI","Diet"
"Greater Coucal",2,591,570.3375,602,409,403,409,182,157.9625,196,600,400,34.9175192472198,23.660621613915,0.0278416027627093,0.0157774437863449,11.2568976333048,18.7463075293665,5.15725014442519,0.0184769880609363,0.0124636720790396,13.5890573849413,29.7602691027946,"Centropus_sinensis","Centropus sinensis",13.23180548,"vertebrates"
"Asian Emerald Dove",0,602,602,656.575,602,602,602,0,0,54.5749999999999,600,600,34.9175192472198,23.660621613915,0.0278416027627093,0.0157774437863449,11.2568976333048,16.6673224978614,3.48064442543484,0.0220866208077492,0.0124960789734125,13.1866780724266,31.436874821785,"Chalcophaps_indica","Chalcophaps indica",28.69523682,"omnivore"
"Eurasian Collared-Dove",2,1064,716,1264,421.25,388,513,640.5,286.7875,844.15,1100,400,30.2814074074074,19.7186851851852,0.0355023162546574,0.0196774185508175,10.5627222222222,18.7463075293665,5.15725014442519,0.0184769880609363,0.0124636720790396,13.5890573849413,25.1241572629822,"Streptopelia_decaocto","Streptopelia decaocto",37.84538878,"omnivore"
"Oriental Turtle-Dove",2,2173,2173,2173,1332,1255,1366.5375,841,806.4625,918,2200,1300,21.9630222441106,11.3754658130181,0.0307198183067672,0.0350704380073125,10.5875564310925,5.78517844700782,-6.09761554540528,0.0663275996715154,0.0565749901578103,11.8827939924131,28.0606377895159,"Streptopelia_orientalis","Streptopelia orientalis",32.75114632,"omnivore"
"Spotted Dove",2,653,653,660,602,602,638,51,15.4875,58,700,600,33.9750876189114,22.7355983119948,0.0313743902482196,0.0158341631548663,11.2394893069165,16.6673224978614,3.48064442543484,0.0220866208077492,0.0124960789734125,13.1866780724266,30.4944431934766,"Stigmatopelia_chinensis","Streptopelia chinensis",30.6093332,"seeds"
"Laughing Dove",0,580,580,580,562,441.4875,580,18,0,139,600,600,34.9175192472198,23.660621613915,0.0278416027627093,0.0157774437863449,11.2568976333048,16.6673224978614,3.48064442543484,0.0220866208077492,0.0124960789734125,13.1866780724266,31.436874821785,"Stigmatopelia_senegalensis","Streptopelia senegalensis",34.48991766,"seeds"
"Hill Pigeon",2,4183,4162,4185,3540,3515,3603,643,569,655.525,4200,3500,9.9832898062342,-0.476347935973041,0.0193664774154063,0.0244393705939975,10.4596377422072,-5.59081324133654,-16.6309868982092,0.0559500385193084,0.0466183911947008,11.0401736568726,26.6142767044434,"Columba_rupestris","Columba rupestris",48.60645148,"seeds"
"Rock Pigeon",0,650,638,660,641,637,666,0,-26,22,600,600,34.9175192472198,23.660621613915,0.0278416027627093,0.0157774437863449,11.2568976333048,16.6673224978614,3.48064442543484,0.0220866208077492,0.0124960789734125,13.1866780724266,31.436874821785,"Columba_livia","Columba livia",44.18079137,"seeds"
"Mountain Scops-Owl",1,1946,1943,2031.2,2108,2093,2210,-165,-258,-69.3,1900,2100,24.2758222735141,13.6378678592037,0.0245302345975058,0.0274683253856939,10.6379544143104,4.09719315728284,-7.86919946852682,0.0672487777898436,0.0556859096653147,11.9663926258097,32.1450217420409,"Otus_spilocephalus","Otus spilocephalus",25.46493589,"invertebrates"
"Spotted Owlet",0,388,388,409,368,321,403,30,-15,79,400,400,37.5845152127864,26.1657904871943,0.0136710487453596,0.0136089274947692,11.4187247255921,18.7463075293665,5.15725014442519,0.0184769880609363,0.0124636720790396,13.5890573849413,32.4272650683612,"Athene_brama","Athene brama",29.247852,"invertebrates"
"Jungle Owlet",0,388,388,388,388,388,421,0,-33,0,400,400,37.5845152127864,26.1657904871943,0.0136710487453596,0.0136089274947692,11.4187247255921,18.7463075293665,5.15725014442519,0.0184769880609363,0.0124636720790396,13.5890573849413,32.4272650683612,"Glaucidium_radiatum","Glaucidium radiatum",26.89636707,"invertebrates"
