"Value","Std.Error","t-value","p-value","dataset","Variable"
3579.26518979796,85.5725229510383,41.8272719602517,2.46364279908977e-86,"05.q1.sam30","(Intercept)"
-182.144716301056,4.44023196963771,-41.0214415702966,3.92014423435767e-85,"05.q1.sam30","ThermalRegime"
-2.68961724624509,1.40004698801543,-1.9210906985755,0.0565557314202162,"05.q1.sam30","HWI"
-89.9153746365112,37.6286115715503,-2.38954802957686,0.0180707548052631,"05.q1.sam30","relevel(Diet, ref = ""invertebrates"")fruit"
-5.74402874300191,24.5578750152918,-0.233897629148499,0.815373098866041,"05.q1.sam30","relevel(Diet, ref = ""invertebrates"")omnivore"
115.436648628332,44.712380566285,2.58176029024445,0.0107559206925501,"05.q1.sam30","relevel(Diet, ref = ""invertebrates"")seeds"
-52.41293284289,76.3094496054904,-0.686847213731167,0.493205323106273,"05.q1.sam30","relevel(Diet, ref = ""invertebrates"")vertebrates"
3459.47582751402,138.932440072194,24.9004179708955,4.11526024763148e-37,"05.q1.sam60","(Intercept)"
-175.411646781919,7.21834777413021,-24.3008029358984,1.97983127803257e-36,"05.q1.sam60","ThermalRegime"
-2.93929076355127,2.1814109165325,-1.34742644830231,0.182067966249494,"05.q1.sam60","HWI"
-97.865165388559,67.3116102445175,-1.45391211164095,0.150315979187538,"05.q1.sam60","relevel(Diet, ref = ""invertebrates"")fruit"
-22.0945949769826,32.6824681389851,-0.676038140174217,0.501182237532021,"05.q1.sam60","relevel(Diet, ref = ""invertebrates"")omnivore"
44.7378718309541,64.1579175743153,0.697308664657536,0.48785521452387,"05.q1.sam60","relevel(Diet, ref = ""invertebrates"")seeds"
-120.549398255172,129.146874439115,-0.93342869332857,0.353718490960173,"05.q1.sam60","relevel(Diet, ref = ""invertebrates"")vertebrates"
3549.55806716347,84.1178706835826,42.1974312749246,2.66247799805752e-94,"05.q2.sam30","(Intercept)"
-182.90716859792,4.09011254701574,-44.7193485498032,2.20739529704502e-98,"05.q2.sam30","ThermalRegime"
-1.80491151288271,1.31638621095905,-1.37111092311408,0.172076287337782,"05.q2.sam30","HWI"
-66.1364500415346,35.4140890804952,-1.86751803473494,0.0634825321984838,"05.q2.sam30","relevel(Diet, ref = ""invertebrates"")fruit"
