"Species","Group","Median_S","LCI_S","UCI_S","Median_W","LCI_W","UCI_W","Median_diff","LCI_diff","UCI_diff","elev_roundS","elev_roundW","maxTemp_June_mean","minTemp_June_mean","maxTemp_June_ci","minTemp_June_ci","tempRange_June","maxTemp_Jan_mean","minTemp_Jan_mean","maxTemp_Jan_ci","minTemp_Jan_ci","tempRange_Jan","ThermalRegime","Species3","Tree.name","HWI","Diet"
"Kalij Pheasant",2,893.1,880.65,1005.845,487.325,256.85375,591.2125,455.95,289.4375,682.05375,900,500,34.4428358060341,22.2947674997511,0.04349096041162,0.0352590587250573,12.148068306283,20.9677051338306,7.01919591926283,0.0229869522087908,0.0174710463618794,13.9485092145678,27.4236398867713,"Lophura leucomelanos","Lophura_leucomelanos",17.7587268,"omnivore"
"Red-wattled Lapwing",0,82,79.105,108.335,81,60.61,106.08,1.8,-25.305,29.885,100,100,41.2864569675398,29.00652815419,0.00779262804102413,0.00373754560110998,12.2799288133498,22.8558792429749,8.46627386037916,0.00587300718385101,0.00568208617921472,14.3896053825957,32.8201831071606,"Vanellus indicus","Vanellus_indicus",43.2386972,"invertebrates"
"White-throated Kingfisher",1,44,44,46.05,68.025,45.4,81.205,-23.85,-37.0025,-0.298749999999998,0,100,39.9922732810824,27.6320106926588,0.0121766292998815,0.00306778405792983,12.3602625884236,22.8558792429749,8.46627386037916,0.00587300718385101,0.00568208617921472,14.3896053825957,31.5259994207032,"Halcyon smyrnensis","Halcyon_smyrnensis",20.24597458,"vertebrates"
"Bay Woodpecker",2,585.8,549,656.84875,489,404.45,571.55625,97.65,37.8712499999999,194.36875,600,500,35.9098041195477,24.2701164512655,0.0234141803249473,0.0224606985928427,11.6396876682822,20.9677051338306,7.01919591926283,0.0229869522087908,0.0174710463618794,13.9485092145678,28.8906082002849,"Blythipicus pyrrhotis","Blythipicus_pyrrhotis",12.33568599,"invertebrates"
"Greater Yellownape",2,237.8,192.7475,331.05,142,126.4,185,93,25.385,182.5175,200,100,39.6640710249462,28.2027400137879,0.0042808564738231,0.00313442919599782,11.4613310111583,22.8558792429749,8.46627386037916,0.00587300718385101,0.00568208617921472,14.3896053825957,31.197797164567,"Picus flavinucha","Picus_flavinucha",23.75209001,"invertebrates"
"Lesser Yellownape",2,316.5,283.02,421.1125,142,126.5125,167.225,175,127.7375,281.9975,300,100,38.7297142366404,27.7808034008201,0.00569581805600079,0.00538932095846712,10.9489108358203,22.8558792429749,8.46627386037916,0.00587300718385101,0.00568208617921472,14.3896053825957,30.2634403762612,"Picus chlorolophus","Picus_chlorolophus",23.79629568,"invertebrates"
"Golden-throated Barbet",2,620.2,503.88,696.8,301.9,165,515,325.5,53,494.64,600,300,35.9098041195477,24.2701164512655,0.0234141803249473,0.0224606985928427,11.6396876682822,21.8863516327801,7.77234171372136,0.00935780358142791,0.00706596436600862,14.1140099190588,28.1374624058263,"Megalaima franklinii","Megalaima_franklinii",16.72903508,"fruit"
"Blue-throated Barbet",1,46,44,48.6,109.875,89.4,116.805,-63.3,-70.805,-42.5975,0,100,39.9922732810824,27.6320106926588,0.0121766292998815,0.00306778405792983,12.3602625884236,22.8558792429749,8.46627386037916,0.00587300718385101,0.00568208617921472,14.3896053825957,31.5259994207032,"Megalaima asiatica","Megalaima_asiatica",17.49884742,"fruit"
"Great Barbet",2,440,419.0975,488.70375,312,241.5,402.51375,128,41.995,208.715,400,300,37.4791724394499,27.0676377770936,0.00596803255200587,0.00638276566218357,10.4115346623563,21.8863516327801,7.77234171372136,0.00935780358142791,0.00706596436600862,14.1140099190588,29.7068307257285,"Megalaima virens","Megalaima_virens",21.67202429,"fruit"
"Scarlet Minivet",2,405.9,314.25,417.01,125.375,121.99625,142,274.775,179.68875,292.9075,400,100,37.4791724394499,27.0676377770936,0.00596803255200587,0.00638276566218357,10.4115346623563,22.8558792429749,8.46627386037916,0.00587300718385101,0.00568208617921472,14.3896053825957,29.0128985790707,"Pericrocotus flammeus","Pericrocotus_flammeus",27.33760301,"invertebrates"
