"","Value","Std.Error","t-value","p-value","Lambda"
"(Intercept)",-160.449187931913,184.014985669115,-0.871935442368935,0.384168956768243,0.678620000362133
"Median_S",0.223033107242629,0.0241114519218613,9.25009028761185,1.75195908641853e-17,0.678620000362133
