Tree.name,Species,Median_S_upper,Median_W_upper,Median_diff_upper,Species,Median_S_median,Median_W_median,Median_diff_median,Species,Median_S_lower,Median_W_lower,Median_diff_lower,Summer_range,Diff_ratio_upper,Diff_ratio_median,Diff_ratio_lower
Lophura_leucomelanos,Kalij Pheasant,2499,2499,0.575,Kalij Pheasant,1842.5,1746,105.25,Kalij Pheasant,768.675,761,4,1730.325,0.000230092,0.057123474,0.00520376
Luscinia_pectoralis,Himalayan Rubythroat,3983.85,1695.8,2244.6,Himalayan Rubythroat,1637,1084.5,551,Himalayan Rubythroat,762.75,403,346.65,3221.1,0.563424828,0.336591326,0.454473943
Megalaima_asiatica,Blue-throated Barbet,1936,1935.925,11.7,Blue-throated Barbet,1309,1248,61,Blue-throated Barbet,530.875,408.05,122.075,1405.125,0.006043388,0.046600458,0.229950553
Megalaima_haemacephala,Coppersmith Barbet,861.3,1011.5,-145.75,Coppersmith Barbet,586,580,11,Coppersmith Barbet,272,274.675,-2.675,589.3,-0.169220945,0.018771331,-0.009834559
Megalaima_lineata,Lineated Barbet,867,876.05,-6.775,Lineated Barbet,388,438,-44.75,Lineated Barbet,310.6,308.5,-3,556.4,-0.007814302,-0.115335052,-0.009658725
Megalaima_virens,Great Barbet,2499,2417,82,Great Barbet,1913,1795,118,Great Barbet,1035,932,103,1464,0.032813125,0.06168322,0.099516908
Megalaima_zeylanica,Brown-headed Barbet,855.9,827,28.9,Brown-headed Barbet,602,599,3,Brown-headed Barbet,272,272,0,583.9,0.033765627,0.004983389,0
Merops_orientalis,Green Bee-eater,722.625,827,-102.075,Green Bee-eater,372,653,-281,Green Bee-eater,272,298.2,-26.55,450.625,-0.141255838,-0.755376344,-0.097610294
Minla_cyanouroptera,Blue-winged Minla,2150.6,2127.275,16.675,Blue-winged Minla,1365,1365,0,Blue-winged Minla,1113,1144.2,33.425,1037.6,0.00775365,0,0.030031447
Minla_strigula,Chestnut-tailed Minla,3423.75,2417,1006.6,Chestnut-tailed Minla,2511,2017,512,Chestnut-tailed Minla,1564.1,1330.45,253.4,1859.65,0.294005111,0.203902828,0.162010102
Monticola_rufiventris,Chestnut-bellied Rock-Thrush,2893,2176.6,715.55,Chestnut-bellied Rock-Thrush,2149,1516,617,Chestnut-bellied Rock-Thrush,1135.35,643.025,504.775,1757.65,0.247338403,0.287110284,0.444598582
Mycerobas_icterioides,Black-and-yellow Grosbeak,3273,2860,413,Black-and-yellow Grosbeak,2704,2245,425,Black-and-yellow Grosbeak,1864.5,1650.5,211.5,1408.5,0.126183929,0.157174556,0.113435237
Myophonus_caeruleus,Blue Whistling-Thrush,2893,2642,251,Blue Whistling-Thrush,2035,1615,411,Blue Whistling-Thrush,827,388,441,2066,0.086761148,0.201965602,0.533252721
Nectarinia_asiatica,Purple Sunbird,1264.4,1264.65,7.725,Purple Sunbird,599,409,190,Purple Sunbird,272,268,4,992.4,0.006109617,0.317195326,0.014705882
Niltava_macgrigoriae,Small Niltava,2417,1757,660,Small Niltava,2173,1293.5,849,Small Niltava,1248,397,841.275,1169,0.273065784,0.390704096,0.674098558
Niltava_sundara,Rufous-bellied Niltava,2568.75,2048.4,523.15,Rufous-bellied Niltava,2382.5,1012.5,1373,Rufous-bellied Niltava,1045.525,430.75,615.3,1523.225,0.203659367,0.576285414,0.588508166
Nucifraga_caryocatactes,Eurasian Nutcracker,3154.35,3051.5,115.675,Eurasian Nutcracker,2510,2497,11.5,Eurasian Nutcracker,1667,1862,-199.2,1487.35,0.036671581,0.004581673,-0.119496101
Nyctyornis_athertoni,Blue-bearded Bee-eater,1023.45,1407.9,-355.6,Blue-bearded Bee-eater,517.5,540,-9.5,Blue-bearded Bee-eater,272,291.3,-18.45,751.45,-0.347452245,-0.018357488,-0.067830882
