Tree.name,Species,Median_S_upper,Median_W_upper,Median_diff_upper,Species,Median_S_median,Median_W_median,Median_diff_median,Species,Median_S_lower,Median_W_lower,Median_diff_lower,Summer_range,Diff_ratio_upper,Diff_ratio_median,Diff_ratio_lower
Seicercus_whistleri,Whistler's Warbler,3192.35,2006,1192.325,Whistler's Warbler,1388,602,786,Whistler's Warbler,473.9,394.8,77.275,2718.45,0.373494448,0.566282421,0.163061827
Serinus_pusillus,Fire-fronted Serin,4445.65,4020.4,444.45,Fire-fronted Serin,3307,2638.5,699,Fire-fronted Serin,1677.875,1404.3,280.5,2767.775,0.099974132,0.211369822,0.167175743
Sitta_castanea,Chestnut-bellied Nuthatch,2076.9,2038.2,44.725,Chestnut-bellied Nuthatch,1210,1015,164.25,Chestnut-bellied Nuthatch,373.5,363,9,1703.4,0.021534499,0.135743802,0.024096386
Sitta_frontalis,Velvet-fronted Nuthatch,2196.6,1358.4,844.7,Velvet-fronted Nuthatch,600,602,-2,Velvet-fronted Nuthatch,354,363,-13.625,1842.6,0.384548848,-0.003333333,-0.038488701
Sitta_himalayensis,White-tailed Nuthatch,2839.45,2569,270.45,White-tailed Nuthatch,2135.5,2100,35.5,White-tailed Nuthatch,1406.75,1364.175,54,1432.7,0.095247319,0.016623742,0.038386352
Stachyris_pyrrhops,Black-chinned Babbler,2417,2183.05,233.95,Black-chinned Babbler,1073,1254,-181.5,Black-chinned Babbler,386,466.75,-80.425,2031,0.096793546,-0.169151911,-0.208354922
Stigmatopelia_chinensis,Spotted Dove,2173,1435.5,729.4,Spotted Dove,653,602,51,Spotted Dove,272,272,0,1901,0.335664979,0.078101072,0
Stigmatopelia_senegalensis,Laughing Dove,1048.8,1010.925,24.2,Laughing Dove,580,562,18,Laughing Dove,321,282.9,36.475,727.8,0.023073989,0.031034483,0.113629283
Streptopelia_decaocto,Eurasian Collared-Dove,2417,1620.8,795.85,Eurasian Collared-Dove,1064,421.25,640.5,Eurasian Collared-Dove,272,262,10,2145,0.329271825,0.601973684,0.036764706
Streptopelia_orientalis,Oriental Turtle-Dove,3421.35,2417,1007.7,Oriental Turtle-Dove,2173,1332,841,Oriental Turtle-Dove,602,388,214,2819.35,0.29453286,0.387022549,0.355481728
Sturnus_contra,Asian Pied Starling,827,827,0,Asian Pied Starling,368,388,-18,Asian Pied Starling,272,264.4,6.75,555,0,-0.048913043,0.024816176
Sturnus_pagodarum,Brahminy Starling,1055.7,827,228.7,Brahminy Starling,638,580,58,Brahminy Starling,272,272,0,783.7,0.216633513,0.090909091,0
Sylviparus_modestus,Yellow-browed Tit,3073.4,2893,180.4,Yellow-browed Tit,2362.75,2142,211,Yellow-browed Tit,1546.35,1373.1,165.5,1527.05,0.058697208,0.089302719,0.107026223
Tarsiger_chrysaeus,Golden Bush-Robin,3493.425,2173,1331.875,Golden Bush-Robin,2146,1582.5,565.5,Golden Bush-Robin,1248,999,257.05,2245.425,0.381251923,0.263513514,0.205969551
Tarsiger_cyanurus,Himalayan Bluetail,3288,2499,789,Himalayan Bluetail,2351,1964,378,Himalayan Bluetail,1380.775,1255,127.125,1907.225,0.239963504,0.160782646,0.09206786
Tephrodornis_pondicerianus,Common Woodshrike,1055.85,1053.75,0,Common Woodshrike,397.25,441,-49,Common Woodshrike,272.95,272,6.125,782.9,0,-0.123348018,0.022440007
Tesia_castaneocoronata,Chestnut-headed Tesia,2965,2417,548,Chestnut-headed Tesia,2159.5,1542,616,Chestnut-headed Tesia,791.775,627,166.675,2173.225,0.184822934,0.285251216,0.210508036
Tichodroma_muraria,Wallcreeper,4072.2,3618.575,417.1,Wallcreeper,1565,1453,41,Wallcreeper,385.475,368,19.175,3686.725,0.102426207,0.026198083,0.049743823
Troglodytes_troglodytes,Eurasian Wren,3890.1,3491.8,397.1,Eurasian Wren,2787,2844,-56,Eurasian Wren,1789,1600.1,178.325,2101.1,0.102079638,-0.02009329,0.099678591
Turdoides_caudata,Common Babbler,1010,949.1,53.425,Common Babbler,599,602,-3,Common Babbler,272,272,0,738,0.05289604,-0.005008347,0
Turdoides_striata,Jungle Babbler,1498,1554.075,-58,Jungle Babbler,638,638,1,Jungle Babbler,272,272,0,1226,-0.038718291,0.001567398,0
Turdus_albocinctus,White-collared Blackbird,3392.725,2649.5,743.4,White-collared Blackbird,2784,2173,611,White-collared Blackbird,1950.6,1466.6,473.5,1442.125,0.219115902,0.219468391,0.242745822
Turdus_boulboul,Gray-winged Blackbird,2578,2417,164.15,Gray-winged Blackbird,2035,1641,393.25,Gray-winged Blackbird,894.675,442.4,442.85,1683.325,0.06367339,0.193243243,0.494984212
Turdus_viscivorus,Mistle Thrush,3176.5,2844,332.5,Mistle Thrush,2434,2630,-196,Mistle Thrush,1626.8,1705,-51.95,1549.7,0.104674957,-0.080525883,-0.031933858
Upupa_epops,Eurasian Hoopoe,3570.075,2088.45,1507.05,Eurasian Hoopoe,1630,421,1205.5,Eurasian Hoopoe,318.5,262.4,51.95,3251.575,0.422133989,0.739570552,0.16310832
Urocissa_erythrorhyncha,Red-billed Blue-Magpie,2219.2,2187.5,35.275,Red-billed Blue-Magpie,1498,1573,-75.5,Red-billed Blue-Magpie,666,678,-3.55,1553.2,0.015895368,-0.050400534,-0.00533033
Urocissa_flavirostris,Yellow-billed Blue-Magpie,2578,2499,79,Yellow-billed Blue-Magpie,2158,1862,301.25,Yellow-billed Blue-Magpie,1155.575,1025,145.4,1422.425,0.03064391,0.139596849,0.125824806
Vanellus_indicus,Red-wattled Lapwing,1317.625,1332,-27.5,Red-wattled Lapwing,409,388,21,Red-wattled Lapwing,272,263.375,8.625,1045.625,-0.020870885,0.051344743,0.031709559
Yuhina_flavicollis,Whiskered Yuhina,2547.7,2515.7,28.625,Whiskered Yuhina,2174,1863,311,Whiskered Yuhina,1562.975,771,772.725,984.725,0.011235624,0.143054278,0.494393704
Zoothera_cinerea,Orange-headed Thrush,1365,666,699,Orange-headed Thrush,609,602,7,Orange-headed Thrush,381.6,518.9,-154.6,983.4,0.512087912,0.011494253,-0.405136268
Zoothera_monticola,Long-billed Thrush,2634,2430.3,208.95,Long-billed Thrush,2417,2173,244,Long-billed Thrush,1631.4,497.775,1121.7,1002.6,0.079328018,0.100951593,0.687568959
Zosterops_palpebrosus,Indian White-eye,2173,2095,78,Indian White-eye,677,664,13,Indian White-eye,272,272,0,1901,0.035895076,0.019202363,0
