"Species","Group","Median_S","LCI_S","UCI_S","Median_W","LCI_W","UCI_W","Median_diff","LCI_diff","UCI_diff"
"Common Kingfisher",1,1693,1563,1796,2326.25,1875.6225,2365.03,-621.5,-797.2375,-212.914999999999
"Eurasian Tree Sparrow",0,2611,2561.9,2715.7625,2731.1,2606.2,2848,-108.275,-273.76625,66.0587500000002
"Large-billed Crow",2,3725.3,3686,3748,3434,3429.4775,3441.04375,291.299999999999,252,314.015
"Long-tailed Minivet",2,3642.3,3190,3674.75,1881.45,1598.92375,2052.335,1710.875,1303.26625,2025.07375
"Plumbeous Redstart",2,3117.35,2878.35,3278.05,2474,2388,2552.75875,630.525,377.045000000001,821.863749999999
"White-capped Redstart",2,4346.4,4217,4359,2776.25,2615,2836.285,1554,1412,1719.86625
"Ashy-throated Warbler",2,3381.075,3244.8,3478.01875,2768,2677,2804.415,635.4,476.9225,766
"Bhutan Laughingthrush",2,3006,2881,3032,2551,2412.95,2553.8,456,330,563.012500000001
"Buff-barred Warbler",2,4218.6,4207,4304.38,2474,2271.0725,2775.65,1743.55,1441.3225,1960.82
"Fire-breasted Flowerpecker",2,2749,2715.85,2750.1,2345.7,2233,2463,397.9,286,516
"Green-backed Tit",0,2964.4,2898,3009.82375,2962,2888.46875,2962,12.6250000000005,-60,96.8175000000015
"Indian White-eye",2,2543.2,2388.0525,2556.25,1998.1,1863.1,2309,533.125000000002,186.327499999996,685.5125
"Lemon-rumped Warbler",2,3579,3190.8,3771.3475,2848.4,2579.50625,2979,712.674999999999,310.649999999999,1081.37875
"Yellow-bellied Fairy-Fantail",2,3529.1,3408.85,3558.2,2400.2,2311.30625,2580.85,1102.2,904.756250000001,1225.45
"Chestnut-tailed Minla",2,3268.45,3146,3361,2819,2756.995,2915.8,447.9,309.320000000001,570.7425
"Golden Babbler",2,2426.75,2114.55,2474,2015,1829.8625,2055.75,402.1,97.225,644.1375
"Gray-sided Laughingthrush",2,2885.125,2703.75625,3023.3425,2458.925,2457.01375,2472.95375,426.625,230.8025,565.606249999999
"Green-tailed Sunbird",2,3146,3141.8,3146,2584.8,2469.1925,2677,561.2,469,676.8
"Mountain Hawk-Eagle",1,2480.6,2101.01,2521.5725,2894.5,2483.825,3023.15,-387.449999999999,-810.944999999997,-152.452499999999
"Rufous-capped Babbler",2,2998.65,2802.44375,3104.25,2611.825,2472.35,2771.45,365.45,121.86,567.64875
"Rufous-vented Yuhina",2,3526.8,3438.785,3622.55,2665,2552.1,2693.2,870.875,774.9925,996.01625
"Striated Bulbul",2,2722,2680.2925,2751,2474,2463,2474,248,207.5,277
"Yellow-cheeked Tit",2,2573.375,2502.3525,2669.41,2486.15,2457.81875,2488.85,86.6999999999996,18.1937499999999,192.60875
"Ashy Bulbul",0,1719.8,1235,1927.5,1695.85,1448.82375,1779.1,34.9249999999997,-384.05875,412.67375
"Blue-throated Barbet",0,1425.8,1397.6,1461,1538.4,1382.2,1699.115,-104.899999999999,-270.4925,63.0325
"Bronzed Drongo",0,2104.4,1677.825,2276.25,1716,1406.805,1749.1175,438.725,-42.5274999999988,791.318749999999
"Chestnut-bellied Nuthatch",0,2059.7,1832.95625,2240.4,1954.5,1534.995,2111.4,113.425,-186.04625,529.177499999999
"Common Hill Myna",1,1239.5,652,1767.45,1947.775,1860,1963.4,-690.15,-1297.2275,-151.89375
"Golden-fronted Leafbird",1,1006.75,756,1133.7,1823.4,1202.3,1968.0875,-828,-1168.4375,-82.6499999999999
"Long-tailed Sibia",0,2158.1,1739,2276.45,1748.85,1572.38875,1837.5,401.449999999999,-78.7999999999997,674.611249999999
"Maroon Oriole",2,2677,2474,2677,1826.125,1398.2175,2033.45,814.849999999999,499.785,1264.915
"Pin-tailed Green-Pigeon",0,1148.05,947.52,1185.3,1252.65,1002.78,1415,-115.999999999999,-393.262500000001,168.42
"Pygmy Cupwing",2,2533,2476.475,2620.75,1653.15,1371.15625,1999,849.525000000001,525.625,1198.725
