"Species","Group","Median_S","LCI_S","UCI_S","Median_W","LCI_W","UCI_W","Median_diff","LCI_diff","UCI_diff"
"Black Redstart",2,3604,3566,3621,394,353.4875,409,3209.25,3165.4625,3260
"Common Myna",0,829,827,910.5,820,771,827,25,0,103.5375
"Crimson Sunbird",0,664,664,664,653,653,664,11,0,11
"Gray Bushchat",2,2033.5,2004.4625,2046,827,827,827,1206.5,1175,1219
"Gray-hooded Warbler",2,1966,1953.9625,1994,1502,1452,1542,465.75,424,515.5
"Himalayan Bulbul",2,1365,1352,1380,1227,1217,1241,139,117,156
"House Sparrow",2,1579,1557,1580,1255,1219,1300,324.5,276,360.025
"Large-billed Crow",2,1586,1580,1612,1523,1463.975,1562.5625,65,22.975,130
"Red-vented Bulbul",0,653,647,653,653,653,653,0,-6,0
"Rufous Treepie",0,602,602,602,599,591,602,3,0,11
"Russet Sparrow",2,1862,1862,1888,1790,1737,1799,83,66.4875,134.0125
"Yellow-billed Blue-Magpie",2,2121,2071,2146,1810,1810,1861,306,243.5,336
"Blue Whistling-Thrush",2,2049,2047.5,2067,1606,1595,1613,444.5,436,460.0125
"Eurasian Jackdaw",0,1609,1603,1615,1608.5,1602,1624,1.5,-15.0125,12
"European Goldfinch",2,2630,2583.5,2642,1612.5,1605,1613,1022.75,970.5,1036
"House Crow",0,440,409,509.0125,409,409,458.0375,16.5,-30.5125,92.5749999999999
"Rose-ringed Parakeet",2,638,636.975,638,602,602,602,36,34.975,36
"Streaked Laughingthrush",2,1994,1956,2011,1913,1906,1930,78.25,41.5,98.025
"Tickell's Thrush",0,1763.5,1618.525,1842.9125,1420,691,1705.5,293.25,-9.9875,1008.1375
"Bar-tailed Treecreeper",2,2044,2017,2054,1810,1790.5,1862.0125,226.5,173,257
"Coal Tit",2,2506,2476.5,2548.025,2111,2100,2121,396,365,444.5125
"Plain Mountain Finch",2,3860,3697.9625,3973,2097,2054,2119,1767.5,1603.4875,1892.125
"Rock Bunting",2,2710,2698,2742,1987,1931,2024,725,686,785
"Yellow-breasted Greenfinch",2,2174,2173,2188,1807.5,1743,1886.5375,368.5,287.5,434.525
"Common Raven",2,4276.5,4246.5,4405,3198,3148,3220,1085,1033,1247
"Plumbeous Redstart",2,2159,2125,2173,1065,1011,1109,1095.5,1042,1158
"Black Bulbul",2,1861,1830,1862,1255,1248,1295,602,559.4625,614
"Cinereous Tit",2,1258,1237,1287.575,1049,1011,1083,214,168,264
"Green-backed Tit",2,2145,2115,2169,2049,2035,2055,97,68.475,122
"Oriental Turtle-Dove",2,2173,2173,2173,1002,666,1255,1171,918,1507
"Ultramarine Flycatcher",2,2121.5,2098.925,2161.4875,602,602,602,1519.5,1496.925,1559.4875
"Common Rosefinch",2,3187,3181,3198,1332,1279,1411.0125,1851,1771.9625,1911
"Great Barbet",2,1943,1927,1949,1724,1689,1753.5,217.75,185,254
"Ashy Drongo",2,1952,1943,1974,666,664,666,1286,1277,1308
"Gray-winged Blackbird",2,2035,2035,2051.5625,1612.5,1574,1671.5625,423,363.4875,474
"White-capped Redstart",2,2758,2710,2827,1255,1248,1270,1503,1448.9875,1573
"Spotted Dove",2,664,664,664,602,602,602,62,62,62
"Black-headed Jay",2,2035,2035,2035,2011,1952,2030.525,24,3,83
"Gray-headed Canary-Flycatcher",2,2079,2064.45,2107.025,602,602,602,1477,1462.45,1505.025
"Indian White-eye",0,666,664,677,656,653,664,10,0,17.5125
"Mistle Thrush",0,2334,2197,2432,2484,2345.75,2630,-168,-373.725,20
"Rock Pigeon",0,653,638,660,638,602,647.5,16,0,52.0125
"Scaly-bellied Woodpecker",2,2084,2035,2134,1913,1909,1930.5,171,120.4875,219.025
"Spotted Forktail",2,2173,2173,2173,1757,1694,1791.5375,416,381.4625,479
"Black Drongo",2,469.5,422,557.025,409,403,409,61,14,152
"White-throated Kingfisher",2,446,429,548.6,403,389,404,43,28,149.525
"Black-throated Tit",2,2067,2067,2085,1994,1981.5,2011,73,56,95
"Variegated Laughingthrush",2,2622.5,2565,2636,2173,2173,2173,449.5,392,463
"Eurasian Jay",0,2084.5,2073,2100,2100,2079,2108,-18,-35,4.5
"Gray-headed Woodpecker",2,1782,1689,1830.025,1485,1383,1542,295,198,412
"Himalayan Woodpecker",2,2187.5,2173,2215,2111,2092,2138,77,49,111
"Crested Kingfisher",2,1215,1119.5,1254,666,549.4375,761,549,417.4875,677
"Jungle Babbler",2,653,650,653,602,602,638,51,15,51
"Jungle Myna",2,827,827,827,666,653,676.05,161,150.95,174
"Oriental Magpie-Robin",2,653,653,653,599,590.4875,602,54,51,62.5125
"Red-wattled Lapwing",2,409,403,422,388,388,403,21,6,34
"Himalayan Bluetail",2,2930,2893,2965.5,1952,1944.5,2001,978,908,1015.0125
"Lemon-rumped Warbler",2,2463,2293,2532,1523,1414,1542,933.75,770,1062.025
"Blue-throated Barbet",2,1332,1329,1346,1219,1164,1248,113,84,168
"Brownish-flanked Bush Warbler",2,2185.5,2173,2265,1747,1698.5,1814,442,373,536.5375
"Common Tailorbird",0,616,602,637,602,602,602,14,0,35
"Plum-headed Parakeet",2,827,775,827,602,602,616,225,171.975,225
"Black-chinned Babbler",1,877,861,1011,1219,1136,1248,-328.25,-378.1,-183.5
"Brown-fronted Woodpecker",2,1845,1793,1870.05,1785.75,1724,1795,64,11.9625,127.5125
"Chestnut-bellied Nuthatch",2,1264,1089,1332,861,806.45,994,393.5,206.7375,471
"Himalayan Prinia",2,1718,1661.9875,1754.5,1542,1500.3625,1573,181,118.975,238.525
"Kalij Pheasant",2,1911,1831,1931,1729.5,1667,1790.5,174,87.9875,246
