"","Value","Std.Error","t.value","p.value","dataset","Variable","adjP"
"1",3881.93159674514,93.5825834072107,41.4813467999007,1.25310704414979e-95,"05.q1.sam30","(Intercept)",8.31007829278282e-95
"2",-121.686189052133,2.81250165270074,-43.2661751275,1.06649665081885e-98,"05.q1.sam30","ThermalRegime",7.90462223548089e-98
"3",-0.812654207133632,1.292924573627,-0.628539532552867,0.530425793446896,"05.q1.sam30","HWI",0.729836307562946
"4",-82.0483452091854,42.4131551493318,-1.93450227695399,0.0545768302867414,"05.q1.sam30","relevel(Diet, ref = ""invertebrates"")fruit",0.15878233782833
"5",-6.89872007559836,25.4265601484185,-0.271319440590057,0.786447865958218,"05.q1.sam30","relevel(Diet, ref = ""invertebrates"")omnivore",0.915495417706884
"6",38.4871251313715,36.491901569018,1.0546757904238,0.292949070071822,"05.q1.sam30","relevel(Diet, ref = ""invertebrates"")seeds",0.576527914134458
"7",-70.0104873450473,71.6946167240392,-0.976509681536143,0.330087129427937,"05.q1.sam30","relevel(Diet, ref = ""invertebrates"")vertebrates",0.620760870267464
"8",3893.12348116199,107.253585786161,36.2983060438091,8.69294339159303e-73,"05.q1.sam60","(Intercept)",3.42284646043976e-72
"9",-122.340368373691,3.4864728964619,-35.0900098772725,6.06983645035625e-71,"05.q1.sam60","ThermalRegime",2.31757391740875e-70
"10",-0.905572895079049,1.28559736574125,-0.704398530372621,0.482363110394523,"05.q1.sam60","HWI",0.706410436402098
"11",-64.9531991149271,43.3724653015638,-1.49756760800464,0.136513046513215,"05.q1.sam60","relevel(Diet, ref = ""invertebrates"")fruit",0.307154354654734
"12",-0.0585369022020936,27.1447949494364,-0.00215646875620658,0.998282480034335,"05.q1.sam60","relevel(Diet, ref = ""invertebrates"")omnivore",0.998282480034335
"13",43.9160462901319,39.7483737362316,1.10485139798566,0.271132786657175,"05.q1.sam60","relevel(Diet, ref = ""invertebrates"")seeds",0.551011792238775
"14",-128.376428287311,78.36988798589,-1.63808360055873,0.103665999667816,"05.q1.sam60","relevel(Diet, ref = ""invertebrates"")vertebrates",0.25611599917931
"15",3873.98536033401,88.3687973758763,43.8388376369549,1.01267452870306e-106,"05.q2.sam30","(Intercept)",7.9748119135366e-106
"16",-122.325989040108,2.50006925010254,-48.9290402796207,9.91475249479558e-116,"05.q2.sam30","ThermalRegime",1.5615735179303e-114
"17",0.178674597937812,1.26078077953285,0.141717418950513,0.887441044318768,"05.q2.sam30","HWI",0.954696647807255
"18",-72.4419608713839,38.2999379758428,-1.89143807274768,0.0599622023252314,"05.q2.sam30","relevel(Diet, ref = ""invertebrates"")fruit",0.167894166510648
"19",-6.00799109545934,24.3204461250598,-0.24703457595166,0.805126296116989,"05.q2.sam30","relevel(Diet, ref = ""invertebrates"")omnivore",0.915495417706884
"20",29.4616258432411,35.559271437714,0.828521638719354,0.408329415287895,"05.q2.sam30","relevel(Diet, ref = ""invertebrates"")seeds",0.695263599003713
"21",-57.6714253475384,71.6342889165099,-0.80508128467297,0.421696532055534,"05.q2.sam30","relevel(Diet, ref = ""invertebrates"")vertebrates",0.706410436402098
"22",3921.35769067436,91.8299910020686,42.7023638778972,2.52601226927819e-88,"05.q2.sam60","(Intercept)",1.17880572566316e-87
"23",-124.438278378437,2.818209716194,-44.1550810301271,1.97548717686263e-90,"05.q2.sam60","ThermalRegime",9.95645537138766e-90
