"Species","Group","Median_S","LCI_S","UCI_S","Median_W","LCI_W","UCI_W","Median_diff","LCI_diff","UCI_diff"
"Common Kingfisher",0,1655.5,1511.875,1796,2341,1734.4675,2407.145,-701.7,-838.845,0.737500000001234
"Eurasian Tree Sparrow",0,2639.9,2556,2786.64375,2755.35,2598.85,2852.5225,-127.825,-281.655,93.6637500000001
"Large-billed Crow",2,3742.9,3686,3781,3450.625,3434,3576.45,280.975,149.893750000001,333.208749999999
"Long-tailed Minivet",2,3643.35,3138.59,3682.25,1891.65,1578.01,2133.2,1708.35,1218.165,2066.875
"Plumbeous Redstart",2,3120.9,2852.6325,3499.7,2487.475,2387.8,2590,626.099999999999,320.0425,1025.98625
"White-capped Redstart",2,4352,4208.53375,4359,2805,2615,2876.1,1541.4,1364.0925,1734.2075
"Ashy-throated Warbler",2,3391.375,3204.17,3518,2764,2677,2807.405,640.475,444.98875,825.624999999999
"Bhutan Laughingthrush",2,3006,2869.1,3057.3,2551,2356.65,2555,458.400000000001,322.735,652.517500000001
"Buff-barred Warbler",2,4218.1,4191.05,4429,2493.5,2251,2788.7825,1743.8,1428.5175,2054.3225
"Fire-breasted Flowerpecker",2,2749,2685.37,2777,2339.5,2228.1,2463,396.375,282.045,522.3175
"Green-backed Tit",0,2978,2893.2,3025,2962,2897.6775,2962,19.099999999999,-67.02,100.05
"Indian White-eye",2,2544,2324.9375,2557,1977.825,1841.25,2309.3,547.575,156.92875,701.605
"Lemon-rumped Warbler",2,3543.3,3151.2,3868.3,2870.45,2546.4,2979,711.949999999999,245.875,1159.71875
"Yellow-bellied Fairy-Fantail",2,3527.9,3376.88625,3568.6,2403.45,2221.55375,2658.08875,1089.4,803.913749999999,1301.575
"Chestnut-tailed Minla",2,3274.55,3146,3361,2819,2749.74125,3031.9,418.800000000001,168.746250000001,582.4375
"Golden Babbler",2,2138,2138,2138,1877.7,1877.7,1877.7,260.3,260.3,260.3
"Green-tailed Sunbird",2,3146,3142.0925,3167.78625,2604.2,2468,2677,543.475,469,678
"Rufous-capped Babbler",2,3010,2815.35,3140.9,2629,2473.1975,2816.15,366.95,52.9587500000005,614.51
"Rufous-vented Yuhina",2,3532.9,3427.975,3670.8,2665,2540,2709.445,877,752.995,1071.90625
"Striated Bulbul",2,2722,2677,2754.525,2474,2463,2474,248,203.9975,284.7625
"Ashy Bulbul",0,1748,1354.0725,1928.25,1678.45,1384.835,1792.75,54,-353.772500000001,417.3125
"Blue-throated Barbet",0,1408.95,1385.565,1466.5225,1541.025,1360.04125,1728.3675,-109.474999999999,-321.515,75.1112500000001
