Tree.name,GENUS,SPECIFICC,Species,Median_S_lower,Median_W_lower,Median_diff_lower,Median_S_median,Median_W_median,Median_diff_median,Median_S_upper,Median_W_upper,Median_diff_upper,Summer_range,Diff_ratio_upper,Diff_ratio_median,Diff_ratio_lower
Monticola_solitarius,Monticola,solitarius,Blue Rock-Thrush,714.875,386,327.5,2983,523.5,2463.75,4448.2,3491,959.5,3733.325,0.215705229,0.825930272,0.458122049
Aethopyga_siparaja,Aethopyga,siparaja,Crimson Sunbird,326,321,5,656,653.5,1,1565,1214,340.8,1239,0.217763578,0.00152439,0.015337423
Copsychus_saularis,Copsychus,saularis,Oriental Magpie-Robin,272,272,0,638,583,58,1419,1110.9,309.525,1147,0.218128964,0.090909091,0
Zoothera_dauma,Zoothera,dauma,Scaly Thrush,602.25,399.4,216.6,1953,1332,621.5,2929,2277,652,2326.75,0.222601571,0.318228367,0.359651308
Niltava_sundara,Niltava,sundara,Rufous-bellied Niltava,869.75,421,445.575,2318,752,1582.5,2499,1926,573,1629.25,0.229291717,0.682700604,0.512302386
Phylloscopus_maculipennis,Phylloscopus,maculipennis,Ashy-throated Warbler,1336,1161.3,180.8,2417,1917,486,3245.6,2498,749.15,1909.6,0.230820187,0.201075714,0.135329341
Tarsiger_cyanurus,Tarsiger,cyanurus,Himalayan Bluetail,1378.5,1255,126.2,2204,1952,252,3273,2499,774,1894.5,0.236480293,0.114337568,0.091548785
Pericrocotus_ethologus,Pericrocotus,ethologus,Long-tailed Minivet,434.4,328.2,104.65,1945,871,1075.5,2829.5,2160,675.575,2395.1,0.238761265,0.552956298,0.240906998
Aethopyga_saturata,Aethopyga,saturata,Black-throated Sunbird,1240.85,491,742.5,1506,1332,174,2187.8,1664,528,946.95,0.241338331,0.115537849,0.598380143
Turdus_albocinctus,Turdus,albocinctus,White-collared Blackbird,1922,1434,465.6,2761,2173,588,3440.25,2600.15,830.475,1518.25,0.241399608,0.212966317,0.242247659
Monticola_rufiventris,Monticola,rufiventris,Chestnut-bellied Rock-Thrush,1122.9,582.075,534.075,2100,1498,602,2838.1,2154.65,687.35,1715.2,0.242186674,0.286666667,0.475621159
