Tree.name,GENUS,SPECIFICC,Species,Median_S_lower,Median_W_lower,Median_diff_lower,Median_S_median,Median_W_median,Median_diff_median,Median_S_upper,Median_W_upper,Median_diff_upper,Summer_range,Diff_ratio_upper,Diff_ratio_median,Diff_ratio_lower
Prinia_hodgsonii,Prinia,hodgsonii,Gray-breasted Prinia,272,272,0,664,638,26,1498,1528.3,-31.2,1226,-0.02082777,0.039156627,0
Dendrocopos_auriceps,Dendrocopos,auriceps,Brown-fronted Woodpecker,1153.4,963.75,192.3,1789,1766,18,2238.525,2282.3,-40.625,1085.125,-0.018148111,0.010061487,0.166724467
Lonchura_punctulata,Lonchura,punctulata,Scaly-breasted Munia,272,272,0,602,602,0,1507.6,1542,-24.1,1235.6,-0.015985673,0,0
Psittacula_alexandri,Psittacula,alexandri,Red-breasted Parakeet,354,354,0,434,442,-9.75,665,665.675,-7.1,311,-0.010676692,-0.022465438,0
Garrulax_lineatus,Garrulax,lineatus,Streaked Laughingthrush,1214.85,1179.85,32.1,1943,1935,8,2653,2680,-25.75,1438.15,-0.009705993,0.004117344,0.026423015
Halcyon_smyrnensis,Halcyon,smyrnensis,White-throated Kingfisher,272,262,10,446,403,43,1575.4,1583.75,-8.175,1303.4,-0.005189158,0.096412556,0.036764706
Columba_livia,Columba,livia,Rock Pigeon,272,272,0,638,638,0,2069.6,2081,-10,1797.6,-0.004831852,0,0
Leiothrix_lutea,Leiothrix,lutea,Red-billed Leiothrix,661.8,660,0,1332,1365,-33,2044,2048.25,-8.25,1382.2,-0.004036204,-0.024774775,0
Psittacula_krameri,Psittacula,krameri,Rose-ringed Parakeet,272,272,0,602,602,0,1256,1259.1,-1.65,984,-0.001313694,0,0
Dinopium_shorii,Dinopium,shorii,Himalayan Flameback,333.2,342.225,-7.5,421,579,-149,666.4,667.5,-0.55,333.2,-0.00082533,-0.35391924,-0.022509004
Dicrurus_caerulescens,Dicrurus,caerulescens,White-bellied Drongo,253.425,245,5.5,457,377.5,68.25,665,665.725,-0.525,411.575,-0.000789474,0.149343545,0.021702673
Athene_brama,Athene,brama,Spotted Owlet,272,262.6,9.4,403,388,18,827,827,0,555,0,0.044665012,0.034558824
Centropus_sinensis,Centropus,sinensis,Greater Coucal,294.25,262,32.2,599,409,190,827,827,0,532.75,0,0.317195326,0.109430756
Cercomela_fusca,Cercomela,fusca,Brown Rock Chat,272,272,0,599,599,-2.5,827,827,0,555,0,-0.004173623,0
Copsychus_malabaricus,Copsychus,malabaricus,White-rumped Shama,281.675,367.95,-58.075,421,661,-235.25,666,666,0,384.325,0,-0.558788599,-0.206177332
Dendrocitta_formosae,Dendrocitta,formosae,Gray Treepie,602,438.15,160.425,1485,1216.25,264.5,2417,2417,0,1815,0,0.178114478,0.266486711
Enicurus_maculatus,Enicurus,maculatus,Spotted Forktail,1248.6,872,372.5,2173,1637,536,2417,2417,0,1168.4,0,0.246663599,0.298334134
Garrulax_albogularis,Garrulax,albogularis,White-throated Laughingthrush,1327.5,1248,77.35,2086,2011,80,2417,2417,0,1089.5,0,0.038350911,0.05826742
Garrulus_lanceolatus,Garrulus,lanceolatus,Black-headed Jay,1365,1332,33,2035,1947,88,2417,2417,0,1052,0,0.043243243,0.024175824
Lophura_leucomelanos,Lophura,leucomelanos,Kalij Pheasant,653,703.575,-31.375,1864,1728.5,142,2418.6,2438,0,1765.6,0,0.076180258,-0.048047473
Megalaima_virens,Megalaima,virens,Great Barbet,1011,838,164.9,1913,1795,118,2417,2417,0,1406,0,0.06168322,0.163105836
Oriolus_traillii,Oriolus,traillii,Maroon Oriole,602,361,241.45,1974,898,1076,2417,2417,0,1815,0,0.54508612,0.401079734
Otus_spilocephalus,Otus,spilocephalus,Mountain Scops-Owl,1413,1430.45,-12.95,1952,2108,-162,2417,2417,0,1004,0,-0.082991803,-0.009164897
Picus_canus,Picus,canus,Gray-headed Woodpecker,446,492,-46.35,1559,1428,122.5,2417,2417,0,1971,0,0.07857601,-0.103923767
Ploceus_philippinus,Ploceus,philippinus,Baya Weaver,272,262,10,613,602,11,827,827,0,555,0,0.017944535,0.036764706
Pomatorhinus_erythrogenys,Pomatorhinus,erythrogenys,Rusty-cheeked Scimitar-Babbler,591,591,0,1419,1383,33,2417,2417,0,1826,0,0.023255814,0
Pomatorhinus_ruficollis,Pomatorhinus,ruficollis,Streak-breasted Scimitar-Babbler,1944.375,1612,332.05,2417,2417,0,2417,2417,0,472.625,0,0,0.170774671
Sturnus_contra,Sturnus,contra,Asian Pied Starling,272,265.95,6,372,388.5,-18.5,827,827,0,555,0,-0.049731183,0.022058824
Urocissa_flavirostris,Urocissa,flavirostris,Yellow-billed Blue-Magpie,1145,932,209.225,2158,1817,332,2500.8,2499,5.15,1355.8,0.002059341,0.153846154,0.182729258
Pica_pica,Pica,pica,Eurasian Magpie,2539,3075.65,-534.925,3293,3263,30,4211,4198,13,1672,0.003087153,0.009110234,-0.21068334
Parus_monticolus,Parus,monticolus,Green-backed Tit,1383,1269.95,111.9,2158,2032,129,2510,2499,11,1127,0.00438247,0.059777572,0.080911063
Yuhina_flavicollis,Yuhina,flavicollis,Whiskered Yuhina,1549.35,761,789.975,2173,1862,311,2510,2499,11,960.65,0.00438247,0.14312011,0.509875109
Hemipus_picatus,Hemipus,picatus,Bar-winged Flycatcher-shrike,364.3,353.45,15.5,616,602,14,1570,1546.2,7.55,1205.7,0.004808917,0.022727273,0.042547351
Megalaima_zeylanica,Megalaima,zeylanica,Brown-headed Barbet,272,272,0,602,602,0,831,827,4,559,0.004813478,0,0
Parus_dichrous,Parus,dichrous,Gray-crested Tit,1542.6,1622,-86.7,2784,2696.5,87.5,3269.8,3254.15,15.85,1727.2,0.004847391,0.031429598,-0.056203812
Megalaima_lineata,Megalaima,lineata,Lineated Barbet,311,307,1.925,403,441,-38,867,861,4.35,556,0.005017301,-0.094292804,0.006189711
Megalaima_asiatica,Megalaima,asiatica,Blue-throated Barbet,512.6,388.5,120.05,1248,1121,132,1935.75,1924.1,15,1423.15,0.007748935,0.105769231,0.234198205
Minla_cyanouroptera,Minla,cyanouroptera,Blue-winged Minla,1077.8,915.8,113.125,1365,1365,0,2151.6,2133,16.7,1073.8,0.007761666,0,0.104959176
Mycerobas_melanozanthos,Mycerobas,melanozanthos,Spot-winged Grosbeak,1489,1542.6,-62.35,2173,2035,138,2524.05,2499,25.05,1035.05,0.009924526,0.063506673,-0.041873741
