"Species","Group","Median_S","LCI_S","UCI_S","Median_W","LCI_W","UCI_W","Median_diff","LCI_diff","UCI_diff"
"Snow Pigeon",2,2673.6,2652.4,2724.2,1632.35,1581.75,1733,1041.95,941.77,1113.1225
"Little Swift",2,584,532.59,591,398.4,368,403,188,129.59,217.05
"Collared Owlet",0,1332,1332,1332,1343.55,1247.2,1365.45,-11.55,-33.45,84.8
"Koklass Pheasant",2,1882.5,1773.49375,2035,1689,1638.4,1802,191,34.4775,356.00625
"Himalayan Shrike-Babbler",2,1440.3,1360.35,1587.76125,1063.925,773.1,1183.08125,413.65,255.62,673.72125
"Lesser Yellownape",0,397.85,386.3,591,518,433.78875,601.4,-85.7750000000001,-207.6425,93.47375
"Himalayan Monal",2,2187.2,2121.5,2537.3,2070.35,1775.5,2111,150.8,19.7825000000002,589.31875
"Large Cuckooshrike",0,297.6,288.24,317.875,267.5,245.675,318.925,37.6,-13.86,42.625
"White-winged Redstart",2,3263,3227,3291.61,3167,3163.9875,3172.55,95,59.5862499999999,124.065
"Tickell's Blue Flycatcher",0,263,257.15,285,245,245,308.2,17.55,-51.05,39.22
"Red-breasted Parakeet",0,381,376.35,386,363.4,346.75,388,17.5,-7,34.75
"Eurasian Crag-Martin",2,2630,2536.16625,2742.25,914.8,787,1172,1712.925,1433.765,1857.745
"Streak-throated Woodpecker",0,264.5,245,335.915,255.8,245,351.79,-4.79999999999998,-75.98,54.2500000000001
"Black Eagle",2,1277.1,687.25,1397.67,367.5,306.05,715.5,881.9,297.1625,1047.91875
"Horned Lark",2,3876.45,3681.4,3953.77625,3198,3198,3198,678.45,483.4,755.77625
"Chestnut-crowned Laughingthrush",2,1758.25,1643.5,1800.11,1293,1255,1318.2,460.5,346.5975,525.38
"Asian Emerald Dove",1,347,300.49,372,388,388,388.75875,-42,-88,-16
"Robin Accentor",2,3321.75,3218.6,3540,2806.6,2803.4,2817.2,516.15,410.95,735
"Eurasian Magpie",1,2742,2727.6,2764.05375,3197,3197,3197.30125,-455,-469.4,-432.99875
"Black-headed Mountain Finch",2,3782,3675.9,3892.82,3399.5,3374.5,3623.8,382.85,139.39,512.28625
