"Species","Group","Median_S","LCI_S","UCI_S","Median_W","LCI_W","UCI_W","Median_diff","LCI_diff","UCI_diff","elev_roundS","elev_roundW","maxTemp_June_mean","minTemp_June_mean","maxTemp_June_ci","minTemp_June_ci","tempRange_June","maxTemp_Jan_mean","minTemp_Jan_mean","maxTemp_Jan_ci","minTemp_Jan_ci","tempRange_Jan","ThermalRegime","Species3","Tree.name","HWI","Diet"
"White-throated Kingfisher",0,44,44,51.895,69.675,45.30875,93.6,-24.825,-48.79,0.641250000000004,0,100,30.8799486148347,26.2986930294906,0.00231790307769073,0.00191760276816597,4.58125558534406,22.17997075424,12.0471307722794,0.0042423324397093,0.00270695153573242,10.1328399819606,18.8328178425553,"Halcyon smyrnensis","Halcyon_smyrnensis",20.24597458,"vertebrates"
"Greater Yellownape",2,235,184.38,344.28,142,137.67,182,91.95,40.25,202.28,200,100,30.328356296059,25.7071718466304,0.00811646409562864,0.00461486597158153,4.6211844494286,22.17997075424,12.0471307722794,0.0042423324397093,0.00270695153573242,10.1328399819606,18.2812255237796,"Picus flavinucha","Picus_flavinucha",23.75209001,"invertebrates"
"Blue-throated Barbet",1,46.3,44,75,110,86.5425,125,-63.05,-79,-29.5975,0,100,30.8799486148347,26.2986930294906,0.00231790307769073,0.00191760276816597,4.58125558534406,22.17997075424,12.0471307722794,0.0042423324397093,0.00270695153573242,10.1328399819606,18.8328178425553,"Megalaima asiatica","Megalaima_asiatica",17.49884742,"fruit"
"Great Barbet",0,444.9,415.74125,511.5,331,242.3875,463,116,-22.8,222.98875,400,300,29.2241525423729,24.631986093003,0.00987866219193129,0.00656715024153167,4.59216644936984,21.3894706224549,10.6652621956287,0.0163697346722889,0.0093670192425808,10.7242084268262,18.5588903467442,"Megalaima virens","Megalaima_virens",21.67202429,"fruit"
"Scarlet Minivet",2,409.4,310.7,440.96625,133,120.44375,142,273.9,172.89125,315,400,100,29.2241525423729,24.631986093003,0.00987866219193129,0.00656715024153167,4.59216644936984,22.17997075424,12.0471307722794,0.0042423324397093,0.00270695153573242,10.1328399819606,17.1770217700935,"Pericrocotus flammeus","Pericrocotus_flammeus",27.33760301,"invertebrates"
"Black-hooded Oriole",1,44,44,44,48.1,46.0375,78.94375,-4.1,-34.94375,-2.0375,0,0,30.8799486148347,26.2986930294906,0.00231790307769073,0.00191760276816597,4.58125558534406,22.5955819928508,12.6396782841823,0.0042324052621271,0.00527703698463517,9.95590370866845,18.2402703306524,"Oriolus xanthornus","Oriolus_xanthornus",26.9861565,"fruit"
"Maroon Oriole",2,508.55,401.0875,674.405,126,103.235,142,374.8,269.0525,546.6975,500,100,28.7198271413829,24.1112100103199,0.0106961153210823,0.00784150230567837,4.60861713106295,22.17997075424,12.0471307722794,0.0042423324397093,0.00270695153573242,10.1328399819606,16.6726963691035,"Oriolus traillii","Oriolus_traillii",26.13313045,"omnivore"
"Red-billed Chough",0,2270.2,2261.115,2318.46,2185,1842.6,2271.4,87.75,-3.40499999999961,437.725,2300,2200,19.7516029863856,14.9916117698726,0.018864697759563,0.0201789595963393,4.75999121651296,9.45784029788995,-0.442594124948283,0.033596221881513,0.0325592174523225,9.90043442283823,20.1941971113339,"Pyrrhocorax pyrrhocorax","Pyrrhocorax_pyrrhocorax",38.08226878,"invertebrates"
"Gray Treepie",1,411.225,343.08625,445.0075,542.175,489,669.75,-135.25,-276.21,-51.59,400,500,29.2241525423729,24.631986093003,0.00987866219193129,0.00656715024153167,4.59216644936984,20.021826625387,9.52920536635707,0.0247815183021447,0.0153867428921848,10.4926212590299,19.6949471760158,"Dendrocitta formosae","Dendrocitta_formosae",15.79692104,"omnivore"
"Yellow-billed Blue-Magpie",0,2044.375,1765.71875,2137.8,1956.35,1871.2,2131.01,46.5500000000001,-242.07625,228.4025,2000,2000,21.1280714546117,16.4377506379876,0.0176439072804063,0.0186697283921411,4.69032081662413,10.6041560335399,0.688899015676267,0.0348077238604157,0.0315468037560053,9.91525701786365,20.4391724389354,"Urocissa flavirostris","Urocissa_flavirostris",12.78680638,"invertebrates"
"Common Green-Magpie",2,432.5,431.8825,433.1175,306.6,258.91,354.29,125.9,78.8275,172.9725,400,300,29.2241525423729,24.631986093003,0.00987866219193129,0.00656715024153167,4.59216644936984,21.3894706224549,10.6652621956287,0.0163697346722889,0.0093670192425808,10.7242084268262,18.5588903467442,"Cissa chinensis","Cissa_chinensis",7.750215296,"omnivore"
