species,LONGITUDE,LATITUDE
species,88.5400299,27.4909573
species,88.5454994,27.9351532
species,75.4264825,34.2647921
species,96.6074395,27.439512
species,77.4506823,30.6069262
species,78.3916106,31.3692598
species,96.488641,27.538965
species,78.629803,31.9027884
species,88.364522,27.312774
species,77.2893488,34.675835
species,77.8493122,34.1815639
species,79.316937,30.339726
species,78.5936811,33.7996503
species,78.306427,32.7976645
species,78.95093,32.754673
species,77.176287,32.633203
species,97.0021667,27.1948333
species,96.926,27.324
species,76.000735,34.269072
species,75.956579,34.136504
species,75.571729,34.33028
species,74.330684,34.588435
species,74.032458,34.372828
species,75.240636,34.158819
species,77.769758,33.507865
species,77.97125,33.377274
species,78.838492,33.11859
species,74.671657,32.676628
species,95.7167104,28.0678104
species,95.939464,28.631139
species,79.483634,29.5762748
species,74.3578471,33.6096582
species,79.345734,29.944049
species,96.7741879,27.9386704
species,92.2585949,27.1238453
species,76.1783715,31.9239255
species,75.898738,31.9585879
species,96.2380401,27.4937034
species,78.904085,29.199923
species,79.3831012,29.4582828
species,79.3612072,29.3239929
species,74.3449723,33.1230267
species,75.4055058,32.4860991
species,75.1254452,34.3898332
species,97.0032683,28.14637
species,96.6343099,28.00474
species,78.1203667,29.9197852
species,88.7603095,27.2302836
species,93.711792,27.0118554
species,74.6009605,34.21786
species,93.7564893,27.1695186
species,87.9329358,26.0651174
species,88.2368426,26.4813584
species,89.5054665,26.6351198
species,75.6027208,32.7064372
species,75.6868767,32.4015137
species,96.3907451,27.9424539
species,78.6176975,30.8172033
species,79.5243259,29.3124586
species,95.231988,28.4358089
species,88.6592713,27.0896101
species,74.8096763,33.0845879
species,75.1454217,32.6934394
species,78.8814467,29.5072517
species,88.118248,27.1941822
species,79.583186,28.940706
species,88.460647,27.04596
species,92.1100812,27.083586
species,92.5566922,27.1612943
species,92.1088726,27.4858602
species,96.23382,27.919293
species,95.907845,28.278194
species,77.70697,34.5089133
species,77.4362564,32.3052183
species,88.7001801,27.637307
species,78.9404212,30.9946842
species,77.7586555,32.4272095
species,75.1542413,32.9261824
species,77.1634197,32.1134766
species,78.4519529,30.9879109
species,78.250283,33.3964522
species,79.0977859,30.7409038
species,74.3860781,34.2107951
species,74.6166301,33.6488505
species,88.7677,26.7138
species,80.6552365,29.9701668
species,75.1597077,33.7362203
species,78.781414,30.8602738
species,78.3291721,30.1267183
species,77.3402739,35.062601
species,76.4344221,31.409379
species,79.2837167,30.4803142
species,80.3039589,29.9628954
