"elev_round","maxTemp_Jan_mean","maxTemp_June_mean","minTemp_Jan_mean","minTemp_June_mean","maxTemp_Jan_ci","maxTemp_June_ci","minTemp_Jan_ci","minTemp_June_ci","tempRange_Jan","tempRange_June"
0,25.8448655234493,39.9922732810824,11.1429370260588,27.6320106926588,0.00735685710155908,0.0121766292998815,0.00909046386110357,0.00306778405792983,14.7019284973905,12.3602625884236
100,22.8558792429749,41.2864569675398,8.46627386037916,29.00652815419,0.00587300718385101,0.00779262804102413,0.00568208617921472,0.00373754560110998,14.3896053825957,12.2799288133498
200,21.2894503358178,39.6640710249462,7.3900782397302,28.2027400137879,0.00508873434844005,0.0042808564738231,0.00432350904663981,0.00313442919599782,13.8993720960876,11.4613310111583
300,21.8863516327801,38.7297142366404,7.77234171372136,27.7808034008201,0.00935780358142791,0.00569581805600079,0.00706596436600862,0.00538932095846712,14.1140099190588,10.9489108358203
400,21.863533328202,37.4791724394499,7.79342928981938,27.0676377770936,0.01547278140096,0.00596803255200587,0.0118893628049454,0.00638276566218357,14.0701040383826,10.4115346623563
500,20.9677051338306,36.7211430451953,7.01919591926283,26.1012242211496,0.0229869522087908,0.00865765667490009,0.0174710463618794,0.00965143036277529,13.9485092145678,10.6199188240456
600,17.45656637049,35.9098041195477,4.27501009693053,24.2701164512655,0.0429343337602193,0.0234141803249473,0.029129036086838,0.0224606985928427,13.1815562735595,11.6396876682822
700,16.202084144074,35.4448782807973,3.29582738790159,23.5015047347256,0.0437319532203077,0.0320636036519555,0.0291451190964541,0.027804222601936,12.9062567561724,11.9433735460717
800,15.1850312514257,34.8266481135088,2.46013504265706,22.767694694101,0.0431564250140531,0.0371399753039667,0.028918822881336,0.0310862941515126,12.7248962087686,12.0589534194078
900,14.5189684357264,34.4428358060341,1.89830230010953,22.2947674997511,0.0425190583718323,0.04349096041162,0.0285234458648067,0.0352590587250573,12.6206661356168,12.148068306283
1000,13.6126699885809,33.6397747326897,1.11721166822381,21.522339873352,0.0427266772539068,0.0468641376355004,0.0284986337345262,0.0379341933082276,12.4954583203571,12.1174348593377
1100,12.7043700124858,32.7530535801531,0.30275772216492,20.6778622224635,0.0426047238359255,0.0477149321936669,0.028238190678185,0.0385224517113142,12.4016122903208,12.0751913576896
1200,12.1043963389552,32.1217451665981,-0.302781777046483,20.0951408885232,0.0414529140408808,0.0473856533386101,0.0274151040609836,0.0381315956449221,12.4071781160016,12.0266042780749
1300,11.3993692406248,31.558729611196,-1.02548662100232,19.5627112797516,0.0442932696457408,0.0478129138985327,0.0313380092208575,0.0378145616164514,12.4248558616272,11.9960183314443
1400,10.1341439322672,30.630136406397,-2.18821730950141,18.7024270931326,0.0503374979077727,0.0459548879733138,0.0381213443247119,0.0359576860274805,12.3223612417686,11.9277093132643
1500,9.79640170397897,30.2992613069881,-2.55083386205021,18.2310522976525,0.0451870073554771,0.0487553613861931,0.0333743535342371,0.0368041768314772,12.3472355660292,12.0682090093356
1600,8.79992350841408,28.9564082950875,-3.37247577766446,16.9328998810131,0.0410408363124757,0.046710595848932,0.0302668088368569,0.0364053311715484,12.1723992860785,12.0235084140745
1700,8.11191963616373,28.2443500424809,-4.04807836473587,16.3048028387226,0.0448703514731545,0.0490270658147735,0.0334114256335395,0.0374857154959968,12.1599980008996,11.9395472037583
1800,7.33040540540541,27.6413013013013,-4.81171171171171,15.6184334334334,0.044476986703483,0.0492164860936635,0.033743506121438,0.036917981366612,12.1421171171171,12.0228678678679
1900,6.72522807196371,27.3895571071811,-5.43884103766373,15.1626063911116,0.0433600987790126,0.0523529787822201,0.0336114510431376,0.0377440440578373,12.1640691096274,12.2269507160695
2000,6.02349736303012,27.5813886588502,-6.23649479143965,14.8422961251798,0.0367805185372145,0.0514115040492322,0.0295535215008276,0.0342161535790828,12.2599921544698,12.7390925336704
2100,5.15347965287724,27.1764638975482,-7.19780520684135,14.1433777066307,0.0331857422927083,0.0497340062127928,0.0282161834627527,0.0314255894362978,12.3512848597186,13.0330861909175
2200,4.17222118175859,25.7851999250866,-8.01574117426725,13.0330040265943,0.0380559323250754,0.0528940719782139,0.0304197356685805,0.0341782841058608,12.1879623560258,12.7521958984924
2300,3.38556257632878,24.9043593691924,-8.70731694366272,12.2181118249881,0.040107514507065,0.0559759174159925,0.0316603753488317,0.0358785609991816,12.0928795199915,12.6862475442043
2400,2.48172277828329,23.541152562936,-9.48831665150136,11.1284561722778,0.0425458519984202,0.0546705602225242,0.0336241706500588,0.0352396776069264,11.9700394297847,12.4126963906582
2500,1.54627461595723,22.3530080530554,-10.2856398457062,10.1359071530081,0.0453875815140179,0.0538396112688407,0.0361219892626303,0.0348385172889662,11.8319144616634,12.2171009000474
2600,0.701863136513273,21.383918190096,-11.0015059186104,9.28978777054003,0.0453911024799525,0.0520531754042009,0.036923162894389,0.0337628496044515,11.7033690551236,12.0941304195559
2700,-0.169578724049098,20.3570086376724,-11.7119942415517,8.41056220639491,0.0474446604380811,0.0516831762524629,0.0395483739708326,0.0341503979735411,11.5424155175027,11.9464464312775
2800,-0.976010292114424,19.482813682458,-12.4362872710761,7.63939004086575,0.047429006860939,0.0505880032488291,0.0406443076490743,0.0336743463655858,11.4602769789617,11.8434236415922
2900,-1.69841018745551,18.6759867120146,-13.0699359329273,6.92743810804398,0.0473845567592365,0.050036170415283,0.0412422288976189,0.033187661863865,11.3715257454718,11.7485486039706
3000,-2.45058419243986,17.9262008400153,-13.7617029400535,6.22407789232532,0.0456103928984545,0.04855407176133,0.0403724952058589,0.0319759470867803,11.3111187476136,11.70212294769
