"Species","Group","Median_S","LCI_S","UCI_S","Median_W","LCI_W","UCI_W","Median_diff","LCI_diff","UCI_diff"
"Common Kingfisher",2,142,139.535,150.9925,81,56.03,110.3,60.9,29.62,92.9525
"Eurasian Tree Sparrow",1,139,139,173.415,398.525,206.13875,647.805,-252.3,-508.405,-58.86875
"Large-billed Crow",0,150.7,139,185.635,221.025,142,506.14875,-62.425,-348.765,28.6
"Long-tailed Minivet",2,665.3,440,1005.425,139.4,107.65,268.31,513.1,269.21,879.605
"Plumbeous Redstart",2,916.7,720,1219.405,254.125,182,343.83,674.9,461.79625,970.0325
"White-capped Redstart",2,1084.5,941.685,1801.84375,248.5,179.4875,334.10875,830.8,630.95,1576.16125
"Ashy-throated Warbler",2,1707.475,1122.75,1865.69625,882.6,804.45375,1170.205,759,216.10875,1015.0775
"Bhutan Laughingthrush",0,1457.2,1279.1425,1739,1416.1,1093.5,1739,123.55,-345.325,617.65
"Buff-barred Warbler",2,2196.15,1716.32,2802.05,710.45,485.65,904.875,1500.95,937.11,2190.805
"Fire-breasted Flowerpecker",0,639.9,491.2175,906.96625,695.2,493.9,889.81125,-9.32499999999999,-277.4175,310.64375
"Green-backed Tit",2,1020.75,995.4,1113.965,884.4,820.38,977.98875,126.275,34.0475,248.11625
"Indian White-eye",0,200,177.4775,356.54125,189.475,140.5,323.635,25.775,-122.62875,188.10375
"Lemon-rumped Warbler",2,1441.25,613.21875,1964.25,489,489,621.875,937.05,100.95,1456.0375
"Yellow-bellied Fairy-Fantail",2,1476.175,1423.05,1739,331.3,250.8775,449.68125,1143.45,1011.97125,1408
"Chestnut-tailed Minla",0,1641,1087.455,1739,1304.4,1231.45,1546.06375,315.075,-241.2675,482.2
"Golden Babbler",2,558,558,558,489,489,489,69,69,69
"Green-tailed Sunbird",2,1739,1675.57625,1739,882.675,590.57875,998.405,852.85,734.8875,1145.2
"Rufous-capped Babbler",0,595,484,699.0525,410,247.26,1301,189.65,-706.0675,362.0925
"Rufous-vented Yuhina",2,1739,1739,1809.295,849,573.6675,1069.8175,890,670.22375,1202.4325
"Striated Bulbul",2,1135.05,874.10625,1364.17875,836.45,572.85,1051.11625,323.95,10,656.69875
"Ashy Bulbul",0,384.5,337,435.1825,302.65,151.29,391.945,88.8,-33.4225,254.8425
"Blue-throated Barbet",1,46.3,44,75,110,86.5425,125,-63.05,-79,-29.5975
"Bronzed Drongo",0,222.7,139.99375,400.6225,142,125,220.10375,77.35,-22.8725,258.405
"Chestnut-bellied Nuthatch",0,265.825,172.235,364.52,142,122.9,232,119.425,-5.92375000000003,221.5075
"Common Hill Myna",0,104,80.9,139,113.5,85.19,134.215,-5.49999999999999,-37.8,36.5
"Golden-fronted Leafbird",2,158.9,137.1725,184.37,115.6,81.075,135.47,37.3,11.67,94.99
"Long-tailed Sibia",2,657.5,657.5,657.5,445.55,404.2725,486.8275,211.95,170.6725,253.2275
"Maroon Oriole",2,504.8,403.73125,674.61125,126.3,103.085,142,373,269.69125,546.86125
"Pin-tailed Green-Pigeon",2,194.65,175.6975,213.6025,133.1,125.405,140.795,61.55,50.2925,72.8075
"Pygmy Cupwing",2,1115.075,1026.65375,1203.49625,280.775,272.48625,289.06375,834.3,754.1675,914.4325
"Rufous-necked Hornbill",0,658.1,332.5,977,489,375.4,627.6,82,-256,479
"Rusty-fronted Barwing",2,1104.7,899.6,1258.74,489,475,621.155,609.95,384.94,754.58
"Streaked Spiderhunter",2,399.05,257.8,512,142,125,142,261.775,119.385,372.45125
"Sultan Tit",0,243.325,154.25,436.035,142,138.4075,308.065,94.8,-83.43,304.36625
"White-throated Bulbul",2,227.975,175.385,315.815,142,125,148.415,88.3,33.385,177.75625
"Blue Whistling-Thrush",2,694.8,655.2125,858.45125,412.525,310.785,502.41,288.7,173.965,462.4825
"Crested Kingfisher",1,221.95,203.995,239.905,557.95,504.7975,611.1025,-336,-407.1075,-264.8925
"White Wagtail",2,197,128.5,254.23875,112,109.395,138.2,78.725,9.6825,141.655
"White-throated Kingfisher",0,44,44,56.835,69.625,44.8,100.25875,-24.6,-55.0125,1.005
"Brown Dipper",2,581.05,581.05,586.5,521.05,378.20375,580.89875,62.7249999999999,0.15124999999988,207.3425
"River Lapwing",0,128.95,104.25,158.045,112,102.89875,130.1025,17.55,-10.07375,49.62375
"Great Barbet",0,444.9,415.74125,511.5,331,242.3875,463,116,-22.8,222.98875
"Great Hornbill",0,182,142,281,142,126.14,142.7,42.5,0,139.15
"Lesser Necklaced Laughingthrush",2,430,354.7,482.125,142,142,260.53,276.55,173.2375,340.125
"Orange-bellied Leafbird",2,384.6,304.45,481.085,234.2,142.3925,339.7,151.35,5.46,282.80875
"Red-tailed Minla",2,1462.675,1383.6,1673.28375,561.25,489,758.85625,933.9,702.13625,1161.8425
"White-crested Laughingthrush",0,473.05,431.6925,515,489,400.49625,489,-3,-55.42625,85.565
"Little Cormorant",0,75,44,98.1,56.5,43,87.315,15.7,-32.345,46.3849999999999
"Black Bulbul",2,488.075,430.2475,515,180.325,142,440.02625,293.975,54.55,371
"Black-hooded Oriole",1,44,44,45.8025,59.725,44.89875,93.60375,-15.725,-49.60375,-0.700000000000003
"Black-throated Tit",0,1199,1084,1349.0175,1123.4,1010.8175,1323.07125,72.075,-172.825,271.00375
"Common Iora",0,85.25,57.505,123.11,98.9,67.25,125,-7.95,-50.885,40.2625
"Golden-throated Barbet",0,620.3,488.7,759.21,354.05,162,544.7975,243.625,-12.20875,507.19
"Gray-hooded Warbler",0,563.45,487.6,688.69625,489,489,722.4575,50.8,-184.255,186.4
"Hill Partridge",0,1308.05,953.96,1712.33,1271.5,1172.1,1737.62,-75.8499999999999,-517.57,499.62
"Little Pied Flycatcher",2,1107.9,1046.45,1362.7,111.325,88.94375,143.5625,1010.9,917.33125,1256.80625
"Mountain Bulbul",0,575,484.275,785.2775,588.1,489,837.015,4.5,-272.4575,257.105
"Spotted Dove",1,44,44,47.4025,80,66.14625,98.635,-35,-54.15375,-17.4975
"White-naped Yuhina",0,527.25,413.75,614.425,489,435.675,616.875,2.25,-105.875,125.425
"White-throated Fantail",0,122.775,86.595,139,132.275,106.34625,148.22125,-9.05,-47.71375,20.0225
"Asian Pied Starling",0,75,48,81,63.675,46,82.5225,4.9,-26.5,29.25375
"Himalayan Swiftlet",2,178.9,177.86,179,131.75,118.045,141.34,47.25,37.525,60.275
"Beautiful Sibia",2,1728.65,1595,1739,662.1,515,980.845,1034.2,712.13625,1224
"Black-throated Sunbird",0,512.875,413,518.025,335.8,189.78875,489,152.65,-11.7,317.15875
"Bay Woodpecker",0,585.8,544.48875,707.55,489,404.07,625.25,86.75,-66.7474999999999,233.43
"Olive-backed Pipit",2,1577.3,1074,2058.01625,280.4,141.8975,574.4,1264.8,687.86875,1794.03625
"Small Niltava",2,583.4,416,761.2275,142,125,167.01,445.925,271.2875,623.24875
"Ashy Drongo",2,440,395.395,513,129.95,114.0975,142,308.55,258,379.60375
"Blue-winged Laughingthrush",2,1325.7,1285.75,1582.3175,489,448.3425,667.3475,828.65,624.5075,1074.93
"Hair-crested Drongo",0,99,98.095,198.1225,118,92.2,134.45125,-11.775,-34.305,79.41
"Little Egret",0,75,74,104.535,74.95,42.765,82.35,2.7,-7.33,38.96
"Silver-eared Mesia",2,484.1,379.9,560.18125,166.05,142,327.145,290,116.665,393
"Red-vented Bulbul",1,87.5,75,108.95125,112,110,125,-25.95,-42.41375,-4.19750000000001
