"","Value","Std.Error","t-value","p-value","Lambda"
"(Intercept)",-62.6881327413375,65.9177277365759,-0.951005668639783,0.342905638595183,0.274369609981289
"Median_S",0.171276578035862,0.0243233849226296,7.04164237751763,4.10335534946858e-11,0.274369609981289
