"elev_round","maxTemp_Jan_mean","maxTemp_June_mean","minTemp_Jan_mean","minTemp_June_mean","maxTemp_Jan_ci","maxTemp_June_ci","minTemp_Jan_ci","minTemp_June_ci","tempRange_Jan","tempRange_June"
0,22.8708207027133,31.7908322684749,11.2627302659192,26.3379944596271,0.00323271597534336,0.00657325069724255,0.00614024285233329,0.00122981223907587,11.608090436794,5.45283780884781
100,22.3076648677472,33.1323938806094,10.313283196499,26.5865407423071,0.00249566317775525,0.00850399574856952,0.00641055314892142,0.0023138485617568,11.9943816712482,6.54585313830227
200,22.432132999201,30.55091341614,10.9899197355996,25.7191980823709,0.00891253445239326,0.00950926692149325,0.0105610893254733,0.00287775658968962,11.4422132636014,4.83171533376916
300,21.795061689538,30.1615667883671,10.3366958328088,25.2149471232532,0.0112483966245394,0.0174572015245362,0.0136115291237979,0.00583477521691029,11.4583658567292,4.94661966511394
400,21.0469412351425,29.4312484415261,9.68685063585737,24.5781896766686,0.0147044927726212,0.0149132369957881,0.0168393086426932,0.00557610430010235,11.3600905992852,4.85305876485745
500,20.3248756218905,28.8089004975124,9.02043781094527,23.9910049751244,0.0174048355796344,0.011770582187359,0.0202280294634703,0.00544216749110008,11.3044378109453,4.81789552238806
600,19.6471033540111,28.2359583639996,8.44753969088424,23.4397487120177,0.0187334404574729,0.0103072186393977,0.0217743735792418,0.00564898051159889,11.1995636631269,4.79620965198191
700,18.970435082476,27.7239036726249,7.83048451060406,22.9017644692224,0.0205241961127711,0.0104742034302989,0.0243076727320709,0.00642996900974374,11.1399505718719,4.8221392034025
800,18.42986412894,27.2227625281919,7.29429011496782,22.369343748281,0.021021651892624,0.00985320485178006,0.0247890884665208,0.00638084515214065,11.1355740139722,4.85341877991089
900,17.7420858969719,26.7405054892026,6.65194233321269,21.8516950174931,0.0220052502891657,0.0106333549960347,0.026574027707067,0.00694369435534531,11.0901435637592,4.88881047170949
1000,17.0915690719053,26.2442261679889,6.0505163077698,21.3225853167107,0.0231790170476161,0.0106403243696162,0.0278701482739202,0.00747882300964796,11.0410527641355,4.92164085127818
1100,16.4374845445803,25.7505495260338,5.43938040939689,20.8016073636489,0.0247696538614653,0.0110781078585299,0.0301209693424514,0.00819007947366856,10.9981041351834,4.94894216238495
1200,15.8279648609078,25.2167747333194,4.91082060935648,20.2889005089591,0.0252079896159988,0.0111025054083011,0.0295299178518823,0.00860100872316076,10.9171442515513,4.92787422436032
1300,15.184315456485,24.7151548591187,4.26935187228721,19.7558817038181,0.0259893392993852,0.0113221238942001,0.0310869175008258,0.00893826012857727,10.9149635841977,4.95927315530052
1400,14.5616503344221,24.2181987867475,3.75029553585317,19.2667599937782,0.0269276097642542,0.0117237563642757,0.0317009137275114,0.00967725839125455,10.811354798569,4.95143879296936
1500,13.9486375450658,23.6722226880188,3.19685587322881,18.7447723652218,0.0280955325359026,0.0120734587086262,0.0325298947366589,0.0103613488170137,10.751781671837,4.92745032279701
1600,13.3181259330816,23.1558970756125,2.63019232458066,18.2352595064547,0.0292256301139292,0.0124787985534398,0.033420129195188,0.0114270197583065,10.6879336085009,4.92063756915781
1700,12.7071086873326,22.6584098737084,2.04434557979334,17.7350937619594,0.0306520773646664,0.0128699461135887,0.0349700811847896,0.0122854367735506,10.6627631075392,4.92331611174895
1800,12.0716592201462,22.1773862713241,1.46834890333063,17.2441917140536,0.031545239000129,0.0128999736865559,0.0358209631590314,0.0129100019407169,10.6033103168156,4.93319455727051
1900,11.3418064068463,21.6982190355036,0.798565976639297,16.7341274430438,0.03394715456085,0.0145048450287383,0.0391641458429694,0.015474462332119,10.543240430207,4.96409159245981
