"elev_round","maxTemp_Jan_mean","maxTemp_June_mean","minTemp_Jan_mean","minTemp_June_mean","maxTemp_Jan_ci","maxTemp_June_ci","minTemp_Jan_ci","minTemp_June_ci","tempRange_Jan","tempRange_June"
0,22.3101939578897,39.8947103009065,8.2012900549441,28.321803968894,0.00420387266405906,0.00424626159500057,0.00368328806966361,0.00221196597393602,14.1089039029456,11.5729063320124
500,21.288932194266,37.5429338441426,7.3462793884271,26.8724323795275,0.00830098591764502,0.00484102937593695,0.00641387109278299,0.00469647817251002,13.9426528058389,10.670501464615
1000,13.839968166444,33.3327137159045,1.19129219604165,21.4885029701845,0.0195574594010645,0.020652484107369,0.0135019905587231,0.0163153296810251,12.6486759704024,11.84421074572
1500,9.20155443335669,29.5348998477783,-3.1185960164625,17.7868726894919,0.0223954221768851,0.0203690866285944,0.017525442792582,0.0159044047927409,12.3201504498192,11.7480271582864
2000,5.79034528316268,26.7523344935932,-6.50634077762816,14.442968571356,0.0187657900199817,0.0223175129806733,0.0154731920138927,0.0154429928845398,12.2966860607908,12.3093659222372
2500,1.92139901293038,22.4393303869735,-10.0709517836418,10.4423302814672,0.0216398939387022,0.0252186972493115,0.0172430702558295,0.017369547864432,11.9923507965722,11.9970001055063
3000,-2.04671173599878,17.7669099857603,-13.5762224710713,6.42666556067079,0.0235733780549341,0.0212780679039918,0.0194552251246931,0.0165161805964873,11.5295107350725,11.3402444250895
3500,-5.39370298554671,14.1066146843242,-16.468908233288,3.24327461253902,0.022611882234596,0.017127923389035,0.0187791937453045,0.0156996545185098,11.0752052477412,10.8633400717851
4000,-8.39425962657928,11.0821299210901,-19.3170033633737,0.495952093484541,0.0176959430517451,0.0118251777499577,0.0159024315692031,0.0128311947881155,10.9227437367944,10.5861778276055
4500,-10.31455245498,9.49559696808767,-22.2756481436779,-1.23608663641192,0.0118874762438174,0.0109983164633544,0.0104578819799074,0.00985532529950416,11.9610956886979,10.7316836044996
5000,-12.4689732762586,7.01933234156994,-25.2611915249812,-3.89001910318621,0.00972908003750764,0.0098980033436375,0.0094879068197234,0.00979385055460272,12.7922182487227,10.9093514447562
5500,-14.7089387374679,4.70825356441131,-27.5803119804524,-6.04273389087611,0.0115373619930209,0.0108435600404431,0.0111472023774817,0.0114830137631011,12.8713732429845,10.7509874552874
6000,-16.8787557071346,2.42792782881347,-29.8182133230651,-8.25916167005886,0.0236535116641588,0.0231336589597279,0.0223418893695079,0.024816784267819,12.9394576159305,10.6870894988723
6500,-19.7175174013921,-0.937006960556845,-32.2428847641145,-11.5557617942769,0.0909056969578729,0.0676210236747335,0.0675856010207248,0.0766961113062052,12.5253673627224,10.61875483372
7000,-23.707874015748,-4.02913385826772,-33.7133858267717,-14.2362204724409,0.381764386059946,0.278632932743521,0.247663819754066,0.345612569923852,10.0055118110236,10.2070866141732
7500,-24.0571428571429,-4.9,-34.2857142857143,-14.9071428571429,1.69759175929683,1.07665772626186,0.97995122312161,1.62007098686921,10.2285714285714,10.0071428571429
